method,dataset,backbone,cap,seed,ce_skip,max_epoch,n_rows,n_nan,first_nan,ce_col,missing
hounie_rcl,dermmnist,MobileNetV3,L50_G50,4,UNSET,27.0,28,15,13.0,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L50_G50,3,UNSET,24.0,25,11,14.0,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L50_G50,1,UNSET,28.0,29,18,11.0,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L50_G50,2,UNSET,28.0,29,7,22.0,ce_loss,False
tralo,dermmnist,MobileNetV3,L50_G50,4,False,30.0,14,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L50_G50,3,False,30.0,11,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L50_G50,1,False,30.0,13,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L50_G50,2,False,30.0,16,0,,L_CE,False
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,4,UNSET,20.0,21,5,16.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,3,UNSET,19.0,20,6,14.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,1,UNSET,23.0,24,5,19.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,2,UNSET,28.0,29,15,14.0,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L50_G50,4,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L50_G50,3,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L50_G50,1,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L50_G50,2,UNSET,28.0,29,0,,ce_loss,False
tralo,tissuemnist,MobileNetV3,L50_G50,4,False,30.0,9,0,,L_CE,False
tralo,tissuemnist,MobileNetV3,L50_G50,3,False,5.0,4,0,,L_CE,False
tralo,tissuemnist,MobileNetV3,L50_G50,1,False,30.0,7,0,,L_CE,False
