dataset,model,cap,method,seed,K,pool,n_true,count_raw,fill,final_excess_recomputed,final_feasible,count_adj,log_rows,log_epoch_max,log_exc_last,log_exc_min,ever_feasible_intrain,first_feas_ep,n_feas_ep
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,67,2003,223,39,0.582089552238806,0,1,67,26,25.0,0.0,0.0,1.0,21.0,5.0
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,67,2003,223,23,0.34328358208955223,0,1,67,23,22.0,0.0,0.0,1.0,18.0,5.0
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,67,2003,223,34,0.5074626865671642,0,1,67,22,21.0,0.0,0.0,1.0,17.0,5.0
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,67,2003,223,57,0.8507462686567164,0,1,67,23,22.0,0.0,0.0,1.0,18.0,5.0
dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,67,2003,223,16,0.23880597014925373,0,1,67,28,27.0,0.0,0.0,1.0,23.0,5.0
dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,67,2003,223,28,0.417910447761194,0,1,67,29,28.0,0.0,0.0,1.0,24.0,5.0
dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,67,2003,223,18,0.26865671641791045,0,1,67,22,21.0,0.0,0.0,1.0,17.0,5.0
dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,67,2003,223,25,0.373134328358209,0,1,67,27,26.0,0.0,0.0,1.0,22.0,5.0
dermmnist,MobileNetV3,L30_G30,tralo,1,67,2003,223,68,1.0149253731343284,3,0,67,7,30.0,,,,,
dermmnist,MobileNetV3,L30_G30,tralo,2,67,2003,223,63,0.9402985074626866,0,1,67,8,30.0,,,,,
dermmnist,MobileNetV3,L30_G30,tralo,3,67,2003,223,49,0.7313432835820896,0,1,67,8,30.0,,,,,
dermmnist,MobileNetV3,L30_G30,tralo,4,67,2003,223,72,1.0746268656716418,13,0,67,7,30.0,,,,,
octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,75,1000,250,67,0.8933333333333333,2,0,65,29,28.0,93.0,2.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,75,1000,250,67,0.8933333333333333,0,1,67,29,28.0,0.0,0.0,1.0,27.0,2.0
octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,75,1000,250,102,1.36,53,0,75,29,28.0,193.0,53.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,75,1000,250,42,0.56,0,1,42,29,28.0,0.0,0.0,1.0,28.0,1.0
octmnist,MobileNetV3,L30_G30,hounie_rcl,1,75,1000,250,78,1.04,5,0,74,29,28.0,207.0,5.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,hounie_rcl,2,75,1000,250,83,1.1066666666666667,15,0,75,29,28.0,123.0,15.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,hounie_rcl,3,75,1000,250,92,1.2266666666666666,33,0,75,29,28.0,209.0,33.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,hounie_rcl,4,75,1000,250,92,1.2266666666666666,33,0,75,29,28.0,139.0,41.0,0.0,,0.0
octmnist,MobileNetV3,L30_G30,tralo,1,75,1000,250,42,0.56,0,1,42,8,30.0,,,,,
octmnist,MobileNetV3,L30_G30,tralo,2,75,1000,250,55,0.7333333333333333,0,1,55,8,30.0,,,,,
octmnist,MobileNetV3,L30_G30,tralo,3,75,1000,250,77,1.0266666666666666,4,0,75,7,30.0,,,,,
octmnist,MobileNetV3,L30_G30,tralo,4,75,1000,250,77,1.0266666666666666,8,0,71,7,30.0,,,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,51,2400,171,35,0.6862745098039216,0,1,51,29,28.0,186.0,0.0,1.0,0.0,1.0
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,51,2400,171,55,1.0784313725490196,9,0,51,29,28.0,260.0,9.0,0.0,,0.0
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,51,2400,171,20,0.39215686274509803,0,1,51,29,28.0,44.0,0.0,1.0,23.0,1.0
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,51,2400,171,44,0.8627450980392157,0,1,51,29,28.0,280.0,0.0,1.0,0.0,3.0
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,51,2400,171,35,0.6862745098039216,0,1,51,29,28.0,226.0,0.0,1.0,0.0,1.0
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,51,2400,171,80,1.5686274509803921,58,0,51,29,28.0,184.0,58.0,0.0,,0.0
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,51,2400,171,53,1.0392156862745099,4,0,51,29,28.0,168.0,4.0,0.0,,0.0
