dataset,model,cap,seed,method,K,raw_count,max_epoch,log_rows,warmup,cep,AP,ccF1eq,k_used,TP,n_true,fill,AP_ce,ccF1eq_ce,TP_ce,raw_ce,AP_ce_lp,ccF1eq_ce_lp,TP_ce_lp,raw_ce_lp,dAP,dcc
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,112,52,27.0,28,1,29,0.5235007484841816,0.4491017964071856,111,75,223,0.4642857142857143,0.679767880298651,0.562874251497006,94,164,0.679767880298651,0.562874251497006,94,164,-0.15626713181446938,-0.11377245508982037
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,112,38,24.0,25,1,29,0.564949066665863,0.48502994011976047,111,81,223,0.3392857142857143,0.7056520413443165,0.592814371257485,99,167,0.7056520413443165,0.592814371257485,99,167,-0.1407029746784535,-0.10778443113772457
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,112,54,28.0,29,1,29,0.48416291677517437,0.40119760479041916,111,67,223,0.48214285714285715,0.6994360828307511,0.5808383233532934,97,184,0.6994360828307511,0.5808383233532934,97,184,-0.21527316605557673,-0.17964071856287428
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,112,71,28.0,29,1,29,0.6082769508687245,0.5089820359281437,111,85,223,0.6339285714285714,0.6850627078056499,0.5329341317365269,89,198,0.6850627078056499,0.5329341317365269,89,198,-0.07678575693692546,-0.0239520958083832
dermmnist,MobileNetV3,L50_G50,4,tralo,112,66,30.0,14,1,29,0.6431543255398516,0.5389221556886228,111,90,223,0.5892857142857143,0.679767880298651,0.562874251497006,94,164,0.679767880298651,0.562874251497006,94,164,-0.03661355475879935,-0.0239520958083832
dermmnist,MobileNetV3,L50_G50,3,tralo,112,99,30.0,11,1,29,0.6558994453298156,0.5508982035928144,111,92,223,0.8839285714285714,0.7056520413443165,0.592814371257485,99,167,0.7056520413443165,0.592814371257485,99,167,-0.04975259601450088,-0.041916167664670656
dermmnist,MobileNetV3,L50_G50,1,tralo,112,80,30.0,13,1,29,0.6335067813669428,0.5568862275449101,111,93,223,0.7142857142857143,0.6994360828307511,0.5808383233532934,97,184,0.6994360828307511,0.5808383233532934,97,184,-0.06592930146380827,-0.02395209580838331
dermmnist,MobileNetV3,L50_G50,2,tralo,112,95,30.0,16,1,29,0.6591550666068976,0.5449101796407185,111,91,223,0.8482142857142857,0.6850627078056499,0.5329341317365269,89,198,0.6850627078056499,0.5329341317365269,89,198,-0.02590764119875233,0.0119760479041916
dermmnist,MobileNetV3,L50_G50,4,fioretto_ldf,112,97,20.0,21,1,29,0.635610149084322,0.5389221556886228,111,90,223,0.8660714285714286,0.679767880298651,0.562874251497006,94,164,0.679767880298651,0.562874251497006,94,164,-0.04415773121432898,-0.0239520958083832
dermmnist,MobileNetV3,L50_G50,3,fioretto_ldf,112,76,19.0,20,1,29,0.6254235776780518,0.5029940119760479,111,84,223,0.6785714285714286,0.7056520413443165,0.592814371257485,99,167,0.7056520413443165,0.592814371257485,99,167,-0.08022846366626468,-0.08982035928143717
dermmnist,MobileNetV3,L50_G50,1,fioretto_ldf,112,78,23.0,24,1,29,0.6420835526670444,0.5329341317365269,111,89,223,0.6964285714285714,0.6994360828307511,0.5808383233532934,97,184,0.6994360828307511,0.5808383233532934,97,184,-0.05735253016370667,-0.04790419161676651
dermmnist,MobileNetV3,L50_G50,2,fioretto_ldf,112,110,28.0,29,1,29,0.6517579261994727,0.5449101796407185,111,91,223,0.9821428571428571,0.6850627078056499,0.5329341317365269,89,198,0.6850627078056499,0.5329341317365269,89,198,-0.033304781606177225,0.0119760479041916
tissuemnist,MobileNetV3,L50_G50,4,hounie_rcl,86,85,28.0,29,1,29,0.27084350661726264,0.28793774319066145,86,37,171,0.9883720930232558,0.38274006452985887,0.311284046692607,40,157,0.38274006452985887,0.311284046692607,40,157,-0.11189655791259623,-0.023346303501945553
tissuemnist,MobileNetV3,L50_G50,3,hounie_rcl,86,54,28.0,29,1,29,0.231607236675273,0.25680933852140075,86,33,171,0.627906976744186,0.411828463207173,0.3657587548638132,47,218,0.411828463207173,0.3657587548638132,47,218,-0.18022122653189998,-0.10894941634241245
tissuemnist,MobileNetV3,L50_G50,1,hounie_rcl,86,35,28.0,29,1,29,0.3954645792438441,0.32684824902723736,86,42,171,0.4069767441860465,0.39853999493550796,0.35019455252918286,45,288,0.39853999493550796,0.35019455252918286,45,288,-0.003075415691663863,-0.023346303501945498
tissuemnist,MobileNetV3,L50_G50,2,hounie_rcl,86,81,28.0,29,1,29,0.337777312890084,0.29571984435797666,86,38,171,0.9418604651162791,0.38482688231431644,0.35019455252918286,45,262,0.38482688231431644,0.35019455252918286,45,262,-0.04704956942423244,-0.0544747081712062
tissuemnist,MobileNetV3,L50_G50,4,tralo,86,68,30.0,9,1,29,0.3278875194271938,0.29571984435797666,86,38,171,0.7906976744186046,0.38274006452985887,0.311284046692607,40,157,0.38274006452985887,0.311284046692607,40,157,-0.05485254510266507,-0.01556420233463035
tissuemnist,MobileNetV3,L50_G50,3,tralo,86,63,5.0,4,1,29,0.3976203801948647,0.3346303501945525,86,43,171,0.7325581395348837,0.411828463207173,0.3657587548638132,47,218,0.411828463207173,0.3657587548638132,47,218,-0.014208083012308304,-0.0311284046692607
tissuemnist,MobileNetV3,L50_G50,1,tralo,86,46,30.0,7,1,29,0.41318960123149534,0.35019455252918286,86,45,171,0.5348837209302325,0.39853999493550796,0.35019455252918286,45,288,0.39853999493550796,0.35019455252918286,45,288,0.014649606295987383,0.0
tissuemnist,MobileNetV3,L50_G50,2,tralo,86,58,30.0,8,1,29,0.42791533550486804,0.38910505836575876,86,50,171,0.6744186046511628,0.38482688231431644,0.35019455252918286,45,262,0.38482688231431644,0.35019455252918286,45,262,0.0430884531905516,0.038910505836575904
tissuemnist,MobileNetV3,L50_G50,4,fioretto_ldf,86,77,28.0,29,1,29,0.3111756289946287,0.31906614785992216,86,41,171,0.8953488372093024,0.38274006452985887,0.311284046692607,40,157,0.38274006452985887,0.311284046692607,40,157,-0.07156443553523018,0.0077821011673151474
tissuemnist,MobileNetV3,L50_G50,3,fioretto_ldf,86,66,28.0,29,1,29,0.34349446917416493,0.311284046692607,86,40,171,0.7674418604651163,0.411828463207173,0.3657587548638132,47,218,0.411828463207173,0.3657587548638132,47,218,-0.06833399403300805,-0.0544747081712062
tissuemnist,MobileNetV3,L50_G50,1,fioretto_ldf,86,61,28.0,29,1,29,0.28715025236541913,0.29571984435797666,86,38,171,0.7093023255813954,0.39853999493550796,0.35019455252918286,45,288,0.39853999493550796,0.35019455252918286,45,288,-0.11138974257008882,-0.0544747081712062
tissuemnist,MobileNetV3,L50_G50,2,fioretto_ldf,86,83,28.0,29,1,29,0.3616882355063031,0.3424124513618677,86,44,171,0.9651162790697675,0.38482688231431644,0.35019455252918286,45,262,0.38482688231431644,0.35019455252918286,45,262,-0.023138646808013363,-0.0077821011673151474
octmnist,MobileNetV3,L50_G50,4,hounie_rcl,125,64,28.0,29,1,29,0.8223765465515465,0.6186666666666667,125,116,250,0.512,0.72638479977456,0.5226666666666666,98,149,0.72638479977456,0.5226666666666666,98,149,0.09599174677698641,0.09600000000000009
octmnist,MobileNetV3,L50_G50,3,hounie_rcl,125,86,28.0,29,1,29,0.7534063613721464,0.5706666666666667,125,107,250,0.688,0.8262172810605988,0.608,114,188,0.8262172810605988,0.608,114,188,-0.07281091968845232,-0.03733333333333333
octmnist,MobileNetV3,L50_G50,1,hounie_rcl,125,96,28.0,29,1,29,0.7869481365119021,0.5973333333333334,125,112,250,0.768,0.7580042313731934,0.56,105,113,0.7580042313731934,0.56,105,113,0.028943905138708703,0.03733333333333333
octmnist,MobileNetV3,L50_G50,2,hounie_rcl,125,113,28.0,29,1,29,0.8264072779293988,0.6133333333333333,125,115,250,0.904,0.8108231951833579,0.592,111,191,0.8108231951833579,0.592,111,191,0.01558408274604095,0.021333333333333315
octmnist,MobileNetV3,L50_G50,4,tralo,125,122,30.0,9,1,29,0.8286873641921993,0.608,125,114,250,0.976,0.72638479977456,0.5226666666666666,98,149,0.72638479977456,0.5226666666666666,98,149,0.1023025644176393,0.08533333333333337
octmnist,MobileNetV3,L50_G50,3,tralo,125,108,30.0,11,1,29,0.8145282858354329,0.5973333333333334,125,112,250,0.864,0.8262172810605988,0.608,114,188,0.8262172810605988,0.608,114,188,-0.011688995225165866,-0.010666666666666602
octmnist,MobileNetV3,L50_G50,1,tralo,125,103,30.0,11,1,29,0.7709309982736356,0.576,125,108,250,0.824,0.7580042313731934,0.56,105,113,0.7580042313731934,0.56,105,113,0.012926766900442255,0.015999999999999903
octmnist,MobileNetV3,L50_G50,2,tralo,125,99,30.0,12,1,29,0.7560338499848368,0.544,125,102,250,0.792,0.8108231951833579,0.592,111,191,0.8108231951833579,0.592,111,191,-0.05478934519852108,-0.04799999999999993
octmnist,MobileNetV3,L50_G50,4,fioretto_ldf,125,117,28.0,29,1,29,0.8121980585359813,0.592,125,111,250,0.936,0.72638479977456,0.5226666666666666,98,149,0.72638479977456,0.5226666666666666,98,149,0.08581325876142121,0.06933333333333336
octmnist,MobileNetV3,L50_G50,3,fioretto_ldf,125,111,28.0,29,1,29,0.7651043720875812,0.5653333333333334,125,106,250,0.888,0.8262172810605988,0.608,114,188,0.8262172810605988,0.608,114,188,-0.06111290897301758,-0.04266666666666663
octmnist,MobileNetV3,L50_G50,1,fioretto_ldf,125,108,28.0,29,1,29,0.7215008445074367,0.5333333333333333,125,100,250,0.864,0.7580042313731934,0.56,105,113,0.7580042313731934,0.56,105,113,-0.036503386865756715,-0.026666666666666727
octmnist,MobileNetV3,L50_G50,2,fioretto_ldf,125,111,28.0,29,1,29,0.8295688576114865,0.6186666666666667,125,116,250,0.888,0.8108231951833579,0.592,111,191,0.8108231951833579,0.592,111,191,0.018745662428128584,0.026666666666666727
dermmnist,RegNetY400MF,L30_G30,4,hounie_rcl,67,9,25.0,26,1,29,0.34403368993858147,0.2827586206896552,67,41,223,0.13432835820895522,0.7005271208528738,0.4,58,182,0.7005271208528738,0.4,58,182,-0.35649343091429236,-0.11724137931034484
dermmnist,RegNetY400MF,L30_G30,3,hounie_rcl,67,8,20.0,21,1,29,0.37381258850952215,0.2689655172413793,67,39,223,0.11940298507462686,0.7020126218145958,0.4068965517241379,59,153,0.7020126218145958,0.4068965517241379,59,153,-0.32820003330507364,-0.13793103448275862
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,67,16,28.0,29,1,29,0.5090260122722069,0.3586206896551724,67,52,223,0.23880597014925373,0.7013511596879296,0.4068965517241379,59,170,0.7013511596879296,0.4068965517241379,59,170,-0.1923251474157227,-0.0482758620689655
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,67,5,24.0,25,1,29,0.36470269415610734,0.2413793103448276,67,35,223,0.07462686567164178,0.640130894062552,0.38620689655172413,56,184,0.640130894062552,0.38620689655172413,56,184,-0.2754281999064446,-0.14482758620689654
dermmnist,RegNetY400MF,L30_G30,4,tralo,67,90,30.0,7,1,29,0.6007235320556298,0.3931034482758621,67,57,223,1.3432835820895523,0.7005271208528738,0.4,58,182,0.7005271208528738,0.4,58,182,-0.09980358879724405,-0.006896551724137945
dermmnist,RegNetY400MF,L30_G30,3,tralo,67,96,30.0,7,1,29,0.6039074658861605,0.4068965517241379,67,59,223,1.4328358208955223,0.7020126218145958,0.4068965517241379,59,153,0.7020126218145958,0.4068965517241379,59,153,-0.09810515592843527,0.0
dermmnist,RegNetY400MF,L30_G30,1,tralo,67,124,30.0,7,1,29,0.6965820998089212,0.43448275862068964,67,63,223,1.8507462686567164,0.7013511596879296,0.4068965517241379,59,170,0.7013511596879296,0.4068965517241379,59,170,-0.0047690598790084415,0.027586206896551724
dermmnist,RegNetY400MF,L30_G30,2,tralo,67,152,30.0,7,1,29,0.6376213629758776,0.38620689655172413,67,56,223,2.2686567164179103,0.640130894062552,0.38620689655172413,56,184,0.640130894062552,0.38620689655172413,56,184,-0.002509531086674399,0.0
dermmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,67,52,28.0,29,1,29,0.5004014913308018,0.3448275862068966,67,50,223,0.7761194029850746,0.7005271208528738,0.4,58,182,0.7005271208528738,0.4,58,182,-0.20012562952207202,-0.05517241379310345
dermmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,67,51,19.0,20,1,29,0.6063083218708846,0.4,67,58,223,0.7611940298507462,0.7020126218145958,0.4068965517241379,59,153,0.7020126218145958,0.4068965517241379,59,153,-0.09570429994371121,-0.006896551724137889
dermmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,67,21,20.0,21,1,29,0.5673747534459136,0.4,67,58,223,0.31343283582089554,0.7013511596879296,0.4068965517241379,59,170,0.7013511596879296,0.4068965517241379,59,170,-0.133976406242016,-0.006896551724137889
dermmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,67,51,18.0,19,1,29,0.5571203326042151,0.3586206896551724,67,52,223,0.7611940298507462,0.640130894062552,0.38620689655172413,56,184,0.640130894062552,0.38620689655172413,56,184,-0.08301056145833685,-0.027586206896551724
tissuemnist,RegNetY400MF,L30_G30,4,hounie_rcl,51,105,28.0,29,1,29,0.3562319557558725,0.2882882882882883,51,32,171,2.0588235294117645,0.4114904495777295,0.2882882882882883,32,148,0.4114904495777295,0.2882882882882883,32,148,-0.05525849382185699,0.0
tissuemnist,RegNetY400MF,L30_G30,3,hounie_rcl,51,86,28.0,29,1,29,0.4429713849593309,0.2702702702702703,51,30,171,1.6862745098039216,0.3973471766257748,0.27927927927927926,31,210,0.3973471766257748,0.27927927927927926,31,210,0.04562420833355613,-0.009009009009008973
tissuemnist,RegNetY400MF,L30_G30,1,hounie_rcl,51,103,28.0,29,1,29,0.3865354881989905,0.27927927927927926,51,31,171,2.019607843137255,0.3815545842815669,0.2882882882882883,32,172,0.3815545842815669,0.2882882882882883,32,172,0.0049809039174235625,-0.009009009009009028
tissuemnist,RegNetY400MF,L30_G30,2,hounie_rcl,51,101,28.0,29,1,29,0.41595866292658606,0.2972972972972973,51,33,171,1.9803921568627452,0.3462893098101365,0.24324324324324326,27,142,0.3462893098101365,0.24324324324324326,27,142,0.06966935311644956,0.05405405405405406
tissuemnist,RegNetY400MF,L30_G30,4,tralo,51,136,30.0,7,1,29,0.36359285552718557,0.2702702702702703,51,30,171,2.6666666666666665,0.4114904495777295,0.2882882882882883,32,148,0.4114904495777295,0.2882882882882883,32,148,-0.047897594050543946,-0.018018018018018
tissuemnist,RegNetY400MF,L30_G30,3,tralo,51,111,30.0,7,1,29,0.4104309011286234,0.26126126126126126,51,29,171,2.176470588235294,0.3973471766257748,0.27927927927927926,31,210,0.3973471766257748,0.27927927927927926,31,210,0.013083724502848615,-0.018018018018018
tissuemnist,RegNetY400MF,L30_G30,1,tralo,51,105,30.0,7,1,29,0.3517354705612637,0.2702702702702703,51,30,171,2.0588235294117645,0.3815545842815669,0.2882882882882883,32,172,0.3815545842815669,0.2882882882882883,32,172,-0.029819113720303214,-0.018018018018018
tissuemnist,RegNetY400MF,L30_G30,2,tralo,51,123,30.0,7,1,29,0.4170239495472287,0.26126126126126126,51,29,171,2.411764705882353,0.3462893098101365,0.24324324324324326,27,142,0.3462893098101365,0.24324324324324326,27,142,0.07073463973709221,0.018018018018018
tissuemnist,RegNetY400MF,L30_G30,4,fioretto_ldf,51,107,28.0,29,1,29,0.38487164601217827,0.2702702702702703,51,30,171,2.0980392156862746,0.4114904495777295,0.2882882882882883,32,148,0.4114904495777295,0.2882882882882883,32,148,-0.02661880356555124,-0.018018018018018
tissuemnist,RegNetY400MF,L30_G30,3,fioretto_ldf,51,78,28.0,29,1,29,0.4160321002580541,0.2882882882882883,51,32,171,1.5294117647058822,0.3973471766257748,0.27927927927927926,31,210,0.3973471766257748,0.27927927927927926,31,210,0.018684923632279304,0.009009009009009028
tissuemnist,RegNetY400MF,L30_G30,1,fioretto_ldf,51,74,28.0,29,1,29,0.36602478743763034,0.24324324324324326,51,27,171,1.4509803921568627,0.3815545842815669,0.2882882882882883,32,172,0.3815545842815669,0.2882882882882883,32,172,-0.015529796843936572,-0.04504504504504503
tissuemnist,RegNetY400MF,L30_G30,2,fioretto_ldf,51,101,28.0,29,1,29,0.41595866292658606,0.2972972972972973,51,33,171,1.9803921568627452,0.3462893098101365,0.24324324324324326,27,142,0.3462893098101365,0.24324324324324326,27,142,0.06966935311644956,0.05405405405405406
octmnist,RegNetY400MF,L30_G30,4,hounie_rcl,75,94,28.0,29,1,29,0.7363880807584706,0.40615384615384614,75,66,250,1.2533333333333334,0.7490056135725762,0.39384615384615385,64,163,0.7490056135725762,0.39384615384615385,64,163,-0.012617532814105603,0.012307692307692297
octmnist,RegNetY400MF,L30_G30,3,hounie_rcl,75,69,28.0,29,1,29,0.7309683404383006,0.4123076923076923,75,67,250,0.92,0.680427716868293,0.38153846153846155,62,133,0.680427716868293,0.38153846153846155,62,133,0.05054062357000766,0.03076923076923077
octmnist,RegNetY400MF,L30_G30,1,hounie_rcl,75,107,28.0,29,1,29,0.7439418154228263,0.4246153846153846,75,69,250,1.4266666666666667,0.7130774306587018,0.4,65,167,0.7130774306587018,0.4,65,167,0.030864384764124564,0.024615384615384595
octmnist,RegNetY400MF,L30_G30,2,hounie_rcl,75,108,28.0,29,1,29,0.7354033173452216,0.40615384615384614,75,66,250,1.44,0.754518911767582,0.4123076923076923,67,155,0.754518911767582,0.4123076923076923,67,155,-0.019115594422360438,-0.006153846153846176
octmnist,RegNetY400MF,L30_G30,4,tralo,75,89,30.0,7,1,29,0.7363577678094129,0.40615384615384614,75,66,250,1.1866666666666668,0.7490056135725762,0.39384615384615385,64,163,0.7490056135725762,0.39384615384615385,64,163,-0.012647845763163357,0.012307692307692297
octmnist,RegNetY400MF,L30_G30,3,tralo,75,126,30.0,7,1,29,0.7009144846064651,0.38769230769230767,75,63,250,1.68,0.680427716868293,0.38153846153846155,62,133,0.680427716868293,0.38153846153846155,62,133,0.02048676773817215,0.006153846153846121
octmnist,RegNetY400MF,L30_G30,1,tralo,75,121,30.0,7,1,29,0.7520266239331184,0.4246153846153846,75,69,250,1.6133333333333333,0.7130774306587018,0.4,65,167,0.7130774306587018,0.4,65,167,0.038949193274416594,0.024615384615384595
octmnist,RegNetY400MF,L30_G30,2,tralo,75,124,30.0,7,1,29,0.7160146073244622,0.4,75,65,250,1.6533333333333333,0.754518911767582,0.4123076923076923,67,155,0.754518911767582,0.4123076923076923,67,155,-0.03850430444311981,-0.012307692307692297
octmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,75,127,28.0,29,1,29,0.7420239925268304,0.4123076923076923,75,67,250,1.6933333333333334,0.7490056135725762,0.39384615384615385,64,163,0.7490056135725762,0.39384615384615385,64,163,-0.006981621045745845,0.018461538461538474
octmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,75,106,28.0,29,1,29,0.7169548360754253,0.4,75,65,250,1.4133333333333333,0.680427716868293,0.38153846153846155,62,133,0.680427716868293,0.38153846153846155,62,133,0.036527119207132364,0.018461538461538474
octmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,75,125,28.0,29,1,29,0.6941591535566026,0.39384615384615385,75,64,250,1.6666666666666667,0.7130774306587018,0.4,65,167,0.7130774306587018,0.4,65,167,-0.018918277102099146,-0.006153846153846176
octmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,75,57,28.0,29,1,29,0.6921825660756759,0.40615384615384614,75,66,250,0.76,0.754518911767582,0.4123076923076923,67,155,0.754518911767582,0.4123076923076923,67,155,-0.06233634569190616,-0.006153846153846176
