campaign,dataset,model,cap,seed,K,N,n_rows,last_ep,gate_ep,n_off,n_on,n_nan_soft,n_nan_soft_off,lam_min,lam_final,first_sat,n_sat,exc_final,soft_final,step_on,drift_on,ratio_on,npts_on,netcounts_on,step_off,drift_off,ratio_off,npts_off,netcounts_off,peak_ep_soft,last_rise_ep_soft,peak_ep_exc,last_rise_ep_exc,excratio_on,excstep_on,excdrift_on,excratio_off,excstep_off,excdrift_off,ratio_late10,npts_late10,ratio_early10,ratio_late12,npts_late12,ratio_early12,ratio_late15,npts_late15,ratio_early15,ratio_on_tail,npts_on_tail
lrc1e-4,dermmnist,MobileNetV3,L30_G30,1,67,2003,28,27,13.0,15,13,0,0,0.000592,0.008383,23.0,5,0.0,21.013123000000036,41.635192583333314,-3.515431916666666,0.08443414569610766,13,-42.185182999999995,8.931233928571439,-8.931233928571439,1.0,15.0,-125.03727500000015,1,13,11,13,0.014314928425357873,81.5,-1.1666666666666667,1.0,11.0,-11.0,0.5859148999212455,18,0.0857896085826225,0.95836993349228,16,0.08664579427690501,1.0,13,0.08335614726292385,0.08443414569610766,13.0
lrc1e-4,dermmnist,MobileNetV3,L30_G30,2,67,2003,29,28,18.0,11,18,0,0,0.000634,0.010493,24.0,5,0.0,30.407193000000213,48.667480117647074,-1.8868260000000017,0.03876974923375638,18,-32.07604200000003,11.532873399999989,-11.532873399999989,1.0,11.0,-115.32873399999988,10,17,10,17,0.018359853121175027,96.11764705882354,1.7647058823529411,1.0,15.4,-15.4,0.6247924337592955,19,0.01217166586114018,0.3742323901264299,17,0.04378236763541106,0.8067457094905518,14,0.09605325460267958,0.04574596328476634,11.0
lrc1e-4,dermmnist,MobileNetV3,L30_G30,3,67,2003,22,21,10.0,12,10,0,0,0.00109,0.008004,17.0,5,0.0,23.354630000000007,39.775351444444446,-13.302813222222223,0.334448665797528,10,-119.72531900000001,11.989775909090907,-11.989775909090907,1.0,12.0,-131.88753499999999,4,9,4,9,0.28651685393258425,79.11111111111111,-22.666666666666668,1.0,16.0,-16.0,1.0,12,0.334448665797528,1.0,10,0.37582057753965814,1.0,7,0.44260543580131223,0.334448665797528,10.0
lrc1e-4,dermmnist,MobileNetV3,L30_G30,4,67,2003,27,26,14.0,13,14,0,0,0.000722,0.011174,22.0,5,0.0,30.847852999999915,52.04764684615383,0.2898186923076786,0.005568334206623125,14,3.7676429999998216,15.13216425000003,-15.13216425000003,1.0,13.0,-181.58597100000037,6,13,6,13,0.053824362606232294,108.61538461538461,5.846153846153846,1.0,23.5,-23.5,0.6290805927042942,17,0.25279158085665177,0.5208617060789914,15,0.07722703503230625,1.0,12,0.0012025607470028748,0.011520765079977085,13.0
lrc1e-4,octmnist,MobileNetV3,L30_G30,1,75,1000,29,28,28.0,1,28,0,0,0.001339,0.025465,,0,207.0,180.04400000000027,37.59318518518519,-0.45185185185185145,0.01201951496331091,28,-12.199999999999989,,,,,,8,27,0,27,0.04245709123757904,82.0,-3.4814814814814814,,,,0.0628702533924209,19,0.06664417687357271,0.060924661658314776,17,0.12274397680043417,0.08466516380112889,14,0.06153748836536806,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,2,75,1000,29,28,28.0,1,28,0,0,0.000761,0.022407,,0,123.0,141.7459999999999,37.40033333333343,0.34485185185185946,0.00922055557041003,28,9.311000000000206,,,,,,10,27,10,27,0.05711519845111326,76.51851851851852,4.37037037037037,,,,0.09698954493758469,19,0.03041884543891065,0.011375455443407392,17,0.07603413505205979,0.028078718699041088,14,0.008354973249003826,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,3,75,1000,29,28,,0,29,0,0,0.001344,0.024806,,0,209.0,182.6490000000001,41.881107142857154,-0.9553928571428543,0.022812024856076352,29,-26.75099999999992,,,,,,8,28,8,28,0.046511627906976744,86.0,-4.0,,,,0.13925675281488836,19,0.1505887004841688,0.03831956527705381,17,0.2219439922410179,0.019061920392135518,14,0.060960808355827976,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,4,75,1000,29,28,27.0,2,27,0,0,0.000732,0.027011,,0,139.0,144.2060000000001,39.3938461538462,2.0230769230769194,0.05135515113645225,27,52.59999999999991,,,,,,24,26,24,26,0.0639481000926784,83.0,5.3076923076923075,,,,0.0021916646994443014,19,0.026710556828825616,0.08321272041585927,17,0.11087290471831242,0.11939209173226527,14,0.016852251396332313,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,1,51,2400,29,28,,0,29,0,0,0.000605,0.018077,0.0,1,226.0,163.4591999999999,74.91702857142866,-1.169314285714289,0.01560812418767279,29,-32.74080000000009,,,,,,11,27,11,27,0.04919460165433173,164.07142857142858,8.071428571428571,,,,0.02371575059105908,19,0.014859440406832524,0.028862955695548923,17,0.30195018601004264,0.060131336749415724,14,0.010291628993451962,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,2,51,2400,29,28,,0,29,0,0,0.00116,0.017967,,0,184.0,146.47920000000033,71.64111428571435,-6.532885714285702,0.09118905783949255,29,-182.92079999999964,,,,,,6,28,6,28,0.050615595075239404,156.64285714285714,-7.928571428571429,,,,0.08189587655254847,19,0.14048534239569757,0.014840376217520261,17,0.23586143424919784,0.06500181414385078,14,0.12300229233920618,,
