campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc1e-4,dermmnist,MobileNetV3,L30_G30,1,67,1,13.0,15,28,1,23.0,5,0.0,0.0,21.013123000000036,21.013123000000036,16,20,0.009394,0.008383,0,0.6863712985074621,0.7611940298507462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.19563400877376225
lrc1e-4,dermmnist,MobileNetV3,L30_G30,2,67,1,18.0,11,29,1,24.0,5,0.0,0.0,30.407193000000213,30.407193000000213,28,22,0.011174,0.010493,0,0.5461612985074595,0.582089552238806,1.0,1.0,1.0,1.0,1.0,0.7606833022700742,1.0,7.0,0.12478976129227082
lrc1e-4,dermmnist,MobileNetV3,L30_G30,3,67,1,10.0,12,22,1,17.0,5,0.0,0.0,23.354630000000007,23.354630000000007,18,15,0.008803,0.008004,0,0.6514234328358208,0.7313432835820896,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,7.0,0.46221663607346003
lrc1e-4,dermmnist,MobileNetV3,L30_G30,4,67,1,14.0,13,27,1,22.0,5,0.0,0.0,30.847852999999915,30.847852999999915,25,21,0.01171,0.011174,0,0.5395842835820908,0.6268656716417911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.1628966078095543
lrc1e-4,octmnist,MobileNetV3,L30_G30,1,75,1,28.0,1,29,0,,0,207.0,5.0,180.04400000000027,108.81300000000002,78,28,0.025465,0.025465,1,-1.4005866666666702,-0.04,0.5153631284916285,0.6061293984109012,0.24550533168866392,0.13854383867131728,0.14394549196670403,0.11764433966625129,,,0.027970130041330688
lrc1e-4,octmnist,MobileNetV3,L30_G30,2,75,1,28.0,1,29,0,,0,123.0,15.0,141.7459999999999,103.37799999999974,83,28,0.022407,0.022407,1,-0.8899466666666652,-0.10666666666666667,0.28512038215842445,0.2198801772719818,0.22270485498393652,0.07161916104577225,0.09039037287608345,0.10789351851851797,,,0.009095028167945978
lrc1e-4,octmnist,MobileNetV3,L30_G30,3,75,0,,0,29,0,,0,209.0,33.0,182.6490000000001,91.94299999999996,92,28,0.024806,0.024806,1,-1.435320000000001,-0.22666666666666666,0.38873461051512714,0.3725867831155928,0.13163208006289281,0.019411233065194218,0.024580138453419744,0.02875267106813995,,,0.022812024856076352
lrc1e-4,octmnist,MobileNetV3,L30_G30,4,75,1,27.0,2,29,0,,0,139.0,41.0,144.2060000000001,106.43799999999983,92,28,0.027011,0.027011,1,-0.922746666666668,-0.22666666666666666,0.30334853300170256,0.6068671535882305,0.2598639152755657,0.10013681051213866,0.022486495145790993,0.0347535598338678,,,0.003695294559571481
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,1,51,0,,0,29,1,0.0,1,226.0,0.0,163.4591999999999,83.24399999999991,35,28,0.018077,0.018077,1,-2.2050823529411745,0.3137254901960784,0.1940433212996375,0.3618735180433298,0.18307443480733654,0.14474414275742373,0.05680643580787384,0.026047239133858684,,,0.01560812418767279
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,2,51,0,,0,29,0,,0,184.0,58.0,146.47920000000033,78.69839999999999,80,28,0.017967,0.017967,1,-1.8721411764705949,-0.5686274509803921,0.13434358785089384,0.0029272599886767704,0.3402112589415949,0.05816845852023699,0.12366079066209097,0.07504344452652126,,,0.09118905783949255
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,3,51,0,,0,29,0,,0,168.0,4.0,132.23039999999997,64.41599999999976,53,28,0.012733,0.012733,1,-1.59275294117647,-0.0392156862745098,0.19729639146464112,0.16808926612941616,0.030550485590031082,0.007196969696970017,0.1506785179720362,0.03652536199470928,,,0.017819010994659202
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,4,51,0,,0,29,1,0.0,2,122.0,0.0,112.87920000000011,95.9879999999998,47,28,0.014354,0.014354,1,-1.2133176470588256,0.0784313725490196,0.7961797504692474,0.32158089280636776,0.22472378295634435,0.03555494568663988,0.050178562810674704,0.05721775802131385,,,0.030515576750185545
lrc1e-4,dermmnist,MobileNetV3,L50_G50,1,112,1,11.0,18,29,1,26.0,3,0.0,0.0,65.46430099999998,65.46430099999998,54,23,0.007864,0.00722,0,0.4154973125000002,0.5178571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.1451521460525879
lrc1e-4,dermmnist,MobileNetV3,L50_G50,2,112,1,22.0,7,29,1,25.0,4,0.0,0.0,78.16532400000011,78.16532400000011,71,24,0.006559,0.006125,0,0.30209532142857043,0.36607142857142855,1.0,1.0,1.0,1.0,0.7318310316376074,0.29913246410633626,1.0,5.0,0.1265702865448506
lrc1e-4,dermmnist,MobileNetV3,L50_G50,3,112,1,14.0,11,25,1,20.0,5,0.0,0.0,46.920526999999964,46.920526999999964,38,18,0.006752,0.005588,0,0.581066723214286,0.6607142857142857,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,7.0,0.22945947806926936
lrc1e-4,dermmnist,MobileNetV3,L50_G50,4,112,1,13.0,15,28,1,7.0,6,0.0,0.0,59.635570999999935,59.635570999999935,52,20,0.005601,0.004573,0,0.46753954464285774,0.5357142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.18397362848817247
lrc1e-4,octmnist,MobileNetV3,L50_G50,1,125,1,28.0,1,29,1,1.0,3,144.0,0.0,196.95500000000004,98.05000000000001,96,28,0.01187,0.01187,1,-0.5756400000000004,0.232,0.5280276444408643,0.5062559643728134,0.28205359407140296,0.025299905404021533,0.18011283564362074,0.07095708866862675,,,0.008774513728863462
lrc1e-4,octmnist,MobileNetV3,L50_G50,2,125,0,,0,29,1,1.0,2,60.0,0.0,153.485,113.90299999999999,113,28,0.009058,0.009058,1,-0.2278800000000001,0.096,0.42570269402527633,0.14600416105739822,0.19016026149273887,0.07381559887064897,0.03448098795861263,0.04591696290354559,,,0.002582971879721254
lrc1e-4,octmnist,MobileNetV3,L50_G50,3,125,1,25.0,4,29,1,10.0,4,0.0,0.0,104.47499999999991,99.27700000000003,86,23,0.008074,0.007644,0,0.16420000000000073,0.312,1.0,0.605871303132248,0.22630416889852864,0.24057534185855878,0.1911433929035828,0.19409659742368846,0.9082906399934977,6.0,0.026632071712125324
lrc1e-4,octmnist,MobileNetV3,L50_G50,4,125,1,22.0,7,29,1,7.0,4,0.0,0.0,83.09000000000009,83.09000000000009,64,25,0.011016,0.010307,0,0.3352799999999993,0.488,1.0,1.0,1.0,0.23049889582789054,0.24240973503707997,0.21670992495627073,1.0,4.0,0.0018854427654125105
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,1,86,0,,0,29,1,0.0,1,226.0,0.0,194.08880000000022,106.64239999999987,35,28,0.012732,0.012732,1,-1.2568465116279095,0.5930232558139535,0.43051570315317444,0.13400370402595466,0.11453639019095645,0.10034554498063068,0.0003179373744896583,0.027318827895697062,,,0.000899849746988848
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,2,86,0,,0,29,0,,0,72.0,2.0,125.52559999999986,89.16319999999983,81,28,0.012818,0.012818,1,-0.4595999999999983,0.05813953488372093,0.29202243509434683,0.45880092360853264,0.04266086545064372,0.06773508355904233,0.0633159268929511,0.057797105572434046,,,0.12359118908370734
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,3,86,0,,0,29,1,0.0,6,108.0,0.0,138.0031999999999,63.78799999999992,54,28,0.008757,0.008757,1,-0.6046883720930222,0.37209302325581395,0.281539376433609,0.3243723661347331,0.08798177564339295,0.2154329415159877,0.06659660660711565,0.2556193747349346,,,0.018931726575824342
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,4,86,0,,0,29,1,0.0,4,146.0,0.0,163.56319999999997,92.65759999999996,85,28,0.009998,0.009998,1,-0.9018976744186042,0.011627906976744186,0.31559238019429414,0.24743983395371846,0.09221813276243834,0.1893918996884498,0.03645154421807569,0.07986279521968073,,,0.00346364457612094
