campaign,dataset,model,cap,seed,gate_ep,n_off,ratio_off,npts_off,ratio_on,npts_on,last_rise_ep,last_rise_ep_exc,rise_after_gate_soft,rise_after_gate_exc,win_on_mean,win_on_best
lrc1e-4,dermmnist,MobileNetV3,L30_G30,1,13.0,15,1.0,15.0,0.08443414569610766,13,13,13,0.0,0.0,0.08443414569610766,0.08443414569610766
lrc1e-4,dermmnist,MobileNetV3,L30_G30,2,18.0,11,1.0,11.0,0.03876974923375638,18,17,17,0.0,0.0,0.09455885935499059,0.22091227688035076
lrc1e-4,dermmnist,MobileNetV3,L30_G30,3,10.0,12,1.0,12.0,0.334448665797528,10,9,9,0.0,0.0,0.334448665797528,0.334448665797528
lrc1e-4,dermmnist,MobileNetV3,L30_G30,4,14.0,13,1.0,13.0,0.005568334206623125,14,13,13,0.0,0.0,0.04971429117337555,0.08790781726677402
lrc1e-4,octmnist,MobileNetV3,L30_G30,1,28.0,1,,,0.01201951496331091,28,27,27,0.0,0.0,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,2,28.0,1,,,0.00922055557041003,28,27,27,0.0,0.0,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,3,,0,,,0.022812024856076352,29,28,28,,,,
lrc1e-4,octmnist,MobileNetV3,L30_G30,4,27.0,2,,,0.05135515113645225,27,26,26,0.0,0.0,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,1,,0,,,0.01560812418767279,29,27,27,,,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,2,,0,,,0.09118905783949255,29,28,28,,,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,3,,0,,,0.017819010994659202,29,28,28,,,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,4,,0,,,0.030515576750185545,29,27,27,,,,
lrc1e-4,dermmnist,MobileNetV3,L50_G50,1,11.0,18,0.6884049947714819,18.0,0.08340511341252502,11,15,14,25.36599200000012,44.0,0.08340511341252502,0.08340511341252502
lrc1e-4,dermmnist,MobileNetV3,L50_G50,2,22.0,7,1.0,7.0,0.08975581387485719,22,20,20,0.0,0.0,0.1729023016835034,0.3194544857048965
lrc1e-4,dermmnist,MobileNetV3,L50_G50,3,14.0,11,1.0,11.0,0.16249857804015025,14,12,12,0.0,0.0,0.13878665584305364,0.23134967694015268
lrc1e-4,dermmnist,MobileNetV3,L50_G50,4,13.0,15,1.0,15.0,0.11038341073550069,13,13,10,0.0,0.0,0.11038341073550069,0.11038341073550069
lrc1e-4,octmnist,MobileNetV3,L50_G50,1,28.0,1,,,9.63495383374569e-05,28,27,27,0.0,0.0,,
lrc1e-4,octmnist,MobileNetV3,L50_G50,2,,0,,,0.002582971879721254,29,28,28,,,,
lrc1e-4,octmnist,MobileNetV3,L50_G50,3,25.0,4,1.0,4.0,0.1379310344827585,25,25,25,0.0,0.0,0.3871003547844003,1.0
lrc1e-4,octmnist,MobileNetV3,L50_G50,4,22.0,7,1.0,7.0,0.08445830821253508,22,21,21,0.0,0.0,0.27421141640012436,0.6213779679582647
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,1,,0,,,0.000899849746988848,29,27,27,,,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,2,,0,,,0.12359118908370734,29,26,26,,,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,3,,0,,,0.018931726575824342,29,27,27,,,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,4,,0,,,0.00346364457612094,29,28,28,,,,
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,1,21.0,8,1.0,8.0,0.09463998669696784,21,20,20,0.0,0.0,0.16302103910795246,0.7623224426686706
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,2,15.0,10,1.0,10.0,0.24978347859452948,15,12,12,0.0,0.0,0.16770212732417888,0.388237156374765
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,3,13.0,8,1.0,8.0,0.3253242681276609,13,9,9,0.0,0.0,0.22269171012112218,0.32440214809162504
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,4,15.0,11,1.0,11.0,0.029639016864528113,15,14,14,0.0,0.0,0.08942638011130224,0.16114212977695483
lrc1e-4,octmnist,RegNetY400MF,L30_G30,1,,0,,,0.018089020099048086,29,27,27,,,,
lrc1e-4,octmnist,RegNetY400MF,L30_G30,2,28.0,1,,,0.01776226030342961,28,27,27,0.0,0.0,,
lrc1e-4,octmnist,RegNetY400MF,L30_G30,3,28.0,1,,,0.07839467810817208,28,26,26,0.0,0.0,,
lrc1e-4,octmnist,RegNetY400MF,L30_G30,4,,0,,,0.08683689888150238,29,27,27,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,1,,0,,,0.028519805660736107,29,27,27,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,2,,0,,,0.018045851911666928,29,28,28,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,3,,0,,,0.014034568769786334,29,25,25,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,4,,0,,,0.031758685797159646,29,27,27,,,,
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,1,14.0,10,0.9999999999999999,10.0,0.17599112113627932,14,11,12,0.0,0.0,0.10023910167500227,0.21434619330803178
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,2,18.0,11,1.0000000000000002,11.0,0.07134456772356589,18,16,16,0.0,0.0,0.1279144111853597,0.18289229983181837
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,3,16.0,10,1.0,10.0,0.17395149417306716,16,15,15,0.0,0.0,0.09783539841184816,0.14583264728158837
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,4,17.0,9,1.0,9.0,0.08077478263788665,17,15,15,0.0,0.0,0.15944231194188518,0.24325744883545142
lrc1e-4,octmnist,RegNetY400MF,L50_G50,1,,0,,,0.03483951910849381,29,27,28,,,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,2,,0,,,0.036457513662674745,29,28,28,,,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,3,,0,,,0.004172015659150709,29,28,28,,,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,4,,0,,,0.08558307026564896,29,27,27,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,1,,0,,,0.011758363732451454,29,27,27,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,2,,0,,,0.030491168721927045,29,28,28,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,3,,0,,,0.02876296929974945,29,28,28,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,4,,0,,,0.05471890061873558,29,26,26,,,,
lrc5e-5,dermmnist,MobileNetV3,L30_G30,1,16.0,13,1.0,13.0,0.28504643556387654,16,14,14,0.0,0.0,0.20303054044910232,0.34681980726882783
lrc5e-5,dermmnist,MobileNetV3,L30_G30,2,13.0,16,1.0000000000000002,16.0,0.17328240562680508,13,12,12,0.0,0.0,0.17328240562680508,0.17328240562680508
lrc5e-5,dermmnist,MobileNetV3,L30_G30,3,14.0,14,1.0,14.0,0.11243010486206809,14,12,12,0.0,0.0,0.11243010486206809,0.11243010486206809
