encoding,n,r,r2,spearman,t,p
natural_rate clip/pool (-dataset),12,0.7816398087497936,0.6109607906224138,0.5229975846277625,3.962871433188048,0.002673993915336149
natural_rate clip/pool (-model),12,-0.5481602567642693,0.3004796670958696,-0.1837559081124571,-2.072561247009701,0.06500397647713864
natural_rate clip/pool (-cap),12,-0.5172964691888925,0.2675956370352948,-0.31097153680569656,-1.911454888072804,0.08500044562965109
natural_rate clip/pool,12,-0.5169838881958038,0.2672723406540513,-0.31097153680569656,-1.9098783937247374,0.08522198468067826
overshoot_abs    clip-K (-dataset),12,0.5041082872250603,0.2541251652489839,0.3636363636363637,1.8458264276323333,0.09469062089535568
K/pool,12,-0.4761830153143159,0.226750264073834,-0.3533767463701098,-1.7124346644308583,0.11759563920139235
overshoot_abs    clip-K (-cap),12,0.4520311064139707,0.20433212116583852,0.2657342657342658,1.6025161269872858,0.14012376972182972
overshoot_ratio  clip/K [T-C],12,0.4257355448208443,0.18125075412390113,0.1328671328671329,1.4878681755126395,0.16762496180811404
ratio [T-fioretto],12,0.38999215885160154,0.1520938839657328,0.16083916083916086,1.3393127130820839,0.2101132207542239
cut_frac         1-K/clip (-cap),12,0.38828703535338593,0.15076682182352158,0.2657342657342658,1.332414693966192,0.21228896538043307
log excess_abs,12,0.37692027327904326,0.14206889240874865,0.18181818181818185,1.286836259900402,0.2271409676722801
overshoot_abs    clip-K,12,0.3680220460772245,0.13544022639886674,0.18181818181818185,1.2516310348355797,0.23918997582372947
overshoot_abs    clip-K (-model),12,0.35130234901648266,0.1234133404244986,0.4063053516362408,1.186543392584658,0.26283199689789194
calibration clip/n_true,12,0.34447480893780963,0.11866289399274045,0.22616111767687025,1.160343143538431,0.2728612064856426
overshoot_ratio  clip/K (-cap),12,0.325849904097698,0.10617816000047897,0.2377622377622378,1.0899137120728655,0.3013175931196532
overshoot_ratio  clip/K (-dataset),12,0.3047755493893003,0.09288813550554982,0.2657342657342658,1.011928200777411,0.33543027609964937
excess/n_true,12,0.30454538054365893,0.09274788881048203,0.15384615384615385,1.0110858268684875,0.3358139169285046
overshoot_abs    clip-K [AP],12,0.2894638940975512,0.08378934598611833,0.18181818181818185,0.9563056716329448,0.36146499005079435
binds margin (clip-K)/K^0.5,12,0.28694312238903685,0.08233635548636978,0.14685314685314685,0.9472269733862705,0.3658502457841365
overshoot_ratio  clip/K (-ds-bb),12,0.2639354564349,0.069661925163499,0.37762237762237766,0.865321189483718,0.4071425728806115
1/ratio^2,12,-0.26129457798997424,0.06827485648695873,-0.14685314685314685,-0.8560250825584492,0.4120258272812949
cut_frac         1-K/clip [T-C],12,0.2518354057773287,0.06342107160303181,0.1328671328671329,0.822895328042316,0.42975373854424026
seed abs vs T-D,48,0.251295886251147,0.06314962244674942,0.2286777653388254,1.760877632818185,0.08490587693555669
cut_frac         1-K/clip,12,0.24807754659129685,0.061542469122757064,0.14685314685314685,0.8098044264675628,0.4368981293674713
excess/clip,12,0.24807754659129683,0.06154246912275705,0.14685314685314685,0.8098044264675627,0.4368981293674713
headroom         K/clip,12,-0.24807754659129677,0.06154246912275702,-0.14685314685314685,-0.8098044264675625,0.4368981293674713
log ratio,12,0.23681180356823303,0.05607983030923939,0.14685314685314685,0.7707893623266302,0.45865587404061137
cut_frac         1-K/clip (-model),12,0.23527540468234434,0.0553545160484409,0.37762237762237766,0.7654945494668189,0.4616620457643197
sqrt ratio,12,0.2317711335542732,0.05371785834903275,0.14685314685314685,0.7534406066453719,0.4685530471953041
seed ratio (-cap),48,0.2297683161858477,0.05279347912287968,0.23901949391365193,1.6012041898360585,0.11617781109783876
overshoot_ratio  clip/K,12,0.2271394507426518,0.05159233008367354,0.14685314685314685,0.7375560716033042,0.47773382634523187
ratio^2,12,0.21975159857133023,0.048290765074655066,0.14685314685314685,0.7123278120984001,0.4925467007626617
overshoot_ratio  clip/K (-model),12,0.2087861691578089,0.043591664431593194,0.34965034965034975,0.6751185631642868,0.5149065321731089
rank(ratio) 1..12,12,0.20481625056902308,0.04194969649715285,0.14685314685314685,0.6617138963323274,0.5231091326775217
median split(ratio),12,0.1923451957796237,0.03699667433950177,0.09656090991705352,0.619822660584102,0.5492364246382053
cut_frac         1-K/clip [AP],12,0.18919742603291986,0.035795666017482186,0.1258741258741259,0.609299306830879,0.555915262882429
overshoot_ratio  clip/K [AP],12,0.1778586569047758,0.03163370183597076,0.1258741258741259,0.5715512451771815,0.5802446163158493
z(ratio) within dataset,12,0.17620341099927525,0.031047642047779513,0.1398601398601399,0.5660608242343288,0.583830929930383
seed ratio (-dataset),48,0.17546695074714785,0.03078865080450201,0.11903146231952764,1.2088293593911417,0.23290548234531838
seed ratio vs T-D,48,0.17403849537425847,0.030289397872135786,0.13890777046396052,1.1986797370111346,0.2367914431248428
|ratio - median|,12,0.17306231351796766,0.029950564360191334,-0.09090909090909093,0.5556554411501123,0.5906602596956281
seed ratio (-model),48,0.1639747185168764,0.026887708312688847,0.13356499785718964,1.1273903957577538,0.2654239358399242
cut_frac         1-K/clip (-dataset),12,0.1474845458568574,0.021751691266603475,0.20979020979020982,0.4715437167924674,0.6473721817347506
seed ratio (within cell),48,0.1473967971117072,0.021725815798789773,0.22635364439259897,1.010733512943746,0.31743118274728965
cut_frac         1-K/clip (-ds-bb),12,0.11323714664017481,0.012822651379208454,0.2797202797202798,0.3604054308433261,0.7260401880756766
excess/pool,12,-0.07881910514544567,0.00621245133592882,-0.034965034965034975,-0.25002574173782005,0.8076288480031578
cut_frac         1-K/clip [macro],12,-0.06019281081899391,0.00362317447429119,-0.08391608391608392,-0.19069214990013772,0.8525825298776486
K/n_true (=cap pct),12,0.03985778415338379,0.0015886429576177322,0.16962083825765267,0.1261416172339533,0.9021199555270659
overshoot_ratio  clip/K [macro],12,-0.02692493952184118,0.0007249523682548052,-0.08391608391608392,-0.08517501426301456,0.9338034125702778
ratio [T-hounie],12,0.00400802763426725,1.6064285517049928e-05,0.06293706293706294,0.012674598053770674,0.9901367057576366
