dataset,cap,model,seed,method,warmup,cepochs_cfg,ep_max,ep_rows,lr,lr_c,K,taken,n_pos,N,count_raw,count_adj,AP,ccF1adj,ccF1eq,macroEq,tp_at_K,scorefp,path
dermmnist,L20_G20,MobileNetV3,4,hounie_rcl,50,300,68.0,69.0,0.0001,5e-06,45,45,223,2003,25,45,0.5521051625423758,0.31343283582089554,0.31343283582089554,0.7008094775465479,42,295f885278fc,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_4
dermmnist,L20_G20,MobileNetV3,3,hounie_rcl,50,300,54.0,55.0,0.0001,5e-06,45,45,223,2003,26,45,0.6207728334537665,0.29850746268656714,0.29850746268656714,0.7149109837669986,40,69628a8a8e96,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_3
dermmnist,L20_G20,MobileNetV3,1,hounie_rcl,50,300,64.0,65.0,0.0001,5e-06,45,45,223,2003,29,45,0.5946224405992215,0.31343283582089554,0.31343283582089554,0.6837355722904295,42,598b5a94cffe,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_1
dermmnist,L20_G20,MobileNetV3,2,hounie_rcl,50,300,53.0,54.0,0.0001,5e-06,45,45,223,2003,21,45,0.6257599407514949,0.29850746268656714,0.29850746268656714,0.7092442065215414,40,566718207d27,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_2
dermmnist,L20_G20,MobileNetV3,4,tralo,50,300,263.0,59.0,0.0001,5e-06,45,45,223,2003,45,45,0.6159801153727561,0.3208955223880597,0.3208955223880597,0.70160120820516,43,52fafe3ca939,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_4
dermmnist,L20_G20,MobileNetV3,3,tralo,50,300,185.0,43.0,0.0001,5e-06,45,45,223,2003,45,45,0.6315501131198151,0.30597014925373134,0.30597014925373134,0.7186102317402542,41,28d15640a292,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_3
dermmnist,L20_G20,MobileNetV3,1,tralo,50,300,80.0,12.0,0.0001,5e-06,45,45,223,2003,43,45,0.6256865237047761,0.31343283582089554,0.31343283582089554,0.682944491466042,42,27a149e93c4f,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_1
dermmnist,L20_G20,MobileNetV3,2,tralo,50,300,85.0,14.0,0.0001,5e-06,45,45,223,2003,42,45,0.6240320430804793,0.30597014925373134,0.30597014925373134,0.7028674615623709,41,46bfe8792289,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_2
dermmnist,L20_G20,MobileNetV3,4,danits_lp,50,300,,,0.0001,5e-06,45,45,223,2003,212,45,0.7127348346679947,0.29850746268656714,0.29850746268656714,0.6864967978043637,40,3ca4a7e576bf,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_4
dermmnist,L20_G20,MobileNetV3,3,danits_lp,50,300,,,0.0001,5e-06,45,45,223,2003,209,45,0.7139584333260884,0.30597014925373134,0.30597014925373134,0.7221542185427765,41,e84e85d34092,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_3
dermmnist,L20_G20,MobileNetV3,1,danits_lp,50,300,,,0.0001,5e-06,45,45,223,2003,195,45,0.7063806810584813,0.31343283582089554,0.31343283582089554,0.7136931126709979,42,11e365b17202,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_1
dermmnist,L20_G20,MobileNetV3,2,danits_lp,50,300,,,0.0001,5e-06,45,45,223,2003,198,45,0.6871747460319677,0.291044776119403,0.291044776119403,0.6867110757562817,39,bf4a6f066967,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_2
dermmnist,L20_G20,MobileNetV3,4,fioretto_ldf,50,300,35.0,36.0,0.0001,5e-06,45,45,223,2003,27,45,0.5712072298010494,0.31343283582089554,0.31343283582089554,0.701351974708536,42,21af9dc16916,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/fioretto_ldf/seed_4
dermmnist,L20_G20,MobileNetV3,3,fioretto_ldf,50,300,36.0,37.0,0.0001,5e-06,45,45,223,2003,31,45,0.6285864041043938,0.30597014925373134,0.30597014925373134,0.7226510765425386,41,d11f1ca72971,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/fioretto_ldf/seed_3
dermmnist,L20_G20,MobileNetV3,1,fioretto_ldf,50,300,36.0,37.0,0.0001,5e-06,45,45,223,2003,40,45,0.6141955398718905,0.31343283582089554,0.31343283582089554,0.683435418866753,42,1b1737143f7d,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/fioretto_ldf/seed_1
dermmnist,L20_G20,MobileNetV3,2,fioretto_ldf,50,300,32.0,33.0,0.0001,5e-06,45,45,223,2003,30,45,0.6355591927464086,0.30597014925373134,0.30597014925373134,0.7033497177120165,41,e749d2a2e7c2,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/fioretto_ldf/seed_2
dermmnist,L20_G20,MobileNetV3,4,tralo_bounded,50,300,74.0,9.0,0.0001,5e-06,45,45,223,2003,27,45,0.5754416649165179,0.31343283582089554,0.31343283582089554,0.7108460669781973,42,f84b1b9bb0ff,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo_bounded/seed_4
dermmnist,L20_G20,MobileNetV3,3,tralo_bounded,50,300,73.0,8.0,0.0001,5e-06,45,45,223,2003,32,45,0.6322668751625763,0.29850746268656714,0.29850746268656714,0.7137350029464999,40,fb030aa6cc40,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo_bounded/seed_3
dermmnist,L20_G20,MobileNetV3,1,tralo_bounded,50,300,74.0,9.0,0.0001,5e-06,45,45,223,2003,37,45,0.6154265470619513,0.31343283582089554,0.31343283582089554,0.6879671911563875,42,38800f2c5604,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo_bounded/seed_1
dermmnist,L20_G20,MobileNetV3,2,tralo_bounded,50,300,71.0,8.0,0.0001,5e-06,45,45,223,2003,29,45,0.6382837090011543,0.31343283582089554,0.31343283582089554,0.7097489844570074,42,ec07e7bffe80,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo_bounded/seed_2
dermmnist,L20_G20,MobileNetV3,4,heuristic,50,300,,,0.0001,5e-06,45,45,223,2003,212,45,0.7127348346679947,0.29850746268656714,0.29850746268656714,0.6864967978043637,40,3ca4a7e576bf,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/heuristic/seed_4
dermmnist,L20_G20,MobileNetV3,3,heuristic,50,300,,,0.0001,5e-06,45,45,223,2003,209,45,0.7139584333260884,0.30597014925373134,0.30597014925373134,0.7221542185427765,41,e84e85d34092,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/heuristic/seed_3
dermmnist,L20_G20,MobileNetV3,1,heuristic,50,300,,,0.0001,5e-06,45,45,223,2003,195,45,0.7063806810584813,0.31343283582089554,0.31343283582089554,0.7136931126709979,42,11e365b17202,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/heuristic/seed_1
dermmnist,L20_G20,MobileNetV3,2,heuristic,50,300,,,0.0001,5e-06,45,45,223,2003,198,45,0.6871747460319677,0.291044776119403,0.291044776119403,0.6867110757562817,39,bf4a6f066967,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/heuristic/seed_2
dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,50,300,43.0,44.0,0.0001,5e-06,112,111,223,2003,102,111,0.698186124422722,0.562874251497006,0.562874251497006,0.7596717784748835,94,78f9b203a21a,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4
dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,50,300,41.0,42.0,0.0001,5e-06,112,111,223,2003,91,111,0.6870978987536019,0.562874251497006,0.562874251497006,0.7814129266605719,94,5e85d03afcfc,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3
dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,50,300,50.0,51.0,0.0001,5e-06,112,111,223,2003,89,111,0.67982659586919,0.5688622754491018,0.5688622754491018,0.7497624885814478,95,f40ff62aa609,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1
dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,50,300,45.0,46.0,0.0001,5e-06,112,111,223,2003,88,111,0.688789278541308,0.5449101796407185,0.5449101796407185,0.7512828807632854,91,c83ce8ed68f0,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2
dermmnist,L50_G50,MobileNetV3,4,tralo,50,300,63.0,6.0,0.0001,5e-06,112,111,223,2003,106,111,0.7040165117844862,0.562874251497006,0.562874251497006,0.756608931783748,94,0e074b6249b7,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4
dermmnist,L50_G50,MobileNetV3,3,tralo,50,300,69.0,10.0,0.0001,5e-06,112,111,223,2003,107,111,0.6953532469557967,0.562874251497006,0.562874251497006,0.7726856665091039,94,63795282677c,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3
dermmnist,L50_G50,MobileNetV3,1,tralo,50,300,350.0,89.0,0.0001,5e-06,112,111,223,2003,111,111,0.6853223501570094,0.5748502994011976,0.5808383233532934,0.7656328658890849,97,2fe25ad14de5,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1
dermmnist,L50_G50,MobileNetV3,2,tralo,50,300,314.0,69.0,0.0001,5e-06,112,111,223,2003,111,111,0.6981765617753886,0.5568862275449101,0.5568862275449101,0.7510497447405423,93,5dd0b69da0ca,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2
dermmnist,L50_G50,MobileNetV3,4,danits_lp,50,300,,,0.0001,5e-06,112,111,223,2003,212,111,0.7127348346679947,0.5389221556886228,0.5389221556886228,0.7278408009091173,90,3ca4a7e576bf,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_4
dermmnist,L50_G50,MobileNetV3,3,danits_lp,50,300,,,0.0001,5e-06,112,111,223,2003,209,111,0.7139584333260884,0.5748502994011976,0.5748502994011976,0.7683635888637121,96,e84e85d34092,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_3
dermmnist,L50_G50,MobileNetV3,1,danits_lp,50,300,,,0.0001,5e-06,112,111,223,2003,195,111,0.7063806810584813,0.5808383233532934,0.5748502994011976,0.7571406018292814,96,11e365b17202,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_1
dermmnist,L50_G50,MobileNetV3,2,danits_lp,50,300,,,0.0001,5e-06,112,111,223,2003,198,111,0.6871747460319677,0.5329341317365269,0.5389221556886228,0.7347483566859562,90,bf4a6f066967,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_2
dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,50,300,24.0,25.0,0.0001,5e-06,112,111,223,2003,103,111,0.7006032761743525,0.562874251497006,0.562874251497006,0.7607669430613248,94,9823a9da0d11,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4
dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,50,300,28.0,29.0,0.0001,5e-06,112,111,223,2003,94,111,0.6916383549416414,0.5568862275449101,0.5568862275449101,0.7781840738501496,93,e7387cd101f3,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3
