path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,29,26,26,26,5,5,26,5,5,False,True,22.0,22.0,1.0,28.0,ABSENT->default True,5,5,5,5,20.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,29,23,23,23,5,5,23,5,5,False,True,19.0,19.0,1.0,44.0,ABSENT->default True,5,5,5,5,15.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,29,22,22,22,5,5,22,5,5,False,True,18.0,18.0,1.0,33.0,ABSENT->default True,5,5,5,5,15.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,29,23,23,23,5,5,23,5,5,False,True,19.0,19.0,1.0,10.0,ABSENT->default True,5,5,5,5,17.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,29,28,28,28,5,5,28,5,5,False,True,24.0,24.0,1.0,51.0,ABSENT->default True,5,5,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,29,29,29,29,5,5,29,5,5,False,False,25.0,25.0,1.0,39.0,ABSENT->default True,5,5,0,0,19.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,29,22,22,22,5,5,22,5,5,False,True,18.0,18.0,1.0,49.0,ABSENT->default True,5,5,0,0,11.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,29,27,27,27,5,5,27,5,5,False,True,23.0,23.0,1.0,42.0,ABSENT->default True,5,5,0,0,15.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,MobileNetV3,L30_G30,tralo,1,29,29,7,29,0,0,29,0,0,False,False,,,0.0,3.0,False,0,0,0,0,,68.0,146.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,MobileNetV3,L30_G30,tralo,2,29,29,8,29,1,1,29,1,1,False,False,5.0,6.0,1.0,4.0,False,1,0,0,0,,63.0,150.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,MobileNetV3,L30_G30,tralo,3,29,29,8,29,1,1,29,1,1,False,False,12.0,13.0,1.0,18.0,False,1,0,1,0,,49.0,268.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,MobileNetV3,L30_G30,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,11.0,False,0,0,0,0,,72.0,174.0
