path,dataset,model,cap,method,seed,warmup,cepochs,sct,ce_skip_cfg,n_rows,n_repeat_hdr,max_e,first_e,E,inferred_tail,n_sat,first_sat,n_down,held_tail,n_local_groups,ex_first,ex_min,sat_epoch_csv,sat_epoch_present,sat_epoch_raw,min_total_excess,min_excess_epoch,best_sat_epoch,restored_from,off_sched_unsat,off_sched_sat,missing_sched,obs_frac
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),26,0,26,1,26,False,5,22.0,0,True,,158.0,0.0,22.0,True,22.0,0.0,22.0,,,0,0,0,0.896551724137931
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),23,0,23,1,23,False,5,19.0,0,True,,146.0,0.0,19.0,True,19.0,0.0,19.0,,,0,0,0,0.7931034482758621
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),22,0,22,1,22,False,5,18.0,0,True,,402.0,0.0,18.0,True,18.0,0.0,18.0,,,0,0,0,0.7586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),23,0,23,1,23,False,5,19.0,0,True,,214.0,0.0,19.0,True,19.0,0.0,19.0,,,0,0,0,0.7931034482758621
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),28,0,28,1,28,False,5,24.0,0,True,,158.0,0.0,24.0,True,24.0,0.0,24.0,,,0,0,0,0.9655172413793104
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,5,25.0,0,True,,146.0,0.0,25.0,True,25.0,0.0,25.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),22,0,22,1,22,False,5,18.0,0,True,,402.0,0.0,18.0,True,18.0,0.0,18.0,,,0,0,0,0.7586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,1,29,ABSENT(5),ABSENT(True),27,0,27,1,27,False,5,23.0,0,True,,214.0,0.0,23.0,True,23.0,0.0,23.0,,,0,0,0,0.9310344827586207
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,MobileNetV3,L30_G30,tralo,1,1,29,ABSENT(5),False,7,0,29,1,29,False,0,,0,False,3.0,158.0,7.0,,True,,3.0,6.0,,6.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,MobileNetV3,L30_G30,tralo,2,1,29,ABSENT(5),False,8,0,29,1,29,False,1,5.0,1,False,3.0,146.0,0.0,6.0,True,6,0.0,6.0,,6.0,0,1,0,0.27586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,MobileNetV3,L30_G30,tralo,3,1,29,ABSENT(5),False,8,0,29,1,29,False,1,12.0,1,False,3.0,402.0,0.0,13.0,True,13,0.0,13.0,,13.0,0,1,0,0.27586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,MobileNetV3,L30_G30,tralo,4,1,29,ABSENT(5),False,7,0,29,1,29,False,0,,0,False,3.0,214.0,13.0,,True,,13.0,10.0,,10.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,335.0,2.0,,True,,2.0,17.0,,17.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,2,28.0,0,False,,59.0,0.0,28.0,True,28.0,0.0,28.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,321.0,53.0,,True,,53.0,19.0,,19.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,29.0,0,False,,111.0,0.0,29.0,True,29.0,0.0,29.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,335.0,5.0,,True,,5.0,2.0,,2.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,59.0,15.0,,True,,15.0,2.0,,2.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,321.0,33.0,,True,,33.0,11.0,,11.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,111.0,41.0,,True,,41.0,4.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,MobileNetV3,L30_G30,tralo,1,1,29,ABSENT(5),False,8,0,29,1,29,False,1,2.0,1,False,3.0,335.0,0.0,3.0,True,3,0.0,3.0,,3.0,0,1,0,0.27586206896551724
