dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
dermmnist,MobileNetV3,L30_G30,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,39,39,0,67,0,0.3931034482758621,0.2595419847328244,0.557781578181268,0.6837560193962464,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1
dermmnist,MobileNetV3,L30_G30,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,23,23,0,67,0,0.37931034482758624,0.17886178861788615,0.5539393406932882,0.7036070437278547,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2
dermmnist,MobileNetV3,L30_G30,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,34,34,0,67,0,0.3448275862068966,0.24124513618677043,0.5516436037750767,0.6622443743759899,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3
dermmnist,MobileNetV3,L30_G30,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,57,57,0,67,0,0.37931034482758624,0.3357142857142857,0.5923911134100882,0.6795426535199438,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,16,16,0,67,0,0.3310344827586207,0.1087866108786611,0.5068057641748467,0.6525260774790133,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,28,28,0,67,0,0.33793103448275863,0.20717131474103584,0.4348553865261769,0.7004964515777843,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,18,18,0,67,0,0.37931034482758624,0.13278008298755187,0.5486722039019931,0.6802899869835946,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,25,25,0,67,0,0.3172413793103448,0.16129032258064516,0.4433411267443017,0.597119707152822,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4
dermmnist,MobileNetV3,L30_G30,1,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,67,68,68,0,67,0,0.39999999999999997,0.3917525773195877,0.5908519673325172,0.6850382843900451,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1
dermmnist,MobileNetV3,L30_G30,2,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,67,63,63,0,67,0,0.4068965517241379,0.40559440559440557,0.6222895028460954,0.6925745804660509,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2
