dataset,model,cap,seed,dir,K,budget,warm,cep,last_ep,n_rows,truncated,n_sat,n_gsat,ever_sat,first_sat,last_sat,r_last,r_min,r_max,r_first,cnt_last,cnt_min,cross,cross_grid,swing_all,swing_grid,above_all,above_grid,n_grid,lam_last,lam_first,ce_last,ce_first,soft_last,raw_cnt,sat_ep_ev,best_sat_ep,min_exc_ep,min_exc,restored_ep,restore_kind,raw_exc,flips,raw_all_sat,unspent
dermmnist,MobileNetV3,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,67.0,30,1,29,30.0,7,0,0,0,0,,,1.4179104477611941,1.0149253731343284,2.1791044776119404,2.1791044776119404,95.0,68.0,0,0,0.5447761194029851,0.4208955223880597,1.0,1.0,6,0.11,0.05,0.010808,0.481815,92.43,68,,,6.0,3.0,6.0,min_excess,3.0,3.0,0.0,-1.0
dermmnist,MobileNetV3,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,67.0,30,1,29,30.0,8,0,1,1,1,6.0,6.0,1.373134328358209,0.9402985074626866,2.2388059701492535,2.08955223880597,92.0,63.0,2,0,0.6183368869936035,0.45970149253731346,0.875,1.0,6,0.06,0.05,0.007822,0.465939,100.96,63,6.0,6.0,6.0,0.0,6.0,fully_satisfied,0.0,4.0,1.0,4.0
dermmnist,MobileNetV3,L30_G30,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,67.0,30,1,29,30.0,8,0,1,1,1,13.0,13.0,1.507462686567164,0.7313432835820896,4.0,4.0,101.0,49.0,2,0,0.7654584221748401,0.4925373134328358,0.875,1.0,6,0.07,0.05,0.013064,0.468678,102.15,49,13.0,13.0,13.0,0.0,13.0,fully_satisfied,0.0,18.0,1.0,18.0
dermmnist,MobileNetV3,L30_G30,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,67.0,30,1,29,30.0,7,0,0,0,0,,,1.626865671641791,1.0746268656716418,2.5970149253731343,2.5970149253731343,109.0,72.0,0,0,0.77363184079602,0.7432835820895521,1.0,1.0,6,0.11,0.05,0.009167,0.480407,109.99,72,,,10.0,13.0,10.0,min_excess,13.0,11.0,0.0,-5.0
octmnist,MobileNetV3,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,75.0,30,1,29,30.0,8,0,1,1,1,3.0,3.0,1.6666666666666667,0.56,3.24,3.24,125.0,42.0,2,0,0.9180952380952382,0.4106666666666667,0.875,1.0,6,0.05,0.05,0.019466,0.410681,131.46,42,3.0,3.0,3.0,0.0,3.0,fully_satisfied,0.0,0.0,1.0,33.0
octmnist,MobileNetV3,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,75.0,30,1,29,30.0,8,0,1,1,1,3.0,3.0,2.84,0.7333333333333333,3.04,1.4,213.0,55.0,2,0,0.7885714285714286,0.7066666666666667,0.875,1.0,6,0.05,0.05,0.011245,0.414535,211.64,55,3.0,3.0,3.0,0.0,3.0,fully_satisfied,0.0,0.0,1.0,20.0
octmnist,MobileNetV3,L30_G30,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,75.0,30,1,29,30.0,7,0,0,0,0,,,1.8,1.7733333333333334,3.1466666666666665,3.1466666666666665,135.0,133.0,0,0,0.5888888888888889,0.4746666666666667,1.0,1.0,6,0.11,0.05,0.016168,0.402271,137.95,77,,,12.0,4.0,12.0,min_excess,4.0,2.0,0.0,-2.0
octmnist,MobileNetV3,L30_G30,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,75.0,30,1,29,30.0,7,0,0,0,0,,,1.7466666666666666,1.0266666666666666,3.16,1.7466666666666666,131.0,77.0,0,0,0.8666666666666667,0.9786666666666668,1.0,1.0,6,0.11,0.05,0.022861,0.407532,131.86,77,,,10.0,8.0,10.0,min_excess,8.0,6.0,0.0,-2.0
tissuemnist,MobileNetV3,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,51.0,30,1,29,30.0,7,0,1,1,1,2.0,2.0,4.098039215686274,0.6862745098039216,4.8431372549019605,0.6862745098039216,209.0,35.0,1,0,1.065359477124183,1.203921568627451,0.8571428571428571,1.0,6,0.05,0.05,0.027931,1.102201,213.86,35,2.0,2.0,2.0,0.0,2.0,fully_satisfied,0.0,16.0,1.0,16.0
tissuemnist,MobileNetV3,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,51.0,30,1,29,30.0,7,0,0,0,0,,,2.0980392156862746,1.6470588235294117,4.980392156862745,4.980392156862745,107.0,84.0,0,0,0.9967320261437909,0.5294117647058824,1.0,1.0,6,0.11,0.05,0.032971,1.096688,105.8,73,,,29.0,44.0,29.0,min_excess,44.0,22.0,0.0,-22.0
