dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
dermmnist,MobileNetV3,L30_G30,1,2.0,146.0,185.62,67.0,0.0,0.0,0.05,0.481815,0
dermmnist,MobileNetV3,L30_G30,1,5.0,68.0,73.79,67.0,0.0,0.0,0.06,0.095408,1
dermmnist,MobileNetV3,L30_G30,1,10.0,126.0,127.01,67.0,0.0,0.0,0.07,0.016607,1
dermmnist,MobileNetV3,L30_G30,1,15.0,124.0,123.96,67.0,0.0,0.0,0.08,0.018261,1
dermmnist,MobileNetV3,L30_G30,1,20.0,142.0,145.16,67.0,0.0,0.0,0.09,0.018322,1
dermmnist,MobileNetV3,L30_G30,1,25.0,87.0,86.22,67.0,0.0,0.0,0.1,0.006179,1
dermmnist,MobileNetV3,L30_G30,1,30.0,95.0,92.43,67.0,0.0,0.0,0.11,0.010808,1
dermmnist,MobileNetV3,L30_G30,2,2.0,140.0,194.07,67.0,0.0,0.0,0.05,0.465939,0
dermmnist,MobileNetV3,L30_G30,2,5.0,124.0,132.57,67.0,0.0,0.0,0.06,0.09424,1
dermmnist,MobileNetV3,L30_G30,2,6.0,63.0,66.52,67.0,1.0,1.0,0.06,0.064351,0
dermmnist,MobileNetV3,L30_G30,2,10.0,123.0,121.68,67.0,0.0,0.0,0.06,0.032157,1
dermmnist,MobileNetV3,L30_G30,2,15.0,93.0,95.6,67.0,0.0,0.0,0.06,0.020492,1
dermmnist,MobileNetV3,L30_G30,2,20.0,150.0,153.61,67.0,0.0,0.0,0.06,0.012632,1
dermmnist,MobileNetV3,L30_G30,2,25.0,88.0,89.1,67.0,0.0,0.0,0.06,0.030853,1
dermmnist,MobileNetV3,L30_G30,2,30.0,92.0,100.96,67.0,0.0,0.0,0.06,0.007822,1
dermmnist,MobileNetV3,L30_G30,3,2.0,268.0,285.26,67.0,0.0,0.0,0.05,0.468678,0
dermmnist,MobileNetV3,L30_G30,3,5.0,160.0,160.02,67.0,0.0,0.0,0.06,0.110971,1
dermmnist,MobileNetV3,L30_G30,3,10.0,92.0,90.92,67.0,0.0,0.0,0.07,0.023199,1
dermmnist,MobileNetV3,L30_G30,3,13.0,49.0,52.11,67.0,1.0,1.0,0.07,0.011145,0
dermmnist,MobileNetV3,L30_G30,3,15.0,123.0,125.83,67.0,0.0,0.0,0.07,0.014679,1
dermmnist,MobileNetV3,L30_G30,3,20.0,97.0,99.9,67.0,0.0,0.0,0.07,0.011109,1
dermmnist,MobileNetV3,L30_G30,3,25.0,119.0,121.29,67.0,0.0,0.0,0.07,0.008001,1
dermmnist,MobileNetV3,L30_G30,3,30.0,101.0,102.15,67.0,0.0,0.0,0.07,0.013064,1
dermmnist,MobileNetV3,L30_G30,4,2.0,174.0,211.61,67.0,0.0,0.0,0.05,0.480407,0
dermmnist,MobileNetV3,L30_G30,4,5.0,112.0,129.06,67.0,0.0,0.0,0.06,0.103116,1
dermmnist,MobileNetV3,L30_G30,4,10.0,72.0,80.72,67.0,0.0,0.0,0.07,0.024114,1
dermmnist,MobileNetV3,L30_G30,4,15.0,144.0,147.39,67.0,0.0,0.0,0.08,0.021064,1
dermmnist,MobileNetV3,L30_G30,4,20.0,88.0,89.11,67.0,0.0,0.0,0.09,0.011731,1
dermmnist,MobileNetV3,L30_G30,4,25.0,139.0,138.74,67.0,0.0,0.0,0.1,0.011907,1
dermmnist,MobileNetV3,L30_G30,4,30.0,109.0,109.99,67.0,0.0,0.0,0.11,0.009167,1
octmnist,MobileNetV3,L30_G30,1,2.0,243.0,208.91,75.0,0.0,0.0,0.05,0.410681,0
octmnist,MobileNetV3,L30_G30,1,3.0,42.0,80.74,75.0,1.0,1.0,0.05,0.322862,0
octmnist,MobileNetV3,L30_G30,1,5.0,169.0,177.33,75.0,0.0,0.0,0.05,0.144145,1
octmnist,MobileNetV3,L30_G30,1,10.0,205.0,204.23,75.0,0.0,0.0,0.05,0.03969,1
octmnist,MobileNetV3,L30_G30,1,15.0,155.0,154.44,75.0,0.0,0.0,0.05,0.033236,1
octmnist,MobileNetV3,L30_G30,1,20.0,142.0,142.47,75.0,0.0,0.0,0.05,0.018211,1
octmnist,MobileNetV3,L30_G30,1,25.0,161.0,159.82,75.0,0.0,0.0,0.05,0.019099,1
octmnist,MobileNetV3,L30_G30,1,30.0,125.0,131.46,75.0,0.0,0.0,0.05,0.019466,1
octmnist,MobileNetV3,L30_G30,2,2.0,105.0,151.14,75.0,0.0,0.0,0.05,0.414535,0
octmnist,MobileNetV3,L30_G30,2,3.0,55.0,89.43,75.0,1.0,1.0,0.05,0.32567,0
octmnist,MobileNetV3,L30_G30,2,5.0,154.0,149.09,75.0,0.0,0.0,0.05,0.12813,1
octmnist,MobileNetV3,L30_G30,2,10.0,118.0,113.62,75.0,0.0,0.0,0.05,0.042909,1
octmnist,MobileNetV3,L30_G30,2,15.0,199.0,197.9,75.0,0.0,0.0,0.05,0.025446,1
octmnist,MobileNetV3,L30_G30,2,20.0,147.0,145.88,75.0,0.0,0.0,0.05,0.022864,1
octmnist,MobileNetV3,L30_G30,2,25.0,228.0,224.47,75.0,0.0,0.0,0.05,0.017565,1
octmnist,MobileNetV3,L30_G30,2,30.0,213.0,211.64,75.0,0.0,0.0,0.05,0.011245,1
octmnist,MobileNetV3,L30_G30,3,2.0,236.0,209.42,75.0,0.0,0.0,0.05,0.402271,0
octmnist,MobileNetV3,L30_G30,3,5.0,149.0,155.12,75.0,0.0,0.0,0.06,0.133849,1
octmnist,MobileNetV3,L30_G30,3,10.0,194.0,193.86,75.0,0.0,0.0,0.07,0.046465,1
octmnist,MobileNetV3,L30_G30,3,15.0,133.0,136.72,75.0,0.0,0.0,0.08,0.019135,1
octmnist,MobileNetV3,L30_G30,3,20.0,170.0,168.26,75.0,0.0,0.0,0.09,0.016063,1
octmnist,MobileNetV3,L30_G30,3,25.0,150.0,155.41,75.0,0.0,0.0,0.1,0.012348,1
octmnist,MobileNetV3,L30_G30,3,30.0,135.0,137.95,75.0,0.0,0.0,0.11,0.016168,1
octmnist,MobileNetV3,L30_G30,4,2.0,131.0,148.23,75.0,0.0,0.0,0.05,0.407532,0
octmnist,MobileNetV3,L30_G30,4,5.0,108.0,119.16,75.0,0.0,0.0,0.06,0.129266,1
octmnist,MobileNetV3,L30_G30,4,10.0,77.0,78.02,75.0,0.0,0.0,0.07,0.043772,1
octmnist,MobileNetV3,L30_G30,4,15.0,237.0,233.37,75.0,0.0,0.0,0.08,0.02759,1
octmnist,MobileNetV3,L30_G30,4,20.0,168.0,173.31,75.0,0.0,0.0,0.09,0.025821,1
octmnist,MobileNetV3,L30_G30,4,25.0,203.0,201.39,75.0,0.0,0.0,0.1,0.018036,1
octmnist,MobileNetV3,L30_G30,4,30.0,131.0,131.86,75.0,0.0,0.0,0.11,0.022861,1
tissuemnist,MobileNetV3,L30_G30,1,2.0,35.0,196.14,51.0,1.0,1.0,0.05,1.102201,0
tissuemnist,MobileNetV3,L30_G30,1,5.0,54.0,101.42,51.0,0.0,0.0,0.05,0.592546,1
