path,dataset,model,cap,method,seed,K,count_raw,count_adj,ratio,ccF1eq,AP,macroEq,epochs_run,rows_logged,inferred_tail,n_sat,frac_sat,first_sat,n_down,n_up,held_tail,early_stop,ex_first,ex_min,ex_last,ex_rises,final_excess,final_sat,flips,sat_epoch_csv,min_excess_epoch,min_total_excess,restored_from,restore_kind,ce_skip_e,ce_skip_cfg,n_local_groups,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,67,39,67,0.582089552238806,0.3931034482758621,0.557781578181268,0.6837560193962464,26,26,False,5,0.19230769230769232,22.0,0,1,True,True,158.0,0.0,0.0,8,0.0,1.0,28.0,22.0,22.0,0.0,,,20.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,67,23,67,0.34328358208955223,0.3793103448275862,0.5539393406932882,0.7036070437278547,23,23,False,5,0.21739130434782608,19.0,0,1,True,True,146.0,0.0,0.0,7,0.0,1.0,44.0,19.0,19.0,0.0,,,15.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,67,34,67,0.5074626865671642,0.3448275862068966,0.5516436037750767,0.6622443743759899,22,22,False,5,0.22727272727272727,18.0,0,1,True,True,402.0,0.0,0.0,7,0.0,1.0,33.0,18.0,18.0,0.0,,,15.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,67,57,67,0.8507462686567164,0.3793103448275862,0.5923911134100882,0.6795426535199438,23,23,False,5,0.21739130434782608,19.0,0,1,True,True,214.0,0.0,0.0,7,0.0,1.0,10.0,19.0,19.0,0.0,,,17.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,67,16,67,0.23880597014925373,0.3310344827586207,0.5068057641748468,0.6525260774790133,28,28,False,5,0.17857142857142858,24.0,0,1,True,True,158.0,0.0,0.0,7,0.0,1.0,51.0,24.0,24.0,0.0,,,14.0,ABSENT(default True),,COLLAPSE
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,67,28,67,0.417910447761194,0.33793103448275863,0.43485538652617683,0.7004964515777842,29,29,False,5,0.1724137931034483,25.0,0,1,True,False,146.0,0.0,0.0,11,0.0,1.0,39.0,25.0,25.0,0.0,,,19.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,67,18,67,0.26865671641791045,0.3793103448275862,0.5486722039019932,0.6802899869835946,22,22,False,5,0.22727272727272727,18.0,0,1,True,True,402.0,0.0,0.0,3,0.0,1.0,49.0,18.0,18.0,0.0,,,11.0,ABSENT(default True),,COLLAPSE
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,67,25,67,0.373134328358209,0.31724137931034485,0.44334112674430176,0.5971197071528221,27,27,False,5,0.18518518518518517,23.0,0,1,True,True,214.0,0.0,0.0,7,0.0,1.0,42.0,23.0,23.0,0.0,,,15.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,MobileNetV3,L30_G30,tralo,1,67,68,67,1.0149253731343284,0.4,0.5908519673325173,0.6850382843900451,29,7,False,0,0.0,,0,0,False,False,158.0,7.0,56.0,3,3.0,0.0,3.0,,6.0,3.0,6.0,min_excess,,False,3.0,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,MobileNetV3,L30_G30,tralo,2,67,63,67,0.9402985074626866,0.4068965517241379,0.6222895028460954,0.6925745804660509,29,8,False,1,0.034482758620689655,5.0,1,1,False,False,146.0,0.0,50.0,3,0.0,1.0,4.0,6.0,6.0,0.0,6.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT
