dataset,model,cap,method,seed,dir,K,last_epoch,n_rows,n_sat_logged,first_sat_ep,exc_first,exc_last,exc_min,ce_first,ce_last,lam_first,lam_last,raw_count,raw_excess,flips,n_globsat_logged,count_first,count_last,count_min,count_max,ratio_first,ratio_last,ratio_min,ratio_max,cross,soft_last,softhard_gap_last,acc_first,acc_last,acc_max,Lg_first,Lg_last,sat_epoch_ev,best_sat_ep_ev,min_exc_ep_ev,min_exc_ev,restored_ep,restore_kind
dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,,27.0,28,6,7.0,125.0,0.0,0.0,0.480407,,0.000497,0.004573,52,0.0,59.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,,24.0,25,5,20.0,313.0,0.0,0.0,0.468678,,0.000865,0.005588,38,0.0,73.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,,28.0,29,3,26.0,69.0,0.0,0.0,0.481815,,0.000368,0.00722,54,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,,28.0,29,4,25.0,57.0,0.0,0.0,0.465939,,0.00041,0.006125,71,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,tralo,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,112.0,30.0,14,10,4.0,,,,0.480407,0.0,0.05,0.05,100,0.0,11.0,10.0,174.0,103.0,84.0,221.0,1.5535714285714286,0.9196428571428571,0.75,1.9732142857142858,7.0,104.95,1.9500000000000028,0.8191,1.0,1.0,0.133945,0.0,4.0,30.0,4.0,0.0,,
dermmnist,MobileNetV3,L50_G50,tralo,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,112.0,28.0,14,11,10.0,,,,0.468678,0.0,0.05,0.06,101,0.0,10.0,11.0,268.0,67.0,66.0,281.0,2.392857142857143,0.5982142857142857,0.5892857142857143,2.5089285714285716,3.0,66.65,-0.3499999999999943,0.8274,1.0,1.0,0.206689,0.0,10.0,29.0,10.0,0.0,,
dermmnist,MobileNetV3,L50_G50,tralo,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,112.0,23.0,11,7,4.0,,,,0.481815,0.0,0.05,0.05,40,0.0,71.0,7.0,146.0,42.0,42.0,190.0,1.3035714285714286,0.375,0.375,1.6964285714285714,5.0,40.54,-1.4600000000000009,0.8255,1.0,1.0,0.095259,0.0,4.0,24.0,4.0,0.0,,
dermmnist,MobileNetV3,L50_G50,tralo,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,112.0,27.0,17,13,3.0,,,,0.465939,0.0,0.05,0.05,95,0.0,16.0,13.0,140.0,75.0,73.0,155.0,1.25,0.6696428571428571,0.6517857142857143,1.3839285714285714,7.0,72.77,-2.230000000000004,0.826,1.0,1.0,0.108477,0.0,3.0,28.0,3.0,0.0,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,,20.0,21,5,16.0,125.0,0.0,0.0,0.480407,,0.498038,5.856017,97,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,,19.0,20,5,15.0,313.0,0.0,0.0,0.468678,,0.866293,6.142482,76,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
