dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
dermmnist,MobileNetV3,L50_G50,4,2.0,174.0,211.61,112.0,0.0,0.0,0.05,0.480407,0.8191,0.133945,0.41725
dermmnist,MobileNetV3,L50_G50,4,4.0,94.0,108.63,112.0,1.0,1.0,0.05,0.180345,0.9378,0.0,0.00168
dermmnist,MobileNetV3,L50_G50,4,5.0,194.0,203.73,112.0,0.0,0.0,0.05,0.106271,0.9626,0.274758,0.83409
dermmnist,MobileNetV3,L50_G50,4,7.0,92.0,97.89,112.0,1.0,1.0,0.05,0.043517,0.9855,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,10.0,124.0,126.74,112.0,0.0,0.0,0.05,0.02319,0.9928,0.016906,0.168732
dermmnist,MobileNetV3,L50_G50,4,11.0,84.0,82.57,112.0,1.0,1.0,0.05,0.024232,0.9919,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,14.0,87.0,90.54,112.0,1.0,1.0,0.05,0.019188,0.9936,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,15.0,221.0,219.5,112.0,0.0,0.0,0.05,0.013146,0.9961,0.325568,0.798646
dermmnist,MobileNetV3,L50_G50,4,19.0,99.0,102.53,112.0,1.0,1.0,0.05,0.005049,0.9981,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,20.0,240.0,244.95,112.0,0.0,0.0,0.05,0.01097,0.9968,0.394166,1.166751
dermmnist,MobileNetV3,L50_G50,4,21.0,103.0,101.65,112.0,1.0,1.0,0.05,0.008185,0.9975,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,23.0,66.0,69.58,112.0,1.0,1.0,0.05,0.010254,0.9963,0.0,0.0
dermmnist,MobileNetV3,L50_G50,4,25.0,144.0,145.83,112.0,0.0,0.0,0.05,0.015871,0.9956,0.064667,0.182113
dermmnist,MobileNetV3,L50_G50,4,30.0,130.0,131.49,112.0,0.0,0.0,0.05,0.00765,0.9979,0.026328,0.08581
dermmnist,MobileNetV3,L50_G50,3,2.0,268.0,285.26,112.0,0.0,0.0,0.05,0.468678,0.8274,0.206689,0.597574
dermmnist,MobileNetV3,L50_G50,3,5.0,281.0,293.24,112.0,0.0,0.0,0.06,0.103284,0.9668,0.612799,1.775144
dermmnist,MobileNetV3,L50_G50,3,10.0,100.0,103.18,112.0,1.0,1.0,0.06,0.015051,0.9953,0.0,0.0
dermmnist,MobileNetV3,L50_G50,3,15.0,127.0,125.71,112.0,0.0,0.0,0.06,0.011189,0.9969,0.034185,0.12424
dermmnist,MobileNetV3,L50_G50,3,16.0,84.0,87.88,112.0,1.0,1.0,0.06,0.007516,0.998,0.0,0.0
dermmnist,MobileNetV3,L50_G50,3,19.0,104.0,96.59,112.0,1.0,1.0,0.06,0.010843,0.9963,0.0,0.0
dermmnist,MobileNetV3,L50_G50,3,20.0,199.0,201.29,112.0,0.0,0.0,0.06,0.014414,0.9951,0.754198,2.09242
dermmnist,MobileNetV3,L50_G50,3,23.0,87.0,87.09,112.0,1.0,1.0,0.06,0.012165,0.9963,0.0,0.0
dermmnist,MobileNetV3,L50_G50,3,25.0,118.0,118.9,112.0,0.0,0.0,0.06,0.002978,0.999,0.01057,0.039292
dermmnist,MobileNetV3,L50_G50,3,26.0,82.0,88.13,112.0,1.0,1.0,0.06,0.005463,0.9988,0.0,0.0
dermmnist,MobileNetV3,L50_G50,3,30.0,119.0,117.61,112.0,0.0,0.0,0.06,0.01279,0.9951,0.007548,0.055097
dermmnist,MobileNetV3,L50_G50,1,2.0,146.0,185.62,112.0,0.0,0.0,0.05,0.481815,0.8255,0.095259,0.302154
dermmnist,MobileNetV3,L50_G50,1,4.0,87.0,96.93,112.0,1.0,1.0,0.05,0.172749,0.942,0.0,0.0
dermmnist,MobileNetV3,L50_G50,1,5.0,146.0,152.13,112.0,0.0,0.0,0.05,0.097388,0.9685,0.08523,0.237263
dermmnist,MobileNetV3,L50_G50,1,10.0,116.0,113.6,112.0,0.0,0.0,0.05,0.02964,0.9909,0.000886,0.012077
dermmnist,MobileNetV3,L50_G50,1,11.0,100.0,100.04,112.0,1.0,1.0,0.05,0.021565,0.9933,0.0,0.001102
dermmnist,MobileNetV3,L50_G50,1,15.0,190.0,192.4,112.0,0.0,0.0,0.05,0.021373,0.9938,0.234718,0.59932
dermmnist,MobileNetV3,L50_G50,1,16.0,79.0,80.91,112.0,1.0,1.0,0.05,0.014698,0.996,0.0,0.0
dermmnist,MobileNetV3,L50_G50,1,19.0,100.0,100.98,112.0,1.0,1.0,0.05,0.015539,0.9954,0.0,0.000369
dermmnist,MobileNetV3,L50_G50,1,20.0,199.0,203.25,112.0,0.0,0.0,0.05,0.0097,0.9959,0.27313,0.790126
dermmnist,MobileNetV3,L50_G50,1,22.0,94.0,91.69,112.0,1.0,1.0,0.05,0.012449,0.9959,0.0,0.0
dermmnist,MobileNetV3,L50_G50,1,25.0,131.0,129.56,112.0,0.0,0.0,0.05,0.015925,0.9953,0.022276,0.066472
dermmnist,MobileNetV3,L50_G50,1,26.0,80.0,83.13,112.0,1.0,1.0,0.05,0.007288,0.9974,0.0,0.0
dermmnist,MobileNetV3,L50_G50,1,30.0,101.0,101.19,112.0,1.0,0.0,0.05,0.003776,0.9988,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,2.0,140.0,194.07,112.0,0.0,0.0,0.05,0.465939,0.826,0.108477,0.303844
dermmnist,MobileNetV3,L50_G50,2,3.0,90.0,110.46,112.0,1.0,1.0,0.05,0.294986,0.8904,0.0,0.003359
dermmnist,MobileNetV3,L50_G50,2,5.0,136.0,141.37,112.0,0.0,0.0,0.05,0.092339,0.9692,0.038491,0.110827
