campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,hounie_rcl,,,1,300,0.0001,5e-06,,67,37,67,0,0.47432099499589836,0.3586206896551724,0.3586206896551724,0.6766255289061955,0.6766255289061955,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/hounie_rcl/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,hounie_rcl,,,1,300,0.0001,5e-06,,67,38,67,0,0.45670887371272323,0.33793103448275863,0.33793103448275863,0.6759686901458197,0.6759686901458197,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/hounie_rcl/seed_2
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,tralo,,,1,300,0.0001,5e-06,True,67,64,67,0,0.5156974658638589,0.3724137931034483,0.3724137931034483,0.685803659035885,0.6886042508929842,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/tralo/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,tralo,,,1,300,0.0001,5e-06,True,67,61,67,0,0.5027209758271308,0.35172413793103446,0.3586206896551724,0.6881078211887192,0.6896970899792709,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/tralo/seed_2
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,danits_lp,,,1,300,0.0001,5e-06,,67,79,67,0,0.45167280581571234,0.23448275862068965,0.30344827586206896,0.2858898821534413,0.2999014280464539,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/danits_lp/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,danits_lp,,,1,300,0.0001,5e-06,,67,134,67,0,0.49073807944262976,0.33793103448275863,0.3448275862068966,0.347217412839285,0.34794990854872926,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/danits_lp/seed_2
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,fioretto_ldf,,,1,300,0.0001,5e-06,,67,59,67,0,0.5197086270308896,0.3724137931034483,0.3724137931034483,0.692400264823994,0.692400264823994,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/fioretto_ldf/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,fioretto_ldf,,,1,300,0.0001,5e-06,,67,54,67,0,0.5065391011731499,0.35172413793103446,0.35172413793103446,0.6835852262221389,0.6835852262221389,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/fioretto_ldf/seed_2
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,tralo_bounded,,,1,300,0.0001,5e-06,True,67,58,67,0,0.5170932638632078,0.3586206896551724,0.3586206896551724,0.6888873633137236,0.6888873633137236,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/tralo_bounded/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,tralo_bounded,,,1,300,0.0001,5e-06,True,67,54,67,0,0.5016730954663317,0.35172413793103446,0.35172413793103446,0.6882748529744909,0.6882748529744909,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/tralo_bounded/seed_2
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,1,heuristic,,,1,300,0.0001,5e-06,,67,79,67,0,0.45167280581571234,0.30344827586206896,0.30344827586206896,0.2999014280464539,0.2999014280464539,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/heuristic/seed_1
results/pending_runs/warmup1_probe,dermmnist,L30_G30,MobileNetV3,2,heuristic,,,1,300,0.0001,5e-06,,67,134,67,0,0.49073807944262976,0.3448275862068966,0.3448275862068966,0.34794990854872926,0.34794990854872926,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L30_G30/w1/heuristic/seed_2
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,,,1,300,0.0001,5e-06,,112,66,111,0,0.5301104479123588,0.46107784431137727,0.46107784431137727,0.7092267525339101,0.7092267525339101,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/hounie_rcl/seed_1
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,,,1,300,0.0001,5e-06,,112,72,111,0,0.5392654816534744,0.4431137724550898,0.4431137724550898,0.6867397913743606,0.6867397913743606,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/hounie_rcl/seed_2
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,1,tralo,,,1,300,0.0001,5e-06,True,112,107,111,0,0.5811390473325028,0.49101796407185627,0.49700598802395207,0.7352455089590243,0.7410270493265652,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/tralo/seed_1
