campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,hounie_rcl,warmup_ablation,,10,300,0.0001,5e-06,,67,54,67,0,0.6293382944929122,0.3793103448275862,0.3793103448275862,0.7020218347438779,0.7020218347438779,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/hounie_rcl/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,hounie_rcl,warmup_ablation,,10,300,0.0001,5e-06,,67,56,67,0,0.666862708768868,0.4068965517241379,0.4068965517241379,0.6986647465441621,0.6986647465441621,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/hounie_rcl/seed_2
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,tralo,warmup_ablation,,10,300,0.0001,5e-06,True,67,65,67,0,0.6414141444532534,0.3793103448275862,0.3793103448275862,0.6995211216183023,0.6995211216183023,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/tralo/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,tralo,warmup_ablation,,10,300,0.0001,5e-06,True,67,65,67,0,0.6670569225174657,0.4,0.4,0.6949273370516794,0.6949273370516794,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/tralo/seed_2
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,danits_lp,warmup_ablation,,10,300,0.0001,5e-06,,67,234,67,0,0.6045908293553471,0.33793103448275863,0.3448275862068966,0.65157348809177,0.6514334370906457,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/danits_lp/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,danits_lp,warmup_ablation,,10,300,0.0001,5e-06,,67,239,67,0,0.6906418055639548,0.3931034482758621,0.4,0.693854381536292,0.6945567117002168,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/danits_lp/seed_2
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,fioretto_ldf,warmup_ablation,,10,300,0.0001,5e-06,,67,60,67,0,0.6330293522608454,0.38620689655172413,0.38620689655172413,0.7036686026733591,0.7036686026733591,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/fioretto_ldf/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,fioretto_ldf,warmup_ablation,,10,300,0.0001,5e-06,,67,56,67,0,0.648936066690804,0.3931034482758621,0.3931034482758621,0.677107627387678,0.677107627387678,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/fioretto_ldf/seed_2
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,tralo_bounded,warmup_ablation,,10,300,0.0001,5e-06,True,67,57,67,0,0.6267024150527889,0.38620689655172413,0.38620689655172413,0.7048863023609272,0.7048863023609272,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/tralo_bounded/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,tralo_bounded,warmup_ablation,,10,300,0.0001,5e-06,True,67,53,67,0,0.6544783705938989,0.3931034482758621,0.3931034482758621,0.6903231365665453,0.6903231365665453,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/tralo_bounded/seed_2
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,1,heuristic,warmup_ablation,,10,300,0.0001,5e-06,,67,234,67,0,0.6045908293553471,0.3448275862068966,0.3448275862068966,0.6514334370906457,0.6514334370906457,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/heuristic/seed_1
results/pending_runs/warmup_ablation,dermmnist,L30_G30,ViTB16,2,heuristic,warmup_ablation,,10,300,0.0001,5e-06,,67,239,67,0,0.6906418055639548,0.4,0.4,0.6945567117002168,0.6945567117002168,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L30_G30/w10/heuristic/seed_2
results/pending_runs/warmup_ablation,dermmnist,L50_G50,ViTB16,1,hounie_rcl,warmup_ablation,,10,300,0.0001,5e-06,,112,95,111,0,0.6516002068258708,0.5089820359281437,0.5089820359281437,0.7261582195394214,0.7261582195394214,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L50_G50/w10/hounie_rcl/seed_1
results/pending_runs/warmup_ablation,dermmnist,L50_G50,ViTB16,2,hounie_rcl,warmup_ablation,,10,300,0.0001,5e-06,,112,89,111,0,0.6790893732112585,0.5329341317365269,0.5329341317365269,0.716186227992482,0.716186227992482,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L50_G50/w10/hounie_rcl/seed_2
results/pending_runs/warmup_ablation,dermmnist,L50_G50,ViTB16,1,tralo,warmup_ablation,,10,300,0.0001,5e-06,True,112,99,111,0,0.6512032774403208,0.5089820359281437,0.5089820359281437,0.7226931946580529,0.7226931946580529,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L50_G50/w10/tralo/seed_1
results/pending_runs/warmup_ablation,dermmnist,L50_G50,ViTB16,2,tralo,warmup_ablation,,10,300,0.0001,5e-06,True,112,106,111,0,0.6823208498647506,0.5269461077844312,0.5269461077844312,0.7187371483146967,0.7187371483146967,results/pending_runs/warmup_ablation/lane_vit/ViTB16/dermmnist/L50_G50/w10/tralo/seed_2
