campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
paper_final,dermmnist,L10_G10,MobileNetV3,1,danits_lp,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,195,22,22,0,0.7063806810584813,0.16326530612244897,0.16326530612244897,0.6872957998996617,0.6872957998996617,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/danits_lp/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,danits_lp,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,198,22,22,0,0.6871747460319677,0.16326530612244897,0.15510204081632653,0.6656923536213096,0.6640995635942323,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/danits_lp/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,danits_lp,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,209,22,22,0,0.7139584333260884,0.17959183673469387,0.17959183673469387,0.7034971890487006,0.7034971890487006,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/danits_lp/seed_3
paper_final,dermmnist,L10_G10,MobileNetV3,4,danits_lp,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,212,22,22,0,0.7127348346679947,0.17142857142857143,0.17142857142857143,0.6662703884728892,0.6662703884728892,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/danits_lp/seed_4
paper_final,dermmnist,L10_G10,MobileNetV3,1,fioretto_ldf,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,20,22,22,0,0.5619963083882411,0.17142857142857143,0.17142857142857143,0.6257756646629852,0.6257756646629852,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/fioretto_ldf/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,fioretto_ldf,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,10,22,22,0,0.5795672054132728,0.17959183673469387,0.17959183673469387,0.6666450710416931,0.6666450710416931,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/fioretto_ldf/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,fioretto_ldf,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,9,22,22,0,0.572369553789458,0.16326530612244897,0.16326530612244897,0.6957066340528038,0.6957066340528038,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/fioretto_ldf/seed_3
paper_final,dermmnist,L10_G10,MobileNetV3,4,fioretto_ldf,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,9,22,22,0,0.45054316002885986,0.16326530612244897,0.16326530612244897,0.6271255972500714,0.6271255972500714,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/fioretto_ldf/seed_4
paper_final,dermmnist,L10_G10,MobileNetV3,1,heuristic,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,195,22,22,0,0.7063806810584813,0.16326530612244897,0.16326530612244897,0.6872957998996617,0.6872957998996617,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/heuristic/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,heuristic,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,198,22,22,0,0.6871747460319677,0.15510204081632653,0.15510204081632653,0.6640995635942323,0.6640995635942323,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/heuristic/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,heuristic,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,209,22,22,0,0.7139584333260884,0.17959183673469387,0.17959183673469387,0.7034971890487006,0.7034971890487006,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/heuristic/seed_3
paper_final,dermmnist,L10_G10,MobileNetV3,4,heuristic,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,212,22,22,0,0.7127348346679947,0.17142857142857143,0.17142857142857143,0.6662703884728892,0.6662703884728892,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/heuristic/seed_4
paper_final,dermmnist,L10_G10,MobileNetV3,1,hounie_rcl,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,10,22,22,0,0.5498849369886392,0.17142857142857143,0.17142857142857143,0.6323365894661813,0.6323365894661813,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/hounie_rcl/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,hounie_rcl,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,10,22,22,0,0.5900762028588381,0.17142857142857143,0.17142857142857143,0.6421509188920627,0.6421509188920627,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/hounie_rcl/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,hounie_rcl,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,13,22,22,0,0.585586043682733,0.16326530612244897,0.16326530612244897,0.6932946140082095,0.6932946140082095,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/hounie_rcl/seed_3
paper_final,dermmnist,L10_G10,MobileNetV3,4,hounie_rcl,,,50,300,0.0001,5e-06,,4,2003,223,22,22,3,8,22,22,0,0.4538505928711529,0.15510204081632653,0.15510204081632653,0.617553144632349,0.617553144632349,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/hounie_rcl/seed_4
paper_final,dermmnist,L10_G10,MobileNetV3,1,tralo,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,21,22,22,0,0.563338023682475,0.17142857142857143,0.17142857142857143,0.6302193215111035,0.6302193215111035,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,tralo,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,15,22,22,0,0.6017023784325853,0.17142857142857143,0.17142857142857143,0.6701626829355025,0.6701626829355025,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,tralo,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,17,22,22,0,0.6041130043071665,0.17142857142857143,0.17142857142857143,0.6948382634326339,0.6948382634326339,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo/seed_3
paper_final,dermmnist,L10_G10,MobileNetV3,4,tralo,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,18,22,22,0,0.5179542542221675,0.16326530612244897,0.16326530612244897,0.6555194025422776,0.6555194025422776,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo/seed_4
paper_final,dermmnist,L10_G10,MobileNetV3,1,tralo_bounded,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,15,22,22,0,0.560723527068311,0.17142857142857143,0.17142857142857143,0.6317960631444928,0.6317960631444928,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo_bounded/seed_1
paper_final,dermmnist,L10_G10,MobileNetV3,2,tralo_bounded,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,11,22,22,0,0.5930249890341194,0.17142857142857143,0.17142857142857143,0.6642347673774154,0.6642347673774154,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo_bounded/seed_2
paper_final,dermmnist,L10_G10,MobileNetV3,3,tralo_bounded,,,50,300,0.0001,5e-06,True,4,2003,223,22,22,3,13,22,22,0,0.5941644608831191,0.16326530612244897,0.16326530612244897,0.6930719367672202,0.6930719367672202,results/pending_runs/paper_final/lane0/MobileNetV3/dermmnist/L10_G10/tralo_bounded/seed_3
