campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,3,danits_lp,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,70,64,67,3,0.45142543883530817,0.22996515679442509,0.31724137931034485,0.288945240073592,0.3025935584449739,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/danits_lp/seed_3
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,4,danits_lp,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,60,54,67,13,0.34608857078896377,0.1299638989169675,0.2206896551724138,0.21756032618317822,0.2317569173720135,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/danits_lp/seed_4
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,3,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,51,67,67,0,0.5307267968081412,0.3724137931034483,0.3724137931034483,0.6822699726595923,0.6822699726595923,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/fioretto_ldf/seed_3
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,4,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,54,67,67,0,0.5003026410113478,0.36551724137931035,0.36551724137931035,0.6773315680416693,0.6773315680416693,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/fioretto_ldf/seed_4
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,3,heuristic,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,70,67,67,0,0.45142543883530817,0.31724137931034485,0.31724137931034485,0.3025935584449739,0.3025935584449739,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/heuristic/seed_3
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,4,heuristic,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,60,67,67,0,0.34608857078896377,0.2206896551724138,0.2206896551724138,0.2317569173720135,0.2317569173720135,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/heuristic/seed_4
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,3,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,35,67,67,0,0.49374313595466696,0.35172413793103446,0.35172413793103446,0.6777541716437713,0.6777541716437713,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/hounie_rcl/seed_3
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,4,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,39,67,67,0,0.46474854338808147,0.3793103448275862,0.3793103448275862,0.6760957031247113,0.6760957031247113,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/hounie_rcl/seed_4
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,3,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,60,67,67,0,0.5369234342531745,0.3586206896551724,0.36551724137931035,0.6821410042718552,0.6834019721261383,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/tralo/seed_3
warmup1_probe_s34,dermmnist,L30_G30,MobileNetV3,4,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,64,67,67,0,0.5206321154257666,0.38620689655172413,0.38620689655172413,0.6931448257565102,0.6925536067197345,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L30_G30/w1/tralo/seed_4
