ds,tight,tralo_n,tralo_F1m,best_baseline_F1m,best_baseline_method_F1m,tralo_gap_F1m,tralo_Acc,best_baseline_Acc,best_baseline_method_Acc,tralo_gap_Acc,tralo_ECE,best_baseline_ECE,best_baseline_method_ECE,tralo_gap_ECE,tralo_Brier,best_baseline_Brier,best_baseline_method_Brier,tralo_gap_Brier,tralo_Flips,best_baseline_Flips,best_baseline_method_Flips,tralo_gap_Flips,tralo_Sat%,best_baseline_Sat%,best_baseline_method_Sat%,tralo_gap_Sat%,tralo_SatEp,best_baseline_SatEp,best_baseline_method_SatEp,tralo_gap_SatEp,tralo_Time,best_baseline_Time,best_baseline_method_Time,tralo_gap_Time
tissuemnist,L20_G20,4,0.3538,0.3531,fioretto_ldf,+0.0007,0.5010,0.5030,hounie_rcl,-0.0020,0.3984,0.3966,hounie_rcl,-0.0018,0.8711,0.8657,tralo_bounded,-0.0055,4.5000,7.5000,hounie_rcl,+3.0000,1.0000,1.0000,tralo_bounded,+0.0000,69.7500,19.3333,fioretto_ldf,-50.4167,39.8674,0.4794,heuristic,-39.3879
tissuemnist,L30_G30,4,0.3641,0.3615,tralo_bounded,+0.0026,0.5067,0.5043,hounie_rcl,+0.0024,0.3940,0.3927,hounie_rcl,-0.0012,0.8580,0.8599,tralo_bounded,+0.0019,5.0000,9.7500,tralo_bounded,+4.7500,1.0000,1.0000,hounie_rcl,+0.0000,66.0000,16.2500,fioretto_ldf,-49.7500,80.6033,0.4877,heuristic,-80.1157
tissuemnist,L50_G50,4,0.3723,0.3704,hounie_rcl,+0.0020,0.5074,0.5052,hounie_rcl,+0.0022,0.3874,0.3876,fioretto_ldf,+0.0002,0.8492,0.8519,fioretto_ldf,+0.0027,4.2500,10.7500,hounie_rcl,+6.5000,1.0000,1.0000,tralo_bounded,+0.0000,60.0000,10.0000,fioretto_ldf,-50.0000,55.7044,0.4882,heuristic,-55.2161
tissuemnist,L70_G70,4,0.3800,0.3752,tralo_bounded,+0.0047,0.5086,0.5052,tralo_bounded,+0.0034,0.3830,0.3865,tralo_bounded,+0.0036,0.8460,0.8494,fioretto_ldf,+0.0033,8.5000,20.5000,tralo_bounded,+12.0000,1.0000,1.0000,tralo_bounded,+0.0000,55.7500,5.7500,fioretto_ldf,-50.0000,20.7411,0.4679,heuristic,-20.2731
tissuemnist,L80_G80,4,0.3768,0.3770,fioretto_ldf,-0.0003,0.5066,0.5049,fioretto_ldf,+0.0017,0.3858,0.3856,tralo_bounded,-0.0002,0.8476,0.8490,fioretto_ldf,+0.0014,17.7500,28.5000,fioretto_ldf,+10.7500,1.0000,1.0000,tralo_bounded,+0.0000,54.5000,5.0000,fioretto_ldf,-49.5000,45.2248,0.4808,heuristic,-44.7440
dermmnist,L20_G20,4,0.7077,0.7049,fioretto_ldf,+0.0028,0.8323,0.8367,heuristic,-0.0044,0.1425,0.1012,danits_lp,-0.0414,0.3044,0.2315,danits_lp,-0.0730,2.5000,12.2500,tralo_bounded,+9.7500,1.0000,1.0000,hounie_rcl,+0.0000,70.5000,20.7500,fioretto_ldf,-49.7500,87.0317,0.4403,heuristic,-86.5914
dermmnist,L30_G30,4,0.7301,0.7347,tralo_bounded,-0.0046,0.8442,0.8461,heuristic,-0.0019,0.1309,0.1012,danits_lp,-0.0297,0.2817,0.2315,danits_lp,-0.0503,8.0000,8.0000,tralo_bounded,+0.0000,1.0000,1.0000,hounie_rcl,+0.0000,67.2500,16.5000,fioretto_ldf,-50.7500,132.7974,0.4437,heuristic,-132.3537
dermmnist,L50_G50,4,0.7646,0.7644,fioretto_ldf,+0.0002,0.8624,0.8627,tralo_bounded,-0.0003,0.1119,0.1012,danits_lp,-0.0107,0.2450,0.2315,danits_lp,-0.0135,4.0000,9.7500,fioretto_ldf,+5.7500,1.0000,1.0000,hounie_rcl,+0.0000,62.0000,11.6667,fioretto_ldf,-50.3333,112.1009,0.4404,heuristic,-111.6605
dermmnist,L70_G70,4,0.7884,0.7873,fioretto_ldf,+0.0011,0.8732,0.8722,fioretto_ldf,+0.0010,0.0991,0.1003,fioretto_ldf,+0.0012,0.2237,0.2244,tralo_bounded,+0.0007,4.2500,9.5000,tralo_bounded,+5.2500,1.0000,1.0000,hounie_rcl,+0.0000,57.2500,7.7500,fioretto_ldf,-49.5000,81.9444,0.4455,heuristic,-81.4989
dermmnist,L80_G80,4,0.7892,0.7893,hounie_rcl,-0.0001,0.8730,0.8731,hounie_rcl,-0.0001,0.0979,0.0955,hounie_rcl,-0.0024,0.2187,0.2191,hounie_rcl,+0.0004,4.5000,9.0000,hounie_rcl,+4.5000,1.0000,1.0000,tralo_bounded,+0.0000,54.5000,5.0000,fioretto_ldf,-49.5000,20.2977,0.4353,heuristic,-19.8624
aider,L20_G20,4,0.7929,0.8024,danits_lp,-0.0095,0.9151,0.9242,heuristic,-0.0090,0.0781,0.0116,danits_lp,-0.0665,0.1586,0.0237,danits_lp,-0.1349,1.2500,5.7500,tralo_bounded,+4.5000,1.0000,1.0000,tralo_bounded,+0.0000,75.5000,22.2500,fioretto_ldf,-53.2500,44.2657,0.3359,heuristic,-43.9299
