ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
aider,L20_G20,danits_lp,1,0.7961,0.9218,0.0134,0.0309,91.0,0.0,,0.3543
aider,L20_G20,danits_lp,2,0.7967,0.9244,0.0123,0.0225,83.0,0.0,,0.3655
aider,L20_G20,danits_lp,3,0.8036,0.9235,0.0101,0.0206,83.0,0.0,,0.3647
aider,L20_G20,danits_lp,4,0.813,0.9269,0.0106,0.0207,81.0,0.0,,0.3576
aider,L20_G20,fioretto_ldf,1,0.7789,0.9067,0.0905,0.1815,7.0,1.0,30.0,18.5372
aider,L20_G20,fioretto_ldf,2,0.7834,0.9092,0.0883,0.1762,8.0,1.0,19.0,13.4888
aider,L20_G20,fioretto_ldf,3,0.7982,0.9185,0.0748,0.1533,4.0,1.0,18.0,13.64
aider,L20_G20,fioretto_ldf,4,0.8034,0.921,0.0775,0.1598,7.0,1.0,22.0,15.6612
aider,L20_G20,heuristic,1,0.7961,0.9218,0.0134,0.0309,91.0,0.0,,0.3538
aider,L20_G20,heuristic,2,0.7977,0.9244,0.0123,0.0225,83.0,0.0,,0.3404
aider,L20_G20,heuristic,3,0.8007,0.9235,0.0101,0.0206,83.0,0.0,,0.3635
aider,L20_G20,heuristic,4,0.813,0.9269,0.0106,0.0207,81.0,0.0,,0.2858
aider,L20_G20,hounie_rcl,1,0.7687,0.9025,0.1027,0.2082,15.0,1.0,105.0,52.1502
aider,L20_G20,hounie_rcl,2,0.7404,0.8916,0.109,0.2248,18.0,1.0,48.0,26.8204
aider,L20_G20,hounie_rcl,3,0.7875,0.9134,0.0947,0.1913,18.0,1.0,50.0,27.9242
aider,L20_G20,hounie_rcl,4,0.775,0.9042,0.1027,0.2041,16.0,1.0,107.0,52.8125
aider,L20_G20,tralo,1,0.7818,0.9084,0.0858,0.1718,4.0,1.0,84.0,22.5823
aider,L20_G20,tralo,2,0.7849,0.9101,0.0831,0.1684,0.0,1.0,70.0,64.5692
aider,L20_G20,tralo,3,0.7995,0.9193,0.0711,0.1445,1.0,1.0,71.0,17.3959
aider,L20_G20,tralo,4,0.8052,0.9227,0.0724,0.1496,0.0,1.0,77.0,72.5156
aider,L20_G20,tralo_bounded,1,0.7789,0.9067,0.0951,0.1909,9.0,1.0,84.0,21.3966
aider,L20_G20,tralo_bounded,2,0.7864,0.9109,0.0809,0.1657,0.0,1.0,70.0,15.0109
aider,L20_G20,tralo_bounded,3,0.7982,0.9185,0.0769,0.1571,6.0,1.0,71.0,15.08
aider,L20_G20,tralo_bounded,4,0.8034,0.921,0.0794,0.1637,8.0,1.0,77.0,18.3984
aider,L30_G30,danits_lp,1,0.8331,0.9311,0.0134,0.0309,80.0,0.0,,0.3522
aider,L30_G30,danits_lp,2,0.8347,0.9336,0.0123,0.0225,72.0,0.0,,0.3716
aider,L30_G30,danits_lp,3,0.8396,0.9328,0.0101,0.0206,72.0,0.0,,0.3682
aider,L30_G30,danits_lp,4,0.8491,0.9361,0.0106,0.0207,70.0,0.0,,0.3155
aider,L30_G30,fioretto_ldf,1,0.8182,0.9185,0.0832,0.1681,14.0,1.0,29.0,18.3469
aider,L30_G30,fioretto_ldf,2,0.8257,0.9227,0.0752,0.1552,7.0,1.0,18.0,12.8532
aider,L30_G30,fioretto_ldf,3,0.8355,0.9286,0.0621,0.1313,3.0,1.0,17.0,12.8188
aider,L30_G30,fioretto_ldf,4,0.8408,0.9311,0.0676,0.1444,8.0,1.0,21.0,14.8898
aider,L30_G30,heuristic,1,0.8321,0.9311,0.0134,0.0309,80.0,0.0,,0.36
aider,L30_G30,heuristic,2,0.8337,0.9336,0.0123,0.0225,72.0,0.0,,0.3531
aider,L30_G30,heuristic,3,0.8396,0.9328,0.0101,0.0206,72.0,0.0,,0.3501
aider,L30_G30,heuristic,4,0.8501,0.9361,0.0106,0.0207,70.0,0.0,,0.3063
aider,L30_G30,hounie_rcl,1,0.8149,0.916,0.1001,0.2004,23.0,1.0,109.0,56.0069
aider,L30_G30,hounie_rcl,2,0.7828,0.9034,0.1058,0.2185,28.0,1.0,49.0,28.6788
aider,L30_G30,hounie_rcl,3,0.8256,0.9235,0.0934,0.1873,29.0,1.0,51.0,29.2532
aider,L30_G30,hounie_rcl,4,0.7979,0.9134,0.0902,0.1859,26.0,1.0,81.0,43.6575
aider,L30_G30,tralo,1,0.8409,0.9311,0.0649,0.1367,5.0,1.0,77.0,111.6437
aider,L30_G30,tralo,2,0.8271,0.9235,0.0718,0.1489,3.0,1.0,67.0,15.1037
aider,L30_G30,tralo,3,0.8373,0.9303,0.0586,0.1279,0.0,1.0,67.0,19.9329
aider,L30_G30,tralo,4,0.8395,0.9303,0.0648,0.1337,0.0,1.0,71.0,28.1711
aider,L30_G30,tralo_bounded,1,0.8178,0.9176,0.0823,0.1657,12.0,1.0,79.0,18.7836
aider,L30_G30,tralo_bounded,2,0.8253,0.9218,0.0786,0.1619,11.0,1.0,67.0,13.1956
aider,L30_G30,tralo_bounded,3,0.837,0.9294,0.0635,0.133,6.0,1.0,67.0,13.3904
aider,L30_G30,tralo_bounded,4,0.8408,0.9311,0.0648,0.1359,3.0,1.0,71.0,14.7306
aider,L50_G50,danits_lp,1,0.8878,0.9479,0.0134,0.0309,60.0,0.0,,0.3819
aider,L50_G50,danits_lp,2,0.8895,0.9504,0.0123,0.0225,52.0,0.0,,0.3749
aider,L50_G50,danits_lp,3,0.8924,0.9496,0.0101,0.0206,52.0,0.0,,0.3776
aider,L50_G50,danits_lp,4,0.9029,0.9529,0.0106,0.0207,50.0,0.0,,0.3109
aider,L50_G50,fioretto_ldf,1,0.8797,0.9403,0.0553,0.114,5.0,1.0,25.0,15.7771
aider,L50_G50,fioretto_ldf,2,0.8813,0.9412,0.0546,0.1131,6.0,1.0,16.0,11.8176
aider,L50_G50,fioretto_ldf,3,0.8887,0.9462,0.0522,0.1113,12.0,1.0,15.0,11.7021
aider,L50_G50,fioretto_ldf,4,0.8925,0.9479,0.0543,0.1142,12.0,1.0,19.0,13.047
aider,L50_G50,heuristic,1,0.8878,0.9479,0.0134,0.0309,60.0,0.0,,0.3315
aider,L50_G50,heuristic,2,0.8895,0.9504,0.0123,0.0225,52.0,0.0,,0.3333
aider,L50_G50,heuristic,3,0.8924,0.9496,0.0101,0.0206,52.0,0.0,,0.353
aider,L50_G50,heuristic,4,0.9029,0.9529,0.0106,0.0207,50.0,0.0,,0.2783
aider,L50_G50,hounie_rcl,1,0.8735,0.9361,0.0768,0.1574,28.0,1.0,120.0,59.5496
aider,L50_G50,hounie_rcl,2,0.835,0.9202,0.0969,0.1982,43.0,1.0,52.0,29.5762
aider,L50_G50,hounie_rcl,3,0.8819,0.9412,0.0852,0.1698,42.0,1.0,54.0,30.3625
aider,L50_G50,hounie_rcl,4,0.8721,0.9387,0.0773,0.1602,38.0,1.0,89.0,45.8608
aider,L50_G50,tralo,1,0.8811,0.9412,0.0509,0.1026,0.0,1.0,74.0,19.9118
aider,L50_G50,tralo,2,0.8855,0.9437,0.0495,0.1043,0.0,1.0,65.0,18.9775
aider,L50_G50,tralo,3,0.8887,0.9462,0.0466,0.0976,0.0,1.0,64.0,139.9316
aider,L50_G50,tralo,4,0.8915,0.9479,0.0472,0.0956,0.0,1.0,69.0,65.5048
aider,L50_G50,tralo_bounded,1,0.8783,0.9395,0.0569,0.1188,7.0,1.0,74.0,16.1195
aider,L50_G50,tralo_bounded,2,0.8841,0.9429,0.0516,0.1092,5.0,0.0,,38.803
aider,L50_G50,tralo_bounded,3,0.8901,0.9471,0.053,0.1106,14.0,1.0,64.0,11.7946
aider,L50_G50,tralo_bounded,4,0.8922,0.9471,0.0515,0.1061,7.0,0.0,,39.5593
aider,L70_G70,danits_lp,1,0.9311,0.9647,0.0134,0.0309,40.0,0.0,,0.3488
aider,L70_G70,danits_lp,2,0.9337,0.9672,0.0123,0.0225,32.0,0.0,,0.3713
aider,L70_G70,danits_lp,3,0.9337,0.9664,0.0101,0.0206,32.0,0.0,,0.3849
aider,L70_G70,danits_lp,4,0.9441,0.9697,0.0106,0.0207,30.0,0.0,,0.3121
aider,L70_G70,fioretto_ldf,1,0.9249,0.9588,0.0324,0.0742,3.0,1.0,22.0,14.9114
aider,L70_G70,fioretto_ldf,2,0.9261,0.9613,0.0354,0.0743,3.0,1.0,14.0,11.8715
aider,L70_G70,fioretto_ldf,3,0.9348,0.9647,0.0296,0.0602,1.0,1.0,13.0,11.4344
aider,L70_G70,fioretto_ldf,4,0.9349,0.9647,0.0279,0.0634,2.0,1.0,16.0,12.1445
aider,L70_G70,heuristic,1,0.9311,0.9647,0.0134,0.0309,40.0,0.0,,0.3388
aider,L70_G70,heuristic,2,0.9337,0.9672,0.0123,0.0225,32.0,0.0,,0.3596
aider,L70_G70,heuristic,3,0.9337,0.9664,0.0101,0.0206,32.0,0.0,,0.35
aider,L70_G70,heuristic,4,0.9441,0.9697,0.0106,0.0207,30.0,0.0,,0.2955
aider,L70_G70,hounie_rcl,1,0.9205,0.9563,0.055,0.1113,26.0,1.0,145.0,71.0124
aider,L70_G70,hounie_rcl,2,0.9206,0.9563,0.0621,0.1292,33.0,1.0,57.0,32.9848
aider,L70_G70,hounie_rcl,3,0.9299,0.9613,0.0536,0.1153,34.0,1.0,60.0,33.9053
aider,L70_G70,hounie_rcl,4,0.9358,0.9647,0.0503,0.105,29.0,1.0,105.0,53.5027
aider,L70_G70,tralo,1,0.9292,0.9613,0.0333,0.0681,0.0,1.0,72.0,140.3578
aider,L70_G70,tralo,2,0.9261,0.9613,0.0337,0.0733,2.0,1.0,63.0,18.183
aider,L70_G70,tralo,3,0.9362,0.9655,0.0268,0.0597,0.0,1.0,62.0,15.6065
aider,L70_G70,tralo,4,0.9363,0.9655,0.0283,0.0596,0.0,1.0,66.0,18.3371
aider,L70_G70,tralo_bounded,1,0.9249,0.9588,0.0327,0.0708,3.0,0.0,,40.8641
aider,L70_G70,tralo_bounded,2,0.9281,0.9613,0.0381,0.0811,8.0,1.0,63.0,11.4702
aider,L70_G70,tralo_bounded,3,0.9348,0.9647,0.0305,0.0614,2.0,1.0,62.0,11.3244
aider,L70_G70,tralo_bounded,4,0.9349,0.9647,0.0352,0.0735,10.0,1.0,66.0,12.4951
