ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
aider,L20_G20,danits_lp,4,0.80235,0.00787337,0.92415,0.00212681,0.0116,0.00152534,0.023675,0.00489515,84.5,4.43471,0,0,,,0.360525,0.00546161
aider,L20_G20,fioretto_ldf,4,0.790975,0.0116871,0.91385,0.00696395,0.082775,0.00778091,0.1677,0.0133224,6.5,1.73205,1,0,22.25,5.43906,15.3318,2.35527
aider,L20_G20,heuristic,4,0.801875,0.00765784,0.92415,0.00212681,0.0116,0.00152534,0.023675,0.00489515,84.5,4.43471,0,0,,,0.335875,0.0347008
aider,L20_G20,hounie_rcl,4,0.7679,0.0199287,0.902925,0.00894031,0.102275,0.00585854,0.2071,0.013822,16.75,1.5,1,0,77.5,32.9292,39.9268,14.5062
aider,L20_G20,tralo,4,0.79285,0.0112849,0.915125,0.00695911,0.0781,0.00743371,0.158575,0.0135411,1.25,1.89297,1,0,75.5,6.45497,44.2657,28.2987
aider,L20_G20,tralo_bounded,4,0.791725,0.0111216,0.914275,0.00662942,0.083075,0.00818469,0.16935,0.0148291,5.75,4.03113,1,0,75.5,6.45497,17.4715,3.0572
aider,L30_G30,danits_lp,4,0.839125,0.00720203,0.9334,0.00208006,0.0116,0.00152534,0.023675,0.00489515,73.5,4.43471,0,0,,,0.351875,0.0256829
aider,L30_G30,fioretto_ldf,4,0.83005,0.0100765,0.925225,0.0057011,0.072025,0.00918418,0.14975,0.0156573,8,4.54606,1,0,21.25,5.43906,14.7272,2.60016
aider,L30_G30,heuristic,4,0.838875,0.00814877,0.9334,0.00208006,0.0116,0.00152534,0.023675,0.00489515,73.5,4.43471,0,0,,,0.342375,0.0244046
aider,L30_G30,hounie_rcl,4,0.8053,0.0188437,0.914075,0.00830557,0.097375,0.00696868,0.198025,0.0151317,26.5,2.64575,1,0,72.5,28.396,39.3991,13.0616
aider,L30_G30,tralo,4,0.8362,0.006245,0.9288,0.0035534,0.065025,0.00539282,0.1368,0.00885513,2,2.44949,1,0,70.5,4.72582,43.7128,45.6074
aider,L30_G30,tralo_bounded,4,0.830225,0.0105888,0.924975,0.00636573,0.0723,0.00954603,0.149125,0.0170572,8,4.24264,1,0,71,5.65685,15.0251,2.59694
aider,L50_G50,danits_lp,4,0.89315,0.00677176,0.9502,0.00208006,0.0116,0.00152534,0.023675,0.00489515,53.5,4.43471,0,0,,,0.361325,0.03374
