path,status,final_epoch,global_satisfied,local_satisfied,model,constraint,lambda_strategy,lr
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,converged,384,True,True,BasicNN,"[0, 0, 0]",balanced,0.0001
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,converged,433,True,True,BasicNN,"[0, 0, 0]",combined,0.0001
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,480,True,True,BasicNN,"[0, 0, 0]",linear,0.0001
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,408,True,True,BasicNN,"[0, 0, 0]",transfer,0.0001
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,converged,514,True,True,BasicNN,"[0, 0, 0]",balanced,5e-05
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,converged,510,True,True,BasicNN,"[0, 0, 0]",combined,5e-05
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,converged,585,True,True,BasicNN,"[0, 0, 0]",linear,5e-05
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,failed,1000,True,False,BasicNN,"[0, 0, 0]",transfer,5e-05
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,converged,654,True,True,BasicNN,"[0, 0, 0]",balanced,0.0001
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,converged,702,True,True,BasicNN,"[0, 0, 0]",combined,0.0001
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,converged,834,True,True,BasicNN,"[0, 0, 0]",linear,0.0001
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,converged,526,True,True,BasicNN,"[0, 0, 0]",transfer,0.0001
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,failed,1000,False,False,BasicNN,"[0, 0, 0]",balanced,5e-05
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,failed,1000,False,True,BasicNN,"[0, 0, 0]",combined,5e-05
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,failed,1000,False,True,BasicNN,"[0, 0, 0]",linear,5e-05
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,converged,985,True,True,BasicNN,"[0, 0, 0]",transfer,5e-05
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,converged,270,True,True,BasicNN,"[0, 0, 0]",balanced,0.0001
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,converged,174,True,True,BasicNN,"[0, 0, 0]",combined,0.0001
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,converged,277,True,True,BasicNN,"[0, 0, 0]",linear,0.0001
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,171,True,True,BasicNN,"[0, 0, 0]",transfer,0.0001
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,converged,220,True,True,BasicNN,"[0, 0, 0]",balanced,5e-05
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,converged,159,True,True,BasicNN,"[0, 0, 0]",combined,5e-05
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,converged,198,True,True,BasicNN,"[0, 0, 0]",linear,5e-05
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,174,True,True,BasicNN,"[0, 0, 0]",transfer,5e-05
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,converged,216,True,True,FTTransformer,"[0, 0, 0]",balanced,0.0001
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,converged,184,True,True,FTTransformer,"[0, 0, 0]",combined,0.0001
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,217,True,True,FTTransformer,"[0, 0, 0]",linear,0.0001
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,201,True,True,FTTransformer,"[0, 0, 0]",transfer,0.0001
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,converged,195,True,True,FTTransformer,"[0, 0, 0]",balanced,5e-05
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,converged,329,True,True,FTTransformer,"[0, 0, 0]",combined,5e-05
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,converged,261,True,True,FTTransformer,"[0, 0, 0]",linear,5e-05
