dataset,seed,method,policy,accuracy,macro_f1,cc_f1,raw_feasible,task_updates,constraint_updates,joint_constraint_updates
cifar,1001,alm_0.005,raw,0.6155,0.6077181376612544,0.38431527872550575,True,800,0,600
cifar,1001,alm_0.005,upper_bound_correction,0.6155,0.6077181376612544,0.38431527872550575,True,800,0,600
cifar,1001,alm_0.005,capped_first,0.627,0.6243899304560682,0.5259053257790985,True,800,0,600
cifar,1001,alm_0.015,raw,0.6205,0.6134535312010183,0.4183907258555596,False,800,0,600
cifar,1001,alm_0.015,upper_bound_correction,0.619,0.6115569542491471,0.4062906935349391,False,800,0,600
cifar,1001,alm_0.015,capped_first,0.6275,0.6243328436655876,0.5184979183716912,False,800,0,600
cifar,1001,alm_0.05,raw,0.617,0.6098847389827537,0.3983354430131099,True,800,0,600
cifar,1001,alm_0.05,upper_bound_correction,0.617,0.6098847389827537,0.3983354430131099,True,800,0,600
cifar,1001,alm_0.05,capped_first,0.6275,0.625235204645118,0.5323569386823245,True,800,0,600
cifar,1001,alm_0.15,raw,0.614,0.6057449456145223,0.38112931154866636,True,800,0,600
cifar,1001,alm_0.15,upper_bound_correction,0.614,0.6057449456145223,0.38112931154866636,True,800,0,600
cifar,1001,alm_0.15,capped_first,0.625,0.6222417022846511,0.5236612865084114,True,800,0,600
cifar,1001,alm_0.5,raw,0.609,0.5991428199213853,0.37601479448678093,True,800,0,600
cifar,1001,alm_0.5,upper_bound_correction,0.609,0.5991428199213853,0.37601479448678093,True,800,0,600
cifar,1001,alm_0.5,capped_first,0.619,0.614751453492521,0.5094100787789427,True,800,0,600
cifar,1001,alm_1.5,raw,0.6045,0.594458464863996,0.3981369073230128,True,800,0,600
cifar,1001,alm_1.5,upper_bound_correction,0.6045,0.594458464863996,0.3981369073230128,True,800,0,600
cifar,1001,alm_1.5,capped_first,0.6135,0.6084281804580978,0.5156600787789427,True,800,0,600
cifar,1001,alm_5,raw,0.6045,0.5952252758229084,0.4096494108835307,False,800,0,600
cifar,1001,alm_5,upper_bound_correction,0.602,0.5924345207214529,0.38952329917847156,False,800,0,600
cifar,1001,alm_5,capped_first,0.608,0.6041555381759779,0.5007144266050296,False,800,0,600
cifar,1001,clipper,raw,0.6415,0.6388344390640303,0.6099357561772621,False,800,0,0
cifar,1001,clipper,upper_bound_correction,0.633,0.6296576418823484,0.546608146411793,False,800,0,0
cifar,1001,clipper,capped_first,0.634,0.6308957371204437,0.5532748130784597,False,800,0,0
cifar,1001,tralo_0.0001,raw,0.642,0.639959771168215,0.600632028113794,False,800,15,0
cifar,1001,tralo_0.0001,upper_bound_correction,0.6335,0.6301180774804669,0.5305050868304726,False,800,15,0
cifar,1001,tralo_0.0001,capped_first,0.6345,0.631356172718562,0.5371717534971392,False,800,15,0
cifar,1001,tralo_0.0003,raw,0.6415,0.6386488354492055,0.5943004109833195,False,800,15,0
cifar,1001,tralo_0.0003,upper_bound_correction,0.6325,0.6286979177557801,0.5218094346565595,False,800,15,0
cifar,1001,tralo_0.0003,capped_first,0.634,0.6307221969576726,0.5371717534971392,False,800,15,0
cifar,1001,tralo_0.001,raw,0.641,0.6363669546116126,0.5620473967734796,False,800,15,0
cifar,1001,tralo_0.001,upper_bound_correction,0.6305,0.625339013017557,0.487791455855972,False,800,15,0
cifar,1001,tralo_0.001,capped_first,0.635,0.6320992914479256,0.5390236053489911,False,800,15,0
