block,subblock,dataset,model,constraint_tag,method,seed,constrained_class,group_column,warmup_epochs,cc_f1,cc_recall,cc_prec,cc_support,f1_macro,accuracy,ece,flips,satisfied,total_excess,sat_epoch,disable_freeze,reset_opt,alpha_kl,rho_target,fioretto_step_size,hounie_eta_lambda,ce_nan,max_lambda_g,n_log_epochs
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,4,4,loc_group,50,0.3209,0.1928,0.9556,223.0,0.7146,0.8318,0.1418,0.0,1.0,0.0,30.0,,,,,0.01,,True,29.059466,34
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,3,4,loc_group,50,0.3134,0.1883,0.9333,223.0,0.7184,0.8402,0.1303,2.0,0.0,2.0,,,,,,0.01,,True,35.764505,300
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,1,4,loc_group,50,0.3071,0.1839,0.9318,223.0,0.686,0.8238,0.1468,0.0,1.0,0.0,33.0,,,,,0.01,,True,33.303904,37
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,2,4,loc_group,50,0.2738,0.1614,0.9,223.0,0.7011,0.8298,0.1439,0.0,1.0,0.0,29.0,,,,,0.01,,True,29.293188,33
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,4,4,loc_group,50,0.3944,0.2511,0.918,223.0,0.7247,0.8407,0.1328,0.0,1.0,0.0,28.0,,,,,0.01,,True,22.693141,32
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,3,4,loc_group,50,0.4083,0.2646,0.8939,223.0,0.7347,0.8477,0.1245,0.0,1.0,0.0,30.0,,,,,0.01,,True,28.423711,34
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,1,4,loc_group,50,0.4126,0.2646,0.9365,223.0,0.7087,0.8387,0.1327,0.0,1.0,0.0,30.0,,,,,0.01,,True,26.554879,34
C_fairness,fioretto_step_0p01,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,2,4,loc_group,50,0.4,0.2556,0.9194,223.0,0.7253,0.8412,0.1326,0.0,1.0,0.0,26.0,,,,,0.01,,True,22.719164,30
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,2,synth_group,50,0.3654,0.228,0.9194,250.0,0.7029,0.744,0.2187,0.0,1.0,0.0,38.0,,,,,0.01,,True,21.090543,42
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,2,synth_group,50,0.4013,0.256,0.9275,250.0,0.71,0.746,0.2215,0.0,1.0,0.0,37.0,,,,,0.01,,True,23.610709,41
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,2,synth_group,50,0.4174,0.268,0.9437,250.0,0.703,0.736,0.22,1.0,0.0,1.0,,,,,,0.01,,True,23.538242,300
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,2,synth_group,50,0.381,0.24,0.9231,250.0,0.6899,0.727,0.2228,0.0,1.0,0.0,36.0,,,,,0.01,,True,19.930614,40
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L40_G40,fioretto_ldf,4,2,synth_group,50,0.4928,0.34,0.8947,250.0,0.7417,0.767,0.1987,0.0,1.0,0.0,31.0,,,,,0.01,,True,12.852986,35
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L40_G40,fioretto_ldf,3,2,synth_group,50,0.5029,0.348,0.9062,250.0,0.7434,0.767,0.1968,0.0,1.0,0.0,29.0,,,,,0.01,,True,15.230504,33
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L40_G40,fioretto_ldf,1,2,synth_group,50,0.4611,0.308,0.9167,250.0,0.719,0.746,0.208,0.0,1.0,0.0,34.0,,,,,0.01,,True,14.421203,38
C_fairness,fioretto_step_0p01,octmnist,MobileNetV3,L40_G40,fioretto_ldf,2,2,synth_group,50,0.4971,0.344,0.8958,250.0,0.7304,0.754,0.196,3.0,0.0,3.0,,,,,,0.01,,True,11.647892,300
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G20,hounie_rcl,4,4,loc_group,50,0.2362,0.1345,0.9677,223.0,0.6908,0.8173,0.159,0.0,1.0,0.0,29.0,,,,,,0.1,True,,33
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G20,hounie_rcl,3,4,loc_group,50,0.1481,0.0807,0.9,223.0,0.6893,0.8258,0.1462,0.0,1.0,0.0,26.0,,,,,,0.1,True,,30
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G20,hounie_rcl,1,4,loc_group,50,0.2422,0.139,0.9394,223.0,0.6709,0.8168,0.1545,0.0,1.0,0.0,30.0,,,,,,0.1,True,,34
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G20,hounie_rcl,2,4,loc_group,50,0.1639,0.0897,0.9524,223.0,0.6832,0.8228,0.1516,0.0,1.0,0.0,25.0,,,,,,0.1,True,,29
