model,tag,arm,seed,cc_f1,sat_ep
MobileNetV3,L30_G30,tralo_linear,4,0.39384615384615385,33.0
MobileNetV3,L30_G30,tralo_linear,3,0.4246153846153846,31.0
MobileNetV3,L30_G30,tralo_linear,1,0.42724458204334365,31.0
MobileNetV3,L30_G30,tralo_linear,2,0.40498442367601245,30.0
MobileNetV3,L30_G30,hounie_init,4,0.2905405405405405,31.0
MobileNetV3,L30_G30,hounie_init,3,0.32894736842105265,31.0
MobileNetV3,L30_G30,hounie_init,1,0.3234323432343234,31.0
MobileNetV3,L30_G30,hounie_init,2,0.2620689655172414,29.0
MobileNetV3,L40_G40,tralo_linear,4,0.49714285714285716,25.0
MobileNetV3,L40_G40,tralo_linear,3,0.4985507246376812,25.0
MobileNetV3,L40_G40,tralo_linear,1,0.5214899713467048,27.0
MobileNetV3,L40_G40,tralo_linear,2,0.498567335243553,24.0
MobileNetV3,L40_G40,hounie_init,4,0.4148606811145511,25.0
MobileNetV3,L40_G40,hounie_init,3,0.43425076452599387,25.0
MobileNetV3,L40_G40,hounie_init,1,0.4025157232704403,27.0
MobileNetV3,L40_G40,hounie_init,2,0.4,24.0
ViTB16,L30_G30,tralo_linear,4,0.42592592592592593,25.0
ViTB16,L30_G30,tralo_linear,3,0.41358024691358025,21.0
ViTB16,L30_G30,tralo_linear,1,0.42592592592592593,29.0
ViTB16,L30_G30,tralo_linear,2,0.4369230769230769,64.0
ViTB16,L30_G30,hounie_init,4,0.31438127090301005,54.0
ViTB16,L30_G30,hounie_init,3,0.36129032258064514,44.0
ViTB16,L30_G30,hounie_init,1,0.2905405405405405,63.0
ViTB16,L30_G30,hounie_init,2,0.26804123711340205,68.0
ViTB16,L40_G40,tralo_linear,4,0.52,27.0
ViTB16,L40_G40,tralo_linear,3,0.52,20.0
ViTB16,L40_G40,tralo_linear,1,0.49142857142857144,34.0
ViTB16,L40_G40,tralo_linear,2,0.5386819484240688,34.0
ViTB16,L40_G40,hounie_init,4,0.40752351097178685,47.0
ViTB16,L40_G40,hounie_init,3,0.4471299093655589,36.0
ViTB16,L40_G40,hounie_init,1,0.36538461538461536,62.0
ViTB16,L40_G40,hounie_init,2,0.39490445859872614,61.0
RegNetY400MF,L30_G30,tralo_linear,4,0.4,18.0
RegNetY400MF,L30_G30,tralo_linear,3,0.3950617283950617,32.0
RegNetY400MF,L30_G30,tralo_linear,1,0.42857142857142855,33.0
RegNetY400MF,L30_G30,tralo_linear,2,0.4024767801857585,28.0
RegNetY400MF,L30_G30,hounie_init,4,0.2332155477031802,17.0
RegNetY400MF,L30_G30,hounie_init,3,0.19148936170212766,33.0
RegNetY400MF,L30_G30,hounie_init,1,0.3432343234323432,35.0
RegNetY400MF,L30_G30,hounie_init,2,0.2689655172413793,28.0
RegNetY400MF,L40_G40,tralo_linear,4,0.45348837209302323,11.0
RegNetY400MF,L40_G40,tralo_linear,3,0.4340175953079179,25.0
RegNetY400MF,L40_G40,tralo_linear,1,0.5257142857142857,29.0
RegNetY400MF,L40_G40,tralo_linear,2,0.47262247838616717,23.0
RegNetY400MF,L40_G40,hounie_init,4,0.36129032258064514,11.0
RegNetY400MF,L40_G40,hounie_init,3,0.3573667711598746,25.0
RegNetY400MF,L40_G40,hounie_init,1,0.4174454828660436,29.0
RegNetY400MF,L40_G40,hounie_init,2,0.37579617834394907,24.0
MobileNetV3,L30_G30,tralo,4,0.39751552795031053,31.0
MobileNetV3,L30_G30,tralo,3,0.4246153846153846,31.0
MobileNetV3,L30_G30,tralo,1,0.422360248447205,32.0
MobileNetV3,L30_G30,tralo,2,0.38509316770186336,30.0
MobileNetV3,L30_G30,fioretto_init,4,0.36538461538461536,36.0
MobileNetV3,L30_G30,fioretto_init,3,0.4012539184952978,34.0
MobileNetV3,L30_G30,fioretto_init,1,0.422360248447205,36.0
MobileNetV3,L30_G30,fioretto_init,2,0.3873015873015873,33.0
MobileNetV3,L40_G40,tralo,4,0.49714285714285716,25.0
MobileNetV3,L40_G40,tralo,3,0.5028901734104047,25.0
MobileNetV3,L40_G40,tralo,1,0.5257142857142857,27.0
MobileNetV3,L40_G40,tralo,2,0.5114942528735632,27.0
MobileNetV3,L40_G40,fioretto_init,4,0.4927536231884058,29.0
MobileNetV3,L40_G40,fioretto_init,3,0.5028901734104047,27.0
MobileNetV3,L40_G40,fioretto_init,1,0.45645645645645644,32.0
MobileNetV3,L40_G40,fioretto_init,2,0.4956772334293948,27.0
ViTB16,L30_G30,tralo,4,0.42592592592592593,17.0
ViTB16,L30_G30,tralo,3,0.41358024691358025,15.0
ViTB16,L30_G30,tralo,1,0.4161490683229814,20.0
ViTB16,L30_G30,tralo,2,0.43209876543209874,20.0
ViTB16,L30_G30,fioretto_init,4,0.35294117647058826,24.0
ViTB16,L30_G30,fioretto_init,3,0.4086687306501548,inf
ViTB16,L30_G30,fioretto_init,1,0.3234323432343234,27.0
ViTB16,L30_G30,fioretto_init,2,0.2857142857142857,26.0
ViTB16,L40_G40,tralo,4,0.52,15.0
ViTB16,L40_G40,tralo,3,0.52,13.0
ViTB16,L40_G40,tralo,1,0.48554913294797686,19.0
ViTB16,L40_G40,tralo,2,0.5244956772334294,19.0
ViTB16,L40_G40,fioretto_init,4,0.45645645645645644,19.0
ViTB16,L40_G40,fioretto_init,3,0.4956268221574344,inf
ViTB16,L40_G40,fioretto_init,1,0.43902439024390244,24.0
ViTB16,L40_G40,fioretto_init,2,0.4652567975830816,inf
RegNetY400MF,L30_G30,tralo,4,0.391304347826087,17.0
RegNetY400MF,L30_G30,tralo,3,0.3888888888888889,30.0
RegNetY400MF,L30_G30,tralo,1,0.4307692307692308,31.0
RegNetY400MF,L30_G30,tralo,2,0.41846153846153844,28.0
RegNetY400MF,L30_G30,fioretto_init,4,0.36129032258064514,inf
RegNetY400MF,L30_G30,fioretto_init,3,0.3470031545741325,inf
RegNetY400MF,L30_G30,fioretto_init,1,0.39747634069400634,34.0
RegNetY400MF,L30_G30,fioretto_init,2,0.39375,inf
RegNetY400MF,L40_G40,tralo,4,0.4553314121037464,11.0
RegNetY400MF,L40_G40,tralo,3,0.4508670520231214,25.0
RegNetY400MF,L40_G40,tralo,1,0.5100286532951289,27.0
RegNetY400MF,L40_G40,tralo,2,0.47398843930635837,23.0
RegNetY400MF,L40_G40,fioretto_init,4,0.43843843843843844,18.0
RegNetY400MF,L40_G40,fioretto_init,3,0.4281524926686217,28.0
RegNetY400MF,L40_G40,fioretto_init,1,0.4853801169590643,30.0
RegNetY400MF,L40_G40,fioretto_init,2,0.45161290322580644,27.0
