arm,model,tag,seed,cc_f1,sat_ep
beta025,MobileNetV3,L30_G30,1,0.4224,82
beta025,MobileNetV3,L30_G30,2,0.3887,80
beta025,MobileNetV3,L30_G30,3,0.4246,81
beta025,MobileNetV3,L30_G30,4,0.4062,81
beta025,MobileNetV3,L40_G40,1,0.5314,77
beta025,MobileNetV3,L40_G40,2,0.5172,77
beta025,MobileNetV3,L40_G40,3,0.5043,75
beta025,MobileNetV3,L40_G40,4,0.4971,75
beta025,RegNetY400MF,L30_G30,1,0.4075,81
beta025,RegNetY400MF,L30_G30,2,0.4198,78
beta025,RegNetY400MF,L30_G30,3,0.4,80
beta025,RegNetY400MF,L30_G30,4,0.3801,67
beta025,RegNetY400MF,L40_G40,1,0.5057,77
beta025,RegNetY400MF,L40_G40,2,0.4726,73
beta025,RegNetY400MF,L40_G40,3,0.4527,75
beta025,RegNetY400MF,L40_G40,4,0.4575,61
beta025,ViTB16,L30_G30,1,0.4013,70
beta025,ViTB16,L30_G30,2,0.3885,70
beta025,ViTB16,L30_G30,3,0.4087,65
beta025,ViTB16,L30_G30,4,0.4246,67
beta025,ViTB16,L40_G40,1,0.484,69
beta025,ViTB16,L40_G40,2,0.5245,69
beta025,ViTB16,L40_G40,3,0.52,63
beta025,ViTB16,L40_G40,4,0.5158,65
beta075,MobileNetV3,L30_G30,1,0.4272,82
beta075,MobileNetV3,L30_G30,2,0.3988,80
beta075,MobileNetV3,L30_G30,3,0.4246,81
beta075,MobileNetV3,L30_G30,4,0.4,81
beta075,MobileNetV3,L40_G40,1,0.5257,77
beta075,MobileNetV3,L40_G40,2,0.5187,77
beta075,MobileNetV3,L40_G40,3,0.513,75
beta075,MobileNetV3,L40_G40,4,0.4971,75
beta075,RegNetY400MF,L30_G30,1,0.4149,81
beta075,RegNetY400MF,L30_G30,2,0.405,78
beta075,RegNetY400MF,L30_G30,3,0.3938,80
beta075,RegNetY400MF,L30_G30,4,0.3951,67
beta075,RegNetY400MF,L40_G40,1,0.51,77
beta075,RegNetY400MF,L40_G40,2,0.454,74
beta075,RegNetY400MF,L40_G40,3,0.4686,75
beta075,RegNetY400MF,L40_G40,4,0.4509,61
beta075,ViTB16,L30_G30,1,0.4136,70
beta075,ViTB16,L30_G30,2,0.4334,71
beta075,ViTB16,L30_G30,3,0.4185,65
beta075,ViTB16,L30_G30,4,0.4246,67
beta075,ViTB16,L40_G40,1,0.4885,69
beta075,ViTB16,L40_G40,2,0.5429,69
beta075,ViTB16,L40_G40,3,0.5143,63
beta075,ViTB16,L40_G40,4,0.52,65
beta100,MobileNetV3,L30_G30,1,0.4272,82
beta100,MobileNetV3,L30_G30,2,0.4025,80
beta100,MobileNetV3,L30_G30,3,0.4149,81
beta100,MobileNetV3,L30_G30,4,0.4,81
beta100,MobileNetV3,L40_G40,1,0.5314,77
beta100,MobileNetV3,L40_G40,2,0.5215,77
