epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.003731,0.0,224,0,0.559994
1,0.000924,143.607556,282,0,1.259672
2,nan,322.587992,282,0,1.95935
3,nan,501.568447,282,0,2.659027
4,nan,680.548889,282,0,3.358705
5,nan,859.529297,282,0,4.058383
6,nan,1038.509789,282,0,4.758061
7,nan,1217.490181,282,0,5.457738
8,nan,1396.470627,282,0,6.157416
9,nan,1575.45105,282,0,6.857094
10,nan,1754.431519,282,0,7.556771
11,nan,1855.032196,268,0,8.21896
12,nan,1861.740967,234,0,8.812953
13,nan,1786.368263,194,0,9.319384
14,nan,1646.6558,164,0,9.731451
15,nan,1465.768814,118,0,10.049963
16,nan,1272.125465,84,0,10.282303
17,nan,1084.843536,62,0,10.438808
18,nan,891.091293,34,0,10.522318
19,nan,609.393612,7,0,10.533663
20,nan,0.0,0,1,10.533663
21,nan,0.0,0,1,10.533663
22,nan,0.0,0,1,10.533663
23,nan,0.0,0,1,10.533663
24,nan,0.0,0,1,10.533663
