epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.001686,0.0,246,0,0.613526
1,0.001244,150.494536,222,0,1.174358
2,nan,284.194021,212,0,1.715878
3,nan,401.100092,198,0,2.226148
4,nan,493.968578,184,0,2.694216
5,nan,568.582676,168,0,3.116302
6,nan,615.694618,152,0,3.491494
7,nan,646.406792,132,0,3.815266
8,nan,653.871864,104,0,4.085014
9,nan,636.563747,78,0,4.303332
10,nan,606.567574,72,0,4.474965
11,nan,576.9622,48,0,4.601218
12,nan,536.613838,36,0,4.686672
13,nan,488.318403,26,0,4.730054
14,nan,68.111266,6,0,4.730054
15,nan,0.0,0,1,4.730054
16,nan,0.0,0,1,4.730054
17,nan,0.0,0,1,4.730054
18,nan,0.0,0,1,4.730054
19,nan,0.0,0,1,4.730054
