epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.003731,0.0,180,0,0.000449,4e-06,0.0
1,0.000924,0.00018,238,0,0.001038,1.4e-05,0.0
2,nan,0.000425,238,0,0.001627,2.7e-05,0.0
3,nan,0.000669,238,0,0.002215,4.4e-05,0.0
4,nan,0.000912,236,0,0.002801,6.3e-05,0.0
5,nan,0.001149,234,0,0.003383,8.4e-05,0.0
6,nan,0.001379,234,0,0.003958,0.000107,0.0
7,nan,0.0016,234,0,0.004525,0.000131,1e-06
8,nan,0.001805,228,0,0.00508,0.000156,1e-06
9,nan,0.001996,220,0,0.00562,0.000181,1e-06
10,nan,0.002163,210,0,0.006143,0.000206,2e-06
11,nan,0.002305,202,0,0.006644,0.000231,2e-06
12,nan,0.002421,192,0,0.007122,0.000256,3e-06
13,nan,0.00251,182,0,0.007573,0.000281,3e-06
14,nan,0.002565,164,0,0.007994,0.000304,4e-06
15,nan,0.002589,148,0,0.008384,0.000327,5e-06
16,nan,0.002587,140,0,0.008743,0.000349,5e-06
17,nan,0.002563,126,0,0.009068,0.00037,6e-06
18,nan,0.002518,124,0,0.00936,0.00039,7e-06
19,nan,0.002458,94,0,0.00962,0.000408,7e-06
20,nan,0.002387,84,0,0.009849,0.000425,8e-06
21,nan,0.002304,70,0,0.010046,0.00044,8e-06
22,nan,0.002217,60,0,0.010215,0.000454,9e-06
23,nan,0.00213,50,0,0.010356,0.000467,9e-06
24,nan,0.002045,40,0,0.010473,0.000478,1e-05
25,nan,0.001957,32,0,0.010566,0.000488,1e-05
26,nan,0.00187,30,0,0.010638,0.000497,1e-05
27,nan,0.001783,23,0,0.010689,0.000505,1.1e-05
28,nan,0.00169,17,0,0.010718,0.000511,1.1e-05
29,nan,0.001597,6,0,0.010728,0.000516,1.1e-05
30,nan,0.001504,4,0,0.010717,0.00052,1.1e-05
31,nan,0.001411,4,0,0.010689,0.000523,1.1e-05
32,nan,0.001325,3,0,0.010643,0.000525,1.1e-05
33,nan,0.00124,0,1,0.01058,0.000526,1.1e-05
34,nan,0.001158,0,1,0.010501,0.000525,1.1e-05
35,nan,0.00108,0,1,0.010406,0.000524,1.1e-05
36,nan,0.001003,0,1,0.010297,0.000523,1.1e-05
37,nan,0.000932,0,1,0.010175,0.00052,1.1e-05
