Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9973,0.008310,0.167272,0.334553,0.000000,0.05,0.00,0,0,inf,700,691.31,inf,7,7.55,inf,242,240.72,inf,288,286.89,51,101,108.86,inf,122,124.57,inf,749,741.44,inf,191,198.66,49,53.42,25,52,55.44,26
55,1.0000,0.000000,0.139502,0.279173,0.000000,0.06,0.00,0,0,inf,707,696.48,inf,7,9.27,inf,238,238.82,inf,324,325.29,51,79,85.90,inf,106,108.05,inf,756,749.58,inf,183,186.60,42,42.72,25,37,43.18,26
60,1.0000,0.000000,0.015072,0.034232,0.000000,0.07,0.00,0,0,inf,727,710.75,inf,7,10.34,inf,243,245.69,inf,339,347.10,51,56,57.18,inf,106,110.71,inf,761,752.04,inf,161,166.19,30,29.67,25,26,27.51,26
62,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,726,716.63,inf,9,10.79,inf,249,248.71,inf,355,358.09,51,39,45.24,inf,106,112.73,inf,765,751.51,inf,151,156.30,22,24.10,25,17,21.14,26
63,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,728,718.48,inf,9,10.97,inf,252,249.34,inf,358,362.60,51,36,41.27,inf,107,113.27,inf,764,751.51,inf,146,152.56,19,22.27,25,17,19.00,26
65,1.0000,0.000000,0.007022,0.019419,0.000000,0.07,0.00,1,0,inf,735,720.51,inf,9,10.64,inf,243,241.84,inf,348,354.04,51,50,54.41,inf,100,109.43,inf,759,748.78,inf,156,160.35,28,28.35,25,22,26.06,26
66,1.0000,0.000000,0.000000,0.001710,0.000000,0.07,0.00,1,1,inf,736,725.45,inf,9,10.88,inf,245,242.53,inf,356,358.22,51,42,48.39,inf,102,110.80,inf,758,748.17,inf,152,155.57,23,25.51,25,19,22.87,26
67,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,742,734.08,inf,9,11.08,inf,245,240.45,inf,359,364.69,51,38,41.69,inf,104,112.04,inf,762,747.24,inf,141,148.74,21,22.33,25,17,19.36,26
68,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,750,740.61,inf,9,11.16,inf,245,236.43,inf,357,367.75,51,38,40.05,inf,103,112.02,inf,758,746.26,inf,140,145.73,21,21.53,25,17,18.51,26
69,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,755,746.05,inf,9,11.06,inf,240,232.28,inf,359,367.80,51,39,41.31,inf,101,111.08,inf,757,745.17,inf,140,145.25,21,22.07,25,18,19.24,26
