method,dataset,model,cap,seed,warmup,lrc,ceskip,sweep,N,K,base_rate,prec_at_K,mad_m,std_m,theta,Bsz_f0.05,keepTP_f0.05,dropTP_f0.05,purgap_f0.05,bandwidth_norm_f0.05,band_absmarg_norm_f0.05,band_runup_top1_f0.05,band_runup_ndist_f0.05,cut_wTP_f0.05,cut_wMISSED_f0.05,cut_wFPin_f0.05,cut_neff_f0.05,Bsz_f0.10,keepTP_f0.10,dropTP_f0.10,purgap_f0.10,bandwidth_norm_f0.10,band_absmarg_norm_f0.10,band_runup_top1_f0.10,band_runup_ndist_f0.10,cut_wTP_f0.10,cut_wMISSED_f0.10,cut_wFPin_f0.10,cut_neff_f0.10,Bsz_f0.20,keepTP_f0.20,dropTP_f0.20,purgap_f0.20,bandwidth_norm_f0.20,band_absmarg_norm_f0.20,band_runup_top1_f0.20,band_runup_ndist_f0.20,cut_wTP_f0.20,cut_wMISSED_f0.20,cut_wFPin_f0.20,cut_neff_f0.20,inc_wTP,inc_wMISSED,inc_wFPin,inc_neff,inc_neff_frac,sig_wTP_tau1.00,sig_wMISSED_tau1.00,sig_wFPin_tau1.00,sig_neff_tau1.00,sig_nefffrac_tau1.00,sig_wTP_tau0.25,sig_wMISSED_tau0.25,sig_wFPin_tau0.25,sig_neff_tau0.25,sig_nefffrac_tau0.25,sig_wTP_tau0.05,sig_wMISSED_tau0.05,sig_wFPin_tau0.05,sig_neff_tau0.05,sig_nefffrac_tau0.05,path
hounie_rcl,dermmnist,MobileNetV3,L50_G50,4,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.6428571428571429,5.044386922013944,7.643014721315263,-3.304656344068244,100,0.54,0.34,0.2,0.00036629216568663953,0.20519580623983633,0.47,2,0.44,0.17,0.23,100.0,200,0.61,0.28,0.32999999999999996,0.00036629216568663953,0.46754419236637756,0.475,3,0.445,0.14,0.195,200.0,312,0.6428571428571429,0.27,0.3728571428571429,0.00036629216568663953,0.6332919527011202,0.4583333333333333,3,0.40384615384615385,0.17307692307692307,0.1282051282051282,312.0,0.5868317438459633,0.023704407048207865,0.3590978594117094,82.45163224257615,0.04116407001626368,0.5701087621884537,0.02569968249346829,0.36995537892233976,85.00812018210254,0.04244039949181355,0.49011202870150034,1.104213643537721e-06,0.509885355418044,21.755362997878496,0.010861389414817022,0.08643722332165667,4.366362494274447e-20,0.9135627766783433,3.9325658746601198,0.0019633379304344082,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4/config.json
hounie_rcl,dermmnist,MobileNetV3,L50_G50,3,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7321428571428571,5.770496426754782,8.538507702870268,-2.5950644127509443,100,0.62,0.36,0.26,0.005715182267781285,0.17440051355227892,0.43,3,0.49,0.18,0.19,100.0,200,0.71,0.33,0.37999999999999995,0.005715182267781285,0.4230203214627467,0.425,3,0.52,0.165,0.145,200.0,312,0.7321428571428571,0.265,0.4671428571428571,0.005715182267781285,0.5985366477667146,0.3974358974358974,3,0.4326923076923077,0.16987179487179488,0.09615384615384616,312.0,0.6317800808957248,0.04965809138245899,0.3034308536162217,90.91013961808798,0.04538698932505641,0.6217909913044195,0.052139375143565266,0.29924485608021206,94.2912037002738,0.04707498936608777,0.6389836749185741,5.1374267483796844e-05,0.36099689630634835,16.305461892819302,0.00814052016616041,0.6049348031115197,8.284544820182315e-20,0.39506519688848035,3.1213621106679272,0.0015583435400239277,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3/config.json
hounie_rcl,dermmnist,MobileNetV3,L50_G50,1,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7142857142857143,6.053505896110739,8.930550627616089,-2.773847806078927,100,0.6,0.38,0.21999999999999997,0.0037637292461708606,0.16058991576839776,0.39,4,0.49,0.19,0.2,100.0,200,0.69,0.39,0.29999999999999993,0.0037637292461708606,0.39463768299191443,0.365,4,0.54,0.195,0.155,200.0,312,0.7142857142857143,0.31,0.4042857142857143,0.0037637292461708606,0.5571104382955362,0.36217948717948717,4,0.4551282051282051,0.1987179487179487,0.10256410256410256,312.0,0.6302765365463028,0.04003381110026149,0.3017565180082145,89.99084647049919,0.044928031188466895,0.6221925642525149,0.0455492597848958,0.2987343248254851,92.94450688964388,0.046402649470616016,0.7498488144627221,1.2375269890087043e-05,0.25012030022818976,19.878751012656874,0.009924488773168684,0.7855858364364674,2.4863787647384368e-20,0.21441416356353252,5.011929463023285,0.0025022114143900573,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1/config.json
hounie_rcl,dermmnist,MobileNetV3,L50_G50,2,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7410714285714286,4.766151484371688,7.781655504964514,-3.903257809062231,100,0.66,0.42,0.24000000000000005,0.0027317309458034394,0.26724050821291934,0.56,2,0.54,0.21,0.17,100.0,200,0.71,0.31,0.39999999999999997,0.0027317309458034394,0.5980297630017386,0.525,2,0.51,0.155,0.145,200.0,312,0.7410714285714286,0.285,0.4560714285714286,0.0027317309458034394,0.7960746319930627,0.5128205128205128,3,0.44871794871794873,0.18269230769230768,0.09294871794871795,312.0,0.6978938326693134,0.019250829879765757,0.27717822330086994,67.3556788133896,0.033627398309230956,0.699927414509175,0.020576286823384957,0.2722718990446672,68.74997604186579,0.03432350276678272,0.6637199368522737,2.6862502596688636e-07,0.3362798860382727,18.889621117801223,0.009430664562057526,0.6006191397655151,2.3656787721634183e-19,0.399380860234485,3.6685276954822665,0.0018315165728818106,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2/config.json
tralo,dermmnist,MobileNetV3,L50_G50,4,1,5e-05,True,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7142857142857143,5.303691961937059,8.537435630561406,-1.192656395445923,100,0.56,0.44,0.12000000000000005,0.002041110726634375,0.29422441113449066,0.43,3,0.5,0.22,0.22,100.0,200,0.69,0.38,0.30999999999999994,0.002041110726634375,0.6235610168113712,0.485,3,0.535,0.19,0.155,200.0,312,0.7142857142857143,0.295,0.4192857142857143,0.002041110726634375,0.8085468823631619,0.48717948717948717,5,0.44551282051282054,0.1891025641025641,0.10256410256410256,312.0,0.5355101369940201,0.14879773495358414,0.31618801029069377,91.8674323560766,0.04586491879983855,0.5226438736785435,0.15744103009031185,0.30949270569167875,93.33315505697166,0.04659668250472874,0.40226376576932327,0.008004565640102783,0.5950500451323061,19.454547696123406,0.00971270479087539,0.33046053759346783,9.920203313168575e-11,0.6695394624031202,5.967335463675931,0.0029791989334378086,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4/config.json
tralo,dermmnist,MobileNetV3,L50_G50,3,1,5e-05,True,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7767857142857143,6.409135772517882,9.38273682637929,-1.0802993363234945,100,0.64,0.44,0.2,0.05778825228318714,0.2362501293826738,0.56,3,0.54,0.22,0.18,100.0,200,0.76,0.39,0.37,0.05778825228318714,0.4745577847232117,0.505,4,0.575,0.195,0.12,200.0,312,0.7767857142857143,0.335,0.4417857142857143,0.05778825228318714,0.6365197881965754,0.5064102564102564,4,0.4935897435897436,0.21474358974358973,0.08012820512820513,312.0,0.5754619942038253,0.13179993692711453,0.25077432973959335,101.24154173015603,0.05054495343492563,0.5692987086014493,0.14439191781962193,0.23224085955110937,104.46150133882416,0.05215252188658221,0.670985481882336,0.0032483961360846463,0.3238431732194845,22.4226190037588,0.011194517725291463,0.7699724418649571,1.30832493075708e-12,0.23002755812787493,9.26063095135796,0.004623380405071373,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3/config.json
tralo,dermmnist,MobileNetV3,L50_G50,1,1,5e-05,True,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.4732142857142857,7.285156187760599,9.605944950060605,-13.212739919412776,100,0.38,0.22,0.16,0.0014190339409395117,0.10441558798456799,0.53,4,0.3,0.11,0.31,100.0,200,0.42,0.24,0.18,0.0014190339409395117,0.23571098656996844,0.52,4,0.33,0.12,0.29,200.0,312,0.4732142857142857,0.23,0.2432142857142857,0.0014190339409395117,0.36275434728962985,0.5256410256410257,4,0.3173076923076923,0.14743589743589744,0.1891025641025641,312.0,0.9907920980849569,3.045422984786412e-05,0.009094669855137407,3.38284021927501,0.0016888867794683025,0.987116645531989,3.544195652252734e-05,0.012750032080481144,3.1910569324393987,0.0015931387580825755,0.9999999952743531,1.3204242017422902e-18,4.725647000487592e-09,1.0192109434158576,0.0005088422083953358,0.9999999999704605,2.8211862948096528e-12,9.791175964339383e-13,1.000000000066348,0.0004992511233481518,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1/config.json
tralo,dermmnist,MobileNetV3,L50_G50,2,1,5e-05,True,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7767857142857143,5.245792396584239,8.568191193658336,-1.684553326163933,100,0.68,0.52,0.16000000000000003,0.024169795631567053,0.4834687921433117,0.51,4,0.6,0.26,0.16,100.0,200,0.76,0.4,0.36,0.024169795631567053,0.8422055076025954,0.48,4,0.58,0.2,0.12,200.0,312,0.7767857142857143,0.285,0.4917857142857143,0.024169795631567053,0.9916919751178123,0.4519230769230769,5,0.46153846153846156,0.18269230769230768,0.08012820512820513,312.0,0.5634691375121494,0.17218750174140032,0.31979749879522573,59.12846619322629,0.029519953166862848,0.5442220105653615,0.18412233522508412,0.31985506962100196,58.825822442179174,0.029368857934188305,0.4526471528654895,0.0017789846347460536,0.5468726335436603,11.733269336021337,0.005857847896166419,0.405507876297433,1.8595780560259815e-15,0.594492123702567,3.2429514818059437,0.0016190471701477503,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2/config.json
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,4,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7321428571428571,5.3675230670039085,8.57610070796738,-1.6319859189702826,100,0.6,0.36,0.24,0.03424409761841071,0.3117878303085505,0.49,2,0.48,0.18,0.2,100.0,200,0.71,0.32,0.38999999999999996,0.03424409761841071,0.6232370169466712,0.49,2,0.515,0.16,0.145,200.0,312,0.7321428571428571,0.24,0.4921428571428571,0.03424409761841071,0.8260495075210172,0.47435897435897434,3,0.4166666666666667,0.15384615384615385,0.09615384615384616,312.0,0.6215934987715973,0.06954250779926911,0.29198249597849996,85.16305033120291,0.042517748542787275,0.6074128671993837,0.07384116792214267,0.29593931326925854,85.60710447571684,0.04273944307324855,0.7249335304653634,0.0003839038201397981,0.27473267513353966,23.319638210497903,0.011642355571891114,0.8496926146453586,3.093048229447322e-17,0.15030738535464055,5.892795853309381,0.002941984949230844,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4/config.json
fioretto_ldf,dermmnist,MobileNetV3,L50_G50,3,1,5e-05,,headroom_b30_lrc5e-05,2003,112,0.11133300049925113,0.7321428571428571,5.564486395131221,8.515330204382094,-0.9996135345661641,100,0.52,0.48,0.040000000000000036,0.006081697115168241,0.19976276295209558,0.52,3,0.5,0.24,0.24,100.0,200,0.71,0.41,0.3,0.006081697115168241,0.5191264561051274,0.525,2,0.56,0.205,0.145,200.0,312,0.7321428571428571,0.325,0.4071428571428571,0.006081697115168241,0.7090788611344723,0.5512820512820513,3,0.47115384615384615,0.20833333333333334,0.09615384615384616,312.0,0.5066202639240125,0.1763922511639693,0.2865451951083976,111.54128364155517,0.055687111154046516,0.49948600599238674,0.18504504794105767,0.2705898817141705,114.93988227125251,0.05738386533761983,0.5318356812408759,0.018536457370003593,0.4532132179508453,28.343259687057706,0.014150404237173094,0.6841703818103925,3.0453697914894614e-09,0.3158296166766936,4.975535218414804,0.0024840415468870714,results/headroom/headroom_b30_lrc5e-05/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3/config.json
