dataset,model,cap,seed,warmup,sweep,N,K,base,mad,theta,sink_maxerr_eps1.0,sink_mass_eps1.0,sink_spearman_eps1.0,sink_topK_jacc_eps1.0,sink_maxerr_eps0.5,sink_mass_eps0.5,sink_spearman_eps0.5,sink_topK_jacc_eps0.5,align_incumbent,neff_incumbent,align_otce,neff_otce,otce_wfar,nact_g0.25,nactfrac_g0.25,actkeepTP_g0.25,actdropTP_g0.25,nkeep_g0.25,ndrop_g0.25,align_cut_g0.25,nact_g0.50,nactfrac_g0.50,actkeepTP_g0.50,actdropTP_g0.50,nkeep_g0.50,ndrop_g0.50,align_cut_g0.50,nact_g1.00,nactfrac_g1.00,actkeepTP_g1.00,actdropTP_g1.00,nkeep_g1.00,ndrop_g1.00,align_cut_g1.00,nact_g2.00,nactfrac_g2.00,actkeepTP_g2.00,actdropTP_g2.00,nkeep_g2.00,ndrop_g2.00,align_cut_g2.00
dermmnist,MobileNetV3,L50_G50,4,30,headroom_b30,2003,112,0.11133300049925113,11.2895965828811,2.567256410184881,0.2638011921413968,112.00000084775345,0.999969691076887,0.9821428571428571,0.8506216494077629,112.00000259247807,0.999996369858004,1.0,-0.4784962933848535,0.06983586082277365,-0.49308339753423774,0.04704494070625356,1.3936271779793468e-09,97,0.048427358961557664,0.6341463414634146,0.5714285714285714,41,56,-0.061855670103092786,204,0.1018472291562656,0.76,0.4573643410852713,75,129,-0.00980392156862745,466,0.2326510234648028,0.7924528301886793,0.2638888888888889,106,360,-0.023605150214592276,1046,0.5222166749875187,0.8035714285714286,0.13276231263383298,112,934,-0.032504780114722756
dermmnist,MobileNetV3,L50_G50,3,30,headroom_b30,2003,112,0.11133300049925113,10.799663559101106,3.5663881413333187,0.19028569895887892,112.00000093680029,0.9999822356799417,0.9910714285714286,0.9542375103778452,112.00032169898415,0.9999974371743766,1.0,-0.4349925235204093,0.054383317473555425,-0.5523202417038633,0.04042071140627437,1.1875382528411844e-08,71,0.03544682975536695,0.7931034482758621,0.6428571428571429,29,42,-0.056338028169014086,148,0.07388916625062407,0.8333333333333334,0.5113636363636364,60,88,0.033783783783783786,354,0.1767348976535197,0.8712871287128713,0.308300395256917,101,253,0.02824858757062147,851,0.4248627059410884,0.875,0.14614343707713126,112,739,-0.011750881316098707
dermmnist,MobileNetV3,L50_G50,1,30,headroom_b30,2003,112,0.11133300049925113,11.620185814575759,4.729210849291726,0.16167844680743015,112.00000091557806,0.9999844923851016,1.0,0.9857051587819482,112.00024649905853,0.9999977123094792,1.0,-0.3770314291356725,0.051619816392363176,-0.5079835435097242,0.04560201651083211,6.305812425973469e-09,73,0.036445332001997004,0.696969696969697,0.625,33,40,-0.0273972602739726,141,0.07039440838741887,0.8,0.4883720930232558,55,86,0.014184397163120567,349,0.17423864203694459,0.8469387755102041,0.2868525896414343,98,251,0.03151862464183381,868,0.4333499750374438,0.8571428571428571,0.14153439153439154,112,756,-0.012672811059907835
dermmnist,MobileNetV3,L50_G50,2,30,headroom_b30,2003,112,0.11133300049925113,9.919780851757277,3.835554777314433,0.2296252249197983,112.000000854861,0.9999677573017921,0.9910714285714286,0.9603312958158815,112.00000229630328,0.9999955605065871,1.0,-0.4178568250720356,0.08723647420079901,-0.46825441027504666,0.067056329417351,6.157123520502828e-08,93,0.046430354468297554,0.725,0.5094339622641509,40,53,0.021505376344086023,194,0.09685471792311533,0.6944444444444444,0.47540983606557374,72,122,-0.041237113402061855,424,0.21168247628557163,0.7757009345794392,0.3186119873817035,107,317,-0.04245283018867924,976,0.4872690963554668,0.7857142857142857,0.14814814814814814,112,864,-0.040983606557377046
dermmnist,MobileNetV3,L50_G50,4,30,headroom_b30,2003,112,0.11133300049925113,11.2895965828811,2.567256410184881,0.2638011921413968,112.00000084775345,0.999969691076887,0.9821428571428571,0.8506216494077629,112.00000259247807,0.999996369858004,1.0,-0.4784962933848535,0.06983586082277365,-0.49308339753423774,0.04704494070625356,1.3936271779793468e-09,97,0.048427358961557664,0.6341463414634146,0.5714285714285714,41,56,-0.061855670103092786,204,0.1018472291562656,0.76,0.4573643410852713,75,129,-0.00980392156862745,466,0.2326510234648028,0.7924528301886793,0.2638888888888889,106,360,-0.023605150214592276,1046,0.5222166749875187,0.8035714285714286,0.13276231263383298,112,934,-0.032504780114722756
dermmnist,MobileNetV3,L50_G50,3,30,headroom_b30,2003,112,0.11133300049925113,10.799663559101106,3.5663881413333187,0.19028569895887892,112.00000093680029,0.9999822356799417,0.9910714285714286,0.9542375103778452,112.00032169898415,0.9999974371743766,1.0,-0.4349925235204093,0.054383317473555425,-0.5523202417038633,0.04042071140627437,1.1875382528411844e-08,71,0.03544682975536695,0.7931034482758621,0.6428571428571429,29,42,-0.056338028169014086,148,0.07388916625062407,0.8333333333333334,0.5113636363636364,60,88,0.033783783783783786,354,0.1767348976535197,0.8712871287128713,0.308300395256917,101,253,0.02824858757062147,851,0.4248627059410884,0.875,0.14614343707713126,112,739,-0.011750881316098707
dermmnist,MobileNetV3,L50_G50,1,30,headroom_b30,2003,112,0.11133300049925113,11.620185814575759,4.729210849291726,0.16167844680743015,112.00000091557806,0.9999844923851016,1.0,0.9857051587819482,112.00024649905853,0.9999977123094792,1.0,-0.3770314291356725,0.051619816392363176,-0.5079835435097242,0.04560201651083211,6.305812425973469e-09,73,0.036445332001997004,0.696969696969697,0.625,33,40,-0.0273972602739726,141,0.07039440838741887,0.8,0.4883720930232558,55,86,0.014184397163120567,349,0.17423864203694459,0.8469387755102041,0.2868525896414343,98,251,0.03151862464183381,868,0.4333499750374438,0.8571428571428571,0.14153439153439154,112,756,-0.012672811059907835
dermmnist,MobileNetV3,L50_G50,2,30,headroom_b30,2003,112,0.11133300049925113,9.919780851757277,3.835554777314433,0.2296252249197983,112.000000854861,0.9999677573017921,0.9910714285714286,0.9603312958158815,112.00000229630328,0.9999955605065871,1.0,-0.4178568250720356,0.08723647420079901,-0.46825441027504666,0.067056329417351,6.157123520502828e-08,93,0.046430354468297554,0.725,0.5094339622641509,40,53,0.021505376344086023,194,0.09685471792311533,0.6944444444444444,0.47540983606557374,72,122,-0.041237113402061855,424,0.21168247628557163,0.7757009345794392,0.3186119873817035,107,317,-0.04245283018867924,976,0.4872690963554668,0.7857142857142857,0.14814814814814814,112,864,-0.040983606557377046
tissuemnist,MobileNetV3,L50_G50,4,30,headroom_b30,2400,86,0.07125,6.93601364203861,3.798816384848863,0.18848654462806702,86.00000085177761,0.9998603480660326,0.9651162790697675,0.9555753726136756,86.00000096034012,0.9999813088075147,1.0,-0.29919879825769957,0.06221481336091903,-0.32752677158637894,0.0464372795325353,4.251172679046361e-05,58,0.024166666666666666,0.4,0.3333333333333333,25,33,-0.017241379310344827,108,0.045,0.43902439024390244,0.3582089552238806,41,67,-0.05555555555555555,231,0.09625,0.38095238095238093,0.30357142857142855,63,168,-0.11688311688311688,678,0.2825,0.45569620253164556,0.14691151919866444,79,599,-0.07669616519174041
tissuemnist,MobileNetV3,L50_G50,3,30,headroom_b30,2400,86,0.07125,6.344031290041258,4.923375150878501,0.1910468317768085,86.00000099685624,0.9998482725431027,0.9883720930232558,0.9845540761175733,86.00000096589628,0.9999792317672277,1.0,-0.24697505908663503,0.09294181676843932,-0.28756970776417295,0.07593570648747892,0.00025766975829882974,57,0.02375,0.6153846153846154,0.3225806451612903,26,31,0.10526315789473684,120,0.05,0.5813953488372093,0.3116883116883117,43,77,0.008333333333333333,255,0.10625,0.5806451612903226,0.27979274611398963,62,193,-0.07058823529411765,665,0.27708333333333335,0.5609756097560976,0.16123499142367068,82,583,-0.07218045112781955
