model,scenario,constraint_pair,local_pct,global_pct,class,class_name,precision,recall,f1,n_pred,limit,n_true,f1_macro,accuracy
ResNet18,single_AKIEC,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.6677339301375301,0.8452321517723415
MobileNetV3,single_AKIEC,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.6632790469538062,0.8417373939091363
EfficientNetB0,single_AKIEC,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.6991603221375378,0.8632051922116825
ConvNeXtTiny,single_AKIEC,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.7068669299673672,0.8696954568147778
ResNet18,single_AKIEC,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.6874792762786112,0.8482276585122317
MobileNetV3,single_AKIEC,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.6850800794643351,0.8447329006490265
EfficientNetB0,single_AKIEC,L30_G30,0.3,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.7229701648809258,0.8666999500748876
ConvNeXtTiny,single_AKIEC,L30_G30,0.3,0.3,0,AKIEC,0.85,0.26153846153846155,0.4,20,20,65,0.7279404291842008,0.872690963554668
ResNet18,single_AKIEC,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.718876977179451,0.853220169745382
MobileNetV3,single_AKIEC,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.7150228478536749,0.8502246630054917
EfficientNetB0,single_AKIEC,L50_G50,0.5,0.5,0,AKIEC,0.9375,0.46153846153846156,0.6185567010309277,32,32,65,0.7560347368999009,0.872191712431353
ConvNeXtTiny,single_AKIEC,L50_G50,0.5,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.7620689862816372,0.8781827259111333
