dataset,model,warmup_epochs,constrained_class,constraint_tag,method,seed,acc,f1m,ccf1,ccrec,ccprec,flips,sat
octmnist,MobileNetV3,50,2,L20_G20,danits_lp,1,0.667,0.6252,0.3067,0.184,0.92,210.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,danits_lp,2,0.648,0.6084,0.32,0.192,0.96,109.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,danits_lp,3,0.663,0.6189,0.2933,0.176,0.88,102.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,danits_lp,4,0.717,0.6705,0.3133,0.188,0.94,117.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,fioretto_ldf,1,0.714,0.6675,0.3067,0.184,0.92,6.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,fioretto_ldf,2,0.711,0.6659,0.32,0.192,0.96,7.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,fioretto_ldf,3,0.728,0.6803,0.3133,0.188,0.94,2.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,fioretto_ldf,4,0.729,0.68,0.3067,0.184,0.92,11.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,heuristic,1,0.667,0.6252,0.3067,0.184,0.92,210.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,heuristic,2,0.648,0.6084,0.32,0.192,0.96,109.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,heuristic,3,0.663,0.6189,0.2933,0.176,0.88,102.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,heuristic,4,0.717,0.6705,0.3133,0.188,0.94,117.0,0.0
octmnist,MobileNetV3,50,2,L20_G20,hounie_rcl,1,0.713,0.6665,0.3067,0.184,0.92,18.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,hounie_rcl,2,0.703,0.6585,0.3133,0.188,0.94,23.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,hounie_rcl,3,0.722,0.6748,0.3133,0.188,0.94,13.0,1.0
octmnist,MobileNetV3,50,2,L20_G20,hounie_rcl,4,0.725,0.6755,0.3,0.18,0.9,14.0,1.0
