ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,hounie_rcl,4,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,hounie_rcl,3,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,hounie_rcl,1,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,hounie_rcl,2,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,tralo,4,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,tralo,3,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,tralo,1,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,tralo,2,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,danits_lp,4,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,danits_lp,3,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,danits_lp,1,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,danits_lp,2,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,fioretto_ldf,4,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,fioretto_ldf,3,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,fioretto_ldf,1,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,fioretto_ldf,2,,,,,,,,,g3_multiclass_tissue
tissuemnist,MobileNetV3,5,synth_group,L20_G20,20,20,tralo_bounded,4,,,,,,,,,g3_multiclass_tissue
