sweep,experiment_path,dataset,model,cls,tight,method,seed,pretrained,data_dir,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,warmup_time,phase2_time
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/hounie_rcl/seed_4,tissuemnist,MobileNetV3,5,L20_G20,hounie_rcl,4,True,data/tissuemnist/slice_1,0.3578,0.4686,0.5088,0.3949,0.8579,0.0,1,89,1.345,179.884
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/hounie_rcl/seed_3,tissuemnist,MobileNetV3,5,L20_G20,hounie_rcl,3,True,data/tissuemnist/slice_1,0.3519,0.4783,0.4954,0.4036,0.8737,0.0,1,96,0.6927,185.2634
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/hounie_rcl/seed_1,tissuemnist,MobileNetV3,5,L20_G20,hounie_rcl,1,True,data/tissuemnist/slice_1,0.356,0.4692,0.4992,0.3875,0.859,0.0,1,69,0.9588,119.1926
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/hounie_rcl/seed_2,tissuemnist,MobileNetV3,5,L20_G20,hounie_rcl,2,True,data/tissuemnist/slice_1,0.3774,0.4843,0.5112,0.3775,0.8425,0.0,1,87,1.0933,146.5819
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo/seed_4,tissuemnist,MobileNetV3,5,L20_G20,tralo,4,True,data/tissuemnist/slice_1,0.3599,0.4687,0.5062,0.3957,0.8579,0.0,1,72,0.0604,61.2763
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo/seed_3,tissuemnist,MobileNetV3,5,L20_G20,tralo,3,True,data/tissuemnist/slice_1,0.359,0.4854,0.5062,0.397,0.8629,0.0,1,72,0.3652,105.4044
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo/seed_1,tissuemnist,MobileNetV3,5,L20_G20,tralo,1,True,data/tissuemnist/slice_1,0.3465,0.4611,0.4879,0.3963,0.8642,0.0,1,66,0.6845,71.4628
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo/seed_2,tissuemnist,MobileNetV3,5,L20_G20,tralo,2,True,data/tissuemnist/slice_1,0.3781,0.4895,0.5158,0.3756,0.8322,0.0,1,82,0.4774,124.6623
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/danits_lp/seed_4,tissuemnist,MobileNetV3,5,L20_G20,danits_lp,4,True,data/tissuemnist/slice_1,0.3384,0.4521,0.4838,0.4223,0.9133,45.0,0,-1,0.823,0.6584
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/danits_lp/seed_3,tissuemnist,MobileNetV3,5,L20_G20,danits_lp,3,True,data/tissuemnist/slice_1,0.3335,0.4614,0.4754,0.4115,0.9128,168.0,0,-1,0.8425,0.657
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/danits_lp/seed_1,tissuemnist,MobileNetV3,5,L20_G20,danits_lp,1,True,data/tissuemnist/slice_1,0.3383,0.4441,0.4863,0.405,0.8891,102.0,0,-1,0.5702,0.6599
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/danits_lp/seed_2,tissuemnist,MobileNetV3,5,L20_G20,danits_lp,2,True,data/tissuemnist/slice_1,0.378,0.4697,0.4892,0.4032,0.8881,187.0,0,-1,0.5295,0.6612
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,5,L20_G20,fioretto_ldf,4,True,data/tissuemnist/slice_1,0.3565,0.4683,0.5088,0.396,0.8585,0.0,1,22,0.0917,52.5661
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,5,L20_G20,fioretto_ldf,3,True,data/tissuemnist/slice_1,0.3515,0.4792,0.4967,0.4025,0.8724,2.0,0,-1,0.4712,126.3157
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,5,L20_G20,fioretto_ldf,1,True,data/tissuemnist/slice_1,0.3529,0.4688,0.4988,0.3891,0.8583,0.0,1,16,0.6203,35.866
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,5,L20_G20,fioretto_ldf,2,True,data/tissuemnist/slice_1,0.3774,0.4865,0.5133,0.3741,0.8381,0.0,1,25,0.6243,46.2687
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo_bounded/seed_4,tissuemnist,MobileNetV3,5,L20_G20,tralo_bounded,4,True,data/tissuemnist/slice_1,0.3537,0.467,0.5075,0.397,0.8608,0.0,1,72,0.2038,52.5868
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo_bounded/seed_3,tissuemnist,MobileNetV3,5,L20_G20,tralo_bounded,3,True,data/tissuemnist/slice_1,0.3518,0.4803,0.4983,0.4001,0.8708,1.0,0,-1,0.1767,144.4798
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo_bounded/seed_1,tissuemnist,MobileNetV3,5,L20_G20,tralo_bounded,1,True,data/tissuemnist/slice_1,0.352,0.466,0.4929,0.3925,0.8598,0.0,1,66,0.2316,58.1324
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/tralo_bounded/seed_2,tissuemnist,MobileNetV3,5,L20_G20,tralo_bounded,2,True,data/tissuemnist/slice_1,0.3735,0.4814,0.5088,0.3799,0.8432,0.0,1,82,0.7457,77.6312
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/heuristic/seed_4,tissuemnist,MobileNetV3,5,L20_G20,heuristic,4,True,data/tissuemnist/slice_1,0.3384,0.4521,0.4838,0.4223,0.9133,45.0,0,-1,0.5799,0.5808
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/heuristic/seed_3,tissuemnist,MobileNetV3,5,L20_G20,heuristic,3,True,data/tissuemnist/slice_1,0.3335,0.4614,0.4754,0.4115,0.9128,168.0,0,-1,0.8526,0.5947
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/heuristic/seed_1,tissuemnist,MobileNetV3,5,L20_G20,heuristic,1,True,data/tissuemnist/slice_1,0.3383,0.4441,0.4863,0.405,0.8891,102.0,0,-1,0.6911,0.5787
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L20_G20/heuristic/seed_2,tissuemnist,MobileNetV3,5,L20_G20,heuristic,2,True,data/tissuemnist/slice_1,0.378,0.4697,0.4892,0.4032,0.8881,187.0,0,-1,0.5663,0.5959
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/hounie_rcl/seed_4,tissuemnist,MobileNetV3,5,L70_G70,hounie_rcl,4,True,data/tissuemnist/slice_1,0.3678,0.4759,0.5079,0.3956,0.8509,2.0,1,53,0.6943,104.9265
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/hounie_rcl/seed_3,tissuemnist,MobileNetV3,5,L70_G70,hounie_rcl,3,True,data/tissuemnist/slice_1,0.361,0.4842,0.5033,0.3954,0.8679,5.0,1,41,0.5645,79.3353
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/hounie_rcl/seed_1,tissuemnist,MobileNetV3,5,L70_G70,hounie_rcl,1,True,data/tissuemnist/slice_1,0.3714,0.4786,0.5042,0.3793,0.8477,32.0,1,62,0.0668,107.5259
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/hounie_rcl/seed_2,tissuemnist,MobileNetV3,5,L70_G70,hounie_rcl,2,True,data/tissuemnist/slice_1,0.3924,0.4954,0.5133,0.3657,0.822,17.0,1,54,0.0952,98.8527
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/tralo/seed_4,tissuemnist,MobileNetV3,5,L70_G70,tralo,4,True,data/tissuemnist/slice_1,0.3739,0.4838,0.5129,0.3924,0.8552,5.0,1,58,0.0866,31.4303
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/tralo/seed_3,tissuemnist,MobileNetV3,5,L70_G70,tralo,3,True,data/tissuemnist/slice_1,0.3637,0.4851,0.5029,0.393,0.8646,5.0,1,58,0.5518,42.7173
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/tralo/seed_1,tissuemnist,MobileNetV3,5,L70_G70,tralo,1,True,data/tissuemnist/slice_1,0.3702,0.4755,0.5012,0.3826,0.8428,6.0,1,60,0.4311,54.623
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/tralo/seed_2,tissuemnist,MobileNetV3,5,L70_G70,tralo,2,True,data/tissuemnist/slice_1,0.3967,0.4972,0.5096,0.3671,0.832,2.0,1,67,0.3345,54.9681
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/danits_lp/seed_4,tissuemnist,MobileNetV3,5,L70_G70,danits_lp,4,True,data/tissuemnist/slice_1,0.3488,0.4565,0.4838,0.4223,0.9133,1.0,1,-1,0.0601,0.4859
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/danits_lp/seed_3,tissuemnist,MobileNetV3,5,L70_G70,danits_lp,3,True,data/tissuemnist/slice_1,0.3437,0.4652,0.4754,0.4115,0.9128,112.0,0,-1,0.0656,0.4108
multiclass_tissue,results/pending_runs/g3_multiclass_tissue/cls_5/L70_G70/danits_lp/seed_1,tissuemnist,MobileNetV3,5,L70_G70,danits_lp,1,True,data/tissuemnist/slice_1,0.3513,0.4497,0.4871,0.405,0.8891,46.0,0,-1,0.0602,0.3727
