alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,-0.013399999999999967,0.0,-0.019000000000000017,-87.0,-0.01429999999999998,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9218,0.0309,0.1698,0.0134,0.3279,0.9521333333333333,0.005570358057512006,0.7961,0.0136,0.9849,1.0,0.1961,102.0,,True,100.0,contamination_clean,L20_G20,20,4.0,0.7818,84,50
0.0,-0.01429999999999998,0.0,-0.015666666666666718,-83.0,-0.011799999999999922,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9244,0.0225,0.101,0.0123,0.3279,0.9529333333333333,0.007521672390868623,0.7967,0.0069,0.9916,1.0,0.1961,102.0,,True,100.0,contamination_clean,L20_G20,20,0.0,0.7849,70,50
0.0,-0.0033999999999999586,0.0,-0.0025333333333333874,-40.0,-0.0019000000000000128,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9647,0.0309,0.1698,0.0134,0.8208,0.9679333333333333,0.010862882776787264,0.9311,0.0136,0.9849,1.0,0.6961,102.0,,True,100.0,contamination_clean,L70_G70,70,0.0,0.9292,72,50
0.0,-0.005899999999999905,0.0,-0.010200000000000098,-30.0,-0.00759999999999994,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9672,0.0225,0.101,0.0123,0.8208,0.9714,0.011017259187293401,0.9337,0.0069,0.9916,1.0,0.6961,102.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.9261,63,50
0.0,-0.01090000000000002,0.0,-0.015799999999999925,-74.0,-0.01189999999999991,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9311,0.0309,0.1698,0.0134,0.4662,0.9553333333333333,0.004740135956793746,0.8331,0.0136,0.9849,1.0,0.3039,102.0,,True,100.0,contamination_clean,L30_G30,30,6.0,0.8212,79,50
0.0,-0.010099999999999998,0.0,-0.010099999999999998,-69.0,-0.007600000000000051,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9336,0.0225,0.101,0.0123,0.4662,0.9575333333333332,0.0075198995265155655,0.8347,0.0069,0.9916,1.0,0.3039,102.0,,True,100.0,contamination_clean,L30_G30,30,3.0,0.8271,67,50
0.0,-0.006699999999999928,0.0,-0.008933333333333349,-60.0,-0.006700000000000039,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9479,0.0309,0.1698,0.0134,0.6667,0.9615666666666667,0.006617821057988461,0.8878,0.0136,0.9849,1.0,0.5,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8811,74,50
0.0,-0.006700000000000039,0.0,-0.005233333333333312,-52.0,-0.0040000000000000036,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9504,0.0225,0.101,0.0123,0.6667,0.9637333333333333,0.008878563447365186,0.8895,0.0069,0.9916,1.0,0.5,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8855,65,50
0.0,-0.008399999999999963,0.0,-0.027616666666666845,-149.0,-0.023699999999999943,0.0,0.0,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8347,0.2319,0.1192,0.1047,0.3134,0.7809500000000001,0.0878757598355011,0.7142,0.042,0.9336,0.9333,0.1883,223.0,,True,100.0,contamination_clean,L20_G20,20,2.0,0.6905,71,50
0.0,-0.0020000000000000018,0.015000000000000013,0.02413333333333334,-149.0,0.02290000000000003,0.044399999999999995,0.009000000000000008,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8328,0.2387,0.1214,0.108,0.291,0.7537333333333334,0.12161922362667653,0.6876,0.0444,0.9296,0.8667,0.1749,223.0,,True,100.0,contamination_clean,L20_G20,20,5.0,0.7105,71,50
