alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,0.0017000000000000348,0.0,0.003866666666666685,-3.0,0.0029000000000000137,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9067,0.1815,0.0538,0.0905,0.3279,0.9292666666666666,0.009974745889272382,0.7789,0.0155,0.9832,1.0,0.1961,102.0,,True,100.0,contamination_clean,L20_G20,20,4.0,0.7818,84,50
0.0,0.0009000000000000119,0.0,0.001966666666666672,-8.0,0.0015000000000000568,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9092,0.1762,0.0649,0.0883,0.3279,0.9352999999999999,0.005731201153917626,0.7834,0.0159,0.9815,1.0,0.1961,102.0,,True,100.0,contamination_clean,L20_G20,20,0.0,0.7849,70,50
0.0,0.0025000000000000577,0.0,0.005799999999999916,-3.0,0.0042999999999999705,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9588,0.0742,0.107,0.0324,0.8208,0.9596,0.01197441717440422,0.9249,0.0192,0.9739,1.0,0.6961,102.0,,True,100.0,contamination_clean,L70_G70,70,0.0,0.9292,72,50
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9613,0.0743,0.0907,0.0354,0.8208,0.9611999999999999,0.021075736444230532,0.9261,0.0147,0.9832,1.0,0.6961,102.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.9261,63,50
0.0,0.0017000000000000348,0.0,0.003933333333333344,-8.0,0.0030000000000000027,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9185,0.1681,0.0647,0.0832,0.4662,0.9356,0.013218925826253815,0.8182,0.0174,0.979,1.0,0.3039,102.0,,True,100.0,contamination_clean,L30_G30,30,6.0,0.8212,79,50
0.0,0.0008000000000000229,0.0,0.00196666666666645,-4.0,0.0013999999999999568,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9227,0.1552,0.0516,0.0752,0.4662,0.9454666666666668,0.011057827795528177,0.8257,0.017,0.9807,1.0,0.3039,102.0,,True,100.0,contamination_clean,L30_G30,30,3.0,0.8271,67,50
0.0,0.0009000000000000119,0.0,0.0018666666666666831,-5.0,0.0013999999999999568,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9403,0.114,0.0744,0.0553,0.6667,0.9507666666666666,0.012114545894181173,0.8797,0.0195,0.9773,1.0,0.5,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8811,74,50
0.0,0.0024999999999999467,0.0,0.005700000000000038,-6.0,0.0041999999999999815,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9412,0.1131,0.0867,0.0546,0.6667,0.9528,0.012409942250738581,0.8813,0.0177,0.9782,1.0,0.5,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8855,65,50
0.0,0.0030000000000000027,0.0,0.0006499999999998174,-3.0,0.0006000000000000449,0.0,0.0,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8233,0.3178,0.0914,0.1485,0.3134,0.7526833333333335,0.1005200380797558,0.6899,0.0393,0.9381,0.9333,0.1883,223.0,,True,100.0,contamination_clean,L20_G20,20,2.0,0.6905,71,50
0.0,-0.000500000000000056,0.0,-0.0002666666666666373,-6.0,-0.00019999999999997797,0.0,0.0,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8313,0.3135,0.0841,0.1483,0.306,0.7781333333333333,0.107545923007595,0.7107,0.0326,0.9476,0.9111,0.1839,223.0,,True,100.0,contamination_clean,L20_G20,20,5.0,0.7105,71,50
