alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,0.013399999999999967,0.06560000000000005,0.024366666666666537,-11.0,0.034700000000000064,0.19999999999999996,0.039199999999999985,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.895,0.2139,0.0238,0.1047,0.2623,0.9087666666666667,0.02019477380137964,0.7471,0.0125,0.9866,0.8,0.1569,102.0,,True,100.0,contamination_clean,L20_G20,20,4.0,0.7818,84,50
0.0,0.033600000000000074,0.19680000000000003,0.057566666666666544,-20.0,0.09230000000000005,0.6,0.1177,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.8765,0.2329,0.0237,0.1137,0.1311,0.8797,0.056787146432973716,0.6926,0.0153,0.9849,0.4,0.0784,102.0,,True,100.0,contamination_clean,L20_G20,20,0.0,0.7849,70,50
0.0,0.006700000000000039,0.0,0.01416666666666666,-33.0,0.010600000000000054,0.0,0.0,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9546,0.1341,0.0584,0.0645,0.8208,0.9512333333333333,0.01759551710584893,0.9186,0.0193,0.9798,1.0,0.6961,102.0,,True,100.0,contamination_clean,L70_G70,70,0.0,0.9292,72,50
0.0,0.015900000000000025,0.05779999999999996,0.021433333333333193,-47.0,0.030500000000000083,0.07040000000000002,0.049000000000000044,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9454,0.1625,0.0538,0.0803,0.763,0.9397666666666668,0.019352404386937423,0.8956,0.0172,0.9815,0.9296,0.6471,102.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.9261,63,50
0.0,0.009299999999999975,0.030100000000000016,0.016800000000000037,-20.0,0.020100000000000007,0.0645,0.019600000000000006,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9109,0.2084,0.0209,0.1031,0.4361,0.9227333333333333,0.021445331012185924,0.8011,0.0116,0.9899,0.9355,0.2843,102.0,,True,100.0,contamination_clean,L30_G30,30,6.0,0.8212,79,50
0.0,0.03949999999999998,0.2256,0.06313333333333315,-27.0,0.1036999999999999,0.4839,0.147,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.884,0.2264,0.0164,0.1106,0.2406,0.8843000000000001,0.05134711936094048,0.7234,0.0148,0.9815,0.5161,0.1569,102.0,,True,100.0,contamination_clean,L30_G30,30,3.0,0.8271,67,50
0.0,0.009300000000000086,0.0131,0.016700000000000048,-39.0,0.015800000000000036,0.01959999999999995,0.009799999999999975,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9319,0.1829,0.0485,0.0917,0.6536,0.9359333333333333,0.01623090330888035,0.8653,0.0156,0.9832,0.9804,0.4902,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8811,74,50
0.0,0.03949999999999998,0.22229999999999994,0.05793333333333339,-48.0,0.09899999999999998,0.33330000000000004,0.16670000000000001,data/aider/slice_1,aider,0.166,4.5,4,1190,4758,0.0001,MobileNetV3,5400000,4,0.9042,0.2112,0.0201,0.1047,0.4444,0.9005666666666666,0.03883128749975833,0.7865,0.0125,0.9882,0.6667,0.3333,102.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.8855,65,50
0.0,0.012500000000000067,0.014900000000000024,0.03156666666666652,-29.0,0.029200000000000004,0.044399999999999995,0.008899999999999991,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8138,0.3502,0.0985,0.1665,0.2985,0.7217666666666668,0.12720051974037772,0.6613,0.041,0.9331,0.8889,0.1794,223.0,,True,100.0,contamination_clean,L20_G20,20,2.0,0.6905,71,50
0.0,0.0020000000000000018,0.007500000000000007,0.026050000000000018,-25.0,0.023499999999999965,0.022199999999999998,0.004500000000000004,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8288,0.3322,0.0789,0.1575,0.2985,0.7518166666666667,0.13835157409858245,0.687,0.0311,0.9441,0.8889,0.1794,223.0,,True,100.0,contamination_clean,L20_G20,20,5.0,0.7105,71,50
0.0,0.0010000000000000009,0.015799999999999925,-0.004566666666666719,-24.0,-0.0017000000000000348,0.019199999999999995,0.013399999999999967,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8712,0.228,0.1121,0.1014,0.6438,0.8109500000000001,0.09488685806439864,0.7871,0.0415,0.9356,0.7821,0.5471,223.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.7854,57,50
0.0,0.0044999999999999485,0.010600000000000054,0.012733333333333263,-31.0,0.012500000000000067,0.012900000000000023,0.009000000000000008,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8677,0.2406,0.1016,0.112,0.6385,0.7924166666666667,0.10586577061963368,0.7704,0.0359,0.9441,0.7756,0.5426,223.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.7829,57,50
