dataset,sigma,tight,method,n,macro_f1,f1_constrained,f1_unconstrained_mean,pre_constrained,rec_constrained,acc,ece,brier,conf_correct,conf_incorrect,conf_gap,flips,sat
aider,0.00,L20_G20,danits_lp,2,0.7964,0.3279,0.9525,1.0000,0.1961,0.9231,0.0129,0.0267,0.9966,0.8612,0.1354,87.0000,0.0000
aider,0.00,L20_G20,fioretto_ldf,2,0.7812,0.3279,0.9323,1.0000,0.1961,0.9080,0.0894,0.1789,0.9969,0.9375,0.0593,7.5000,1.0000
aider,0.00,L20_G20,heuristic,2,0.7969,0.3279,0.9532,1.0000,0.1961,0.9231,0.0129,0.0267,0.9966,0.8612,0.1354,87.0000,0.0000
aider,0.00,L20_G20,hounie_rcl,2,0.7198,0.1967,0.8942,0.6000,0.1177,0.8858,0.1092,0.2234,0.9948,0.9709,0.0238,17.5000,1.0000
aider,0.00,L20_G20,tralo,2,0.7833,0.3279,0.9352,1.0000,0.1961,0.9093,0.0844,0.1701,0.9967,0.9449,0.0518,2.0000,1.0000
aider,0.00,L30_G30,danits_lp,2,0.8339,0.4662,0.9564,1.0000,0.3039,0.9324,0.0129,0.0267,0.9966,0.8612,0.1354,76.0000,0.0000
aider,0.00,L30_G30,fioretto_ldf,2,0.8219,0.4662,0.9405,1.0000,0.3039,0.9206,0.0792,0.1617,0.9953,0.9372,0.0581,10.5000,1.0000
aider,0.00,L30_G30,heuristic,2,0.8329,0.4662,0.9551,1.0000,0.3039,0.9324,0.0129,0.0267,0.9966,0.8612,0.1354,76.0000,0.0000
aider,0.00,L30_G30,hounie_rcl,2,0.7623,0.3383,0.9035,0.7258,0.2206,0.8975,0.1069,0.2174,0.9947,0.9760,0.0186,28.0000,1.0000
aider,0.00,L30_G30,tralo,2,0.8241,0.4662,0.9435,1.0000,0.3039,0.9219,0.0733,0.1496,0.9949,0.9331,0.0618,4.5000,1.0000
aider,0.00,L50_G50,danits_lp,2,0.8886,0.6667,0.9627,1.0000,0.5000,0.9491,0.0129,0.0267,0.9966,0.8612,0.1354,56.0000,0.0000
aider,0.00,L50_G50,fioretto_ldf,2,0.8805,0.6667,0.9518,1.0000,0.5000,0.9407,0.0549,0.1136,0.9946,0.9140,0.0805,5.5000,1.0000
aider,0.00,L50_G50,heuristic,2,0.8886,0.6667,0.9627,1.0000,0.5000,0.9491,0.0129,0.0267,0.9966,0.8612,0.1354,56.0000,0.0000
aider,0.00,L50_G50,hounie_rcl,2,0.8259,0.5490,0.9183,0.8236,0.4118,0.9181,0.0982,0.1971,0.9959,0.9615,0.0343,43.5000,1.0000
aider,0.00,L50_G50,tralo,2,0.8833,0.6667,0.9556,1.0000,0.5000,0.9425,0.0502,0.1035,0.9950,0.9227,0.0723,0.0000,1.0000
aider,0.00,L70_G70,danits_lp,2,0.9324,0.8208,0.9697,1.0000,0.6961,0.9659,0.0129,0.0267,0.9966,0.8612,0.1354,36.0000,0.0000
aider,0.00,L70_G70,fioretto_ldf,2,0.9255,0.8208,0.9604,1.0000,0.6961,0.9601,0.0339,0.0743,0.9944,0.8957,0.0988,3.0000,1.0000
aider,0.00,L70_G70,heuristic,2,0.9324,0.8208,0.9697,1.0000,0.6961,0.9659,0.0129,0.0267,0.9966,0.8612,0.1354,36.0000,0.0000
aider,0.00,L70_G70,hounie_rcl,2,0.9071,0.7919,0.9455,0.9648,0.6716,0.9500,0.0724,0.1483,0.9943,0.9382,0.0561,41.0000,1.0000
aider,0.00,L70_G70,tralo,2,0.9277,0.8208,0.9633,1.0000,0.6961,0.9613,0.0335,0.0707,0.9954,0.9140,0.0814,1.0000,1.0000
aider,0.10,L20_G20,danits_lp,2,0.7864,0.3279,0.9393,1.0000,0.1961,0.9139,0.0238,0.0500,0.9960,0.8817,0.1144,82.0000,0.0000
aider,0.10,L20_G20,fioretto_ldf,2,0.7691,0.3279,0.9162,1.0000,0.1961,0.9025,0.0934,0.1898,0.9956,0.9479,0.0477,5.0000,1.0000
aider,0.10,L20_G20,heuristic,2,0.7864,0.3279,0.9393,1.0000,0.1961,0.9139,0.0238,0.0500,0.9960,0.8817,0.1144,82.0000,0.0000
aider,0.10,L20_G20,hounie_rcl,2,0.7028,0.2131,0.8660,0.6500,0.1275,0.8756,0.1249,0.2511,0.9955,0.9784,0.0171,18.5000,1.0000
aider,0.10,L20_G20,tralo,2,0.7713,0.3279,0.9191,1.0000,0.1961,0.9038,0.0898,0.1860,0.9949,0.9493,0.0456,3.5000,1.0000
