constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
L20_G30,tralo,4,0.706075,0.010904,6.5000,9.7468,0.831400,0.004172,100.00
L20_G30,tralo_bounded,4,0.705350,0.011481,12.7500,4.1130,0.829625,0.006206,75.00
L20_G30,fioretto_ldf,4,0.704625,0.013414,12.7500,6.0208,0.828525,0.009709,100.00
L20_G30,hounie_rcl,4,0.700000,0.015362,18.7500,2.2174,0.826650,0.009208,100.00
L20_G30,heuristic,4,0.703000,0.018046,158.5000,7.1414,0.836725,0.005392,0.00
L20_G30,danits_lp,4,0.703000,0.018046,158.5000,7.1414,0.836725,0.005392,0.00
L20_G50,tralo,4,0.707175,0.012349,4.5000,5.7446,0.831250,0.004188,100.00
L20_G50,tralo_bounded,4,0.705125,0.011015,12.0000,4.3970,0.829650,0.004884,75.00
L20_G50,fioretto_ldf,4,0.703725,0.013818,12.7500,6.0208,0.828525,0.009702,100.00
L20_G50,hounie_rcl,4,0.700825,0.011144,18.2500,2.7538,0.828025,0.007990,100.00
L20_G50,heuristic,1,0.687700,0.000000,166.0000,0.0000,0.834700,0.000000,0.00
L20_G50,danits_lp,1,0.687700,0.000000,166.0000,0.0000,0.834700,0.000000,0.00
L20_G70,tralo,4,0.703500,0.012236,0.5000,0.5774,0.831150,0.006082,100.00
L20_G70,tralo_bounded,4,0.707600,0.012645,14.7500,4.3493,0.829650,0.005121,100.00
L20_G70,fioretto_ldf,4,0.702925,0.014298,12.2500,6.2383,0.827775,0.009595,100.00
L20_G70,hounie_rcl,4,0.699725,0.009832,18.2500,2.7538,0.827900,0.007967,100.00
L20_G70,heuristic,4,0.703000,0.018046,158.5000,7.1414,0.836725,0.005392,0.00
L20_G70,danits_lp,4,0.703000,0.018046,158.5000,7.1414,0.836725,0.005392,0.00
L20_G80,tralo,4,0.705750,0.010198,0.2500,0.5000,0.832650,0.005830,100.00
L20_G80,tralo_bounded,4,0.707400,0.009883,14.7500,4.3493,0.830900,0.004196,100.00
