root,dataset,model,method,constraint_tag,seed,cc_f1,f1_macro,acc,flips,sat
b3,octmnist,MobileNetV3,fioretto_alm,L30_G30,4,0.3822,0.7187,0.757,,
b3,octmnist,MobileNetV3,fioretto_alm,L30_G30,1,0.4164,0.7207,0.757,,
b3,octmnist,MobileNetV3,fioretto_alm,L40_G40,4,0.4956,0.7528,0.777,,
b3,octmnist,MobileNetV3,fioretto_alm,L40_G40,1,0.4836,0.7433,0.771,,
b3,octmnist,ViTB16,fioretto_alm,L30_G30,2,0.3822,0.6944,0.73,,
b3,octmnist,ViTB16,fioretto_alm,L40_G40,2,0.4911,0.7341,0.758,,
b3,octmnist,RegNetY400MF,fioretto_alm,L30_G30,3,0.3613,0.6773,0.713,,
b3,octmnist,RegNetY400MF,fioretto_alm,L40_G40,3,0.4723,0.7125,0.735,,
b3,octmnist,MobileNetV3,fioretto_alm,L30_G30,2,0.373,0.6915,0.726,,
b3,octmnist,MobileNetV3,fioretto_alm,L40_G40,2,0.4776,0.7254,0.749,,
b3,octmnist,ViTB16,fioretto_alm,L30_G30,3,0.3548,0.7058,0.745,,
b3,octmnist,ViTB16,fioretto_alm,L40_G40,3,0.4671,0.7423,0.769,,
b3,octmnist,RegNetY400MF,fioretto_alm,L30_G30,4,0.3613,0.6942,0.733,,
b3,octmnist,RegNetY400MF,fioretto_alm,L30_G30,1,0.377,0.6906,0.726,,
b3,octmnist,RegNetY400MF,fioretto_alm,L40_G40,4,0.4384,0.7165,0.745,,
b3,octmnist,RegNetY400MF,fioretto_alm,L40_G40,1,0.4913,0.7275,0.749,,
b3,octmnist,MobileNetV3,fioretto_alm,L30_G30,3,0.4201,0.6947,0.727,,
b3,octmnist,MobileNetV3,fioretto_alm,L40_G40,3,0.5275,0.7361,0.757,,
b3,octmnist,ViTB16,fioretto_alm,L30_G30,4,0.3571,0.6945,0.733,,
b3,octmnist,ViTB16,fioretto_alm,L30_G30,1,0.4099,0.7095,0.739,,
b3,octmnist,ViTB16,fioretto_alm,L40_G40,4,0.4259,0.7171,0.748,,
b3,octmnist,ViTB16,fioretto_alm,L40_G40,1,0.4838,0.7319,0.754,,
b3,octmnist,RegNetY400MF,fioretto_alm,L30_G30,2,0.3377,0.6705,0.712,,
b3,octmnist,RegNetY400MF,fioretto_alm,L40_G40,2,0.4551,0.7123,0.74,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L20_G20,1,0.3134,0.6906,0.8278,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L70_G70,1,0.6596,0.7765,0.8732,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L30_G30,1,0.4207,0.7229,0.8427,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L40_G40,1,0.5064,0.7392,0.8517,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L60_G60,1,0.6275,0.766,0.8682,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L90_G90,1,0.6761,0.7812,0.8752,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L50_G50,1,0.5689,0.7571,0.8612,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L80_G80,1,0.6584,0.779,0.8732,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L10_G10,1,0.1714,0.6436,0.8083,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L20_G20,1,0.2049,0.4055,0.5542,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L70_G70,1,0.3849,0.4424,0.5583,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L30_G30,1,0.2883,0.4227,0.5579,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L40_G40,1,0.3017,0.4268,0.5579,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L60_G60,1,0.3663,0.4375,0.5583,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L90_G90,1,0.3815,0.4432,0.5567,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L50_G50,1,0.358,0.4343,0.5583,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L80_G80,1,0.3766,0.4439,0.5583,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L10_G10,1,0.1277,0.3948,0.5533,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L20_G20,1,0.32,0.6871,0.735,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L70_G70,1,0.6981,0.8081,0.814,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L60_G60,1,0.6717,0.8062,0.815,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L90_G90,1,0.7495,0.8225,0.825,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L50_G50,1,0.6133,0.7861,0.8,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L80_G80,1,0.7333,0.8185,0.822,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L10_G10,1,0.1818,0.6441,0.712,,
b3_full,dermmnist,ViTB16,fioretto_alm,L20_G20,1,0.2985,0.6239,0.8098,,
b3_full,dermmnist,ViTB16,fioretto_alm,L70_G70,1,0.5805,0.6969,0.8357,,
b3_full,dermmnist,ViTB16,fioretto_alm,L30_G30,1,0.3793,0.6517,0.8168,,
b3_full,dermmnist,ViTB16,fioretto_alm,L40_G40,1,0.4615,0.6673,0.8228,,
b3_full,dermmnist,ViTB16,fioretto_alm,L60_G60,1,0.5434,0.6861,0.8313,,
b3_full,dermmnist,ViTB16,fioretto_alm,L90_G90,1,0.6052,0.7074,0.8357,,
b3_full,dermmnist,ViTB16,fioretto_alm,L50_G50,1,0.497,0.6766,0.8263,,
b3_full,dermmnist,ViTB16,fioretto_alm,L80_G80,1,0.5885,0.7055,0.8357,,
b3_full,dermmnist,ViTB16,fioretto_alm,L10_G10,1,0.1714,0.6032,0.8003,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L20_G20,1,0.2439,0.4614,0.5842,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L70_G70,1,0.4948,0.4981,0.595,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L30_G30,1,0.2883,0.4692,0.5867,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L40_G40,1,0.3036,0.4715,0.5871,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L60_G60,1,0.4689,0.4931,0.5933,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L90_G90,1,0.5108,0.4944,0.5925,,
