dataset,model,cap,method,seed,warmup_epochs,satisfied,sat_epoch,cep
dermmnist,MobileNetV3,20,fioretto_ldf,1,50,True,21.0,21.0
dermmnist,MobileNetV3,20,fioretto_ldf,2,50,True,21.0,21.0
dermmnist,MobileNetV3,20,fioretto_ldf,3,50,True,20.0,20.0
dermmnist,MobileNetV3,20,fioretto_ldf,4,50,True,19.0,19.0
dermmnist,MobileNetV3,20,hounie_rcl,1,50,True,26.0,26.0
dermmnist,MobileNetV3,20,hounie_rcl,2,50,True,26.0,26.0
dermmnist,MobileNetV3,20,hounie_rcl,3,50,True,62.0,62.0
dermmnist,MobileNetV3,20,hounie_rcl,4,50,True,62.0,62.0
dermmnist,MobileNetV3,20,tralo,1,50,True,71.0,21.0
dermmnist,MobileNetV3,20,tralo,2,50,True,71.0,21.0
dermmnist,MobileNetV3,20,tralo,3,50,True,69.0,19.0
dermmnist,MobileNetV3,20,tralo,4,50,True,68.0,18.0
dermmnist,MobileNetV3,30,fioretto_ldf,1,50,True,17.0,17.0
dermmnist,MobileNetV3,30,fioretto_ldf,2,50,False,,
dermmnist,MobileNetV3,30,fioretto_ldf,3,50,False,,
dermmnist,MobileNetV3,30,fioretto_ldf,4,50,True,16.0,16.0
dermmnist,MobileNetV3,30,hounie_rcl,1,50,True,22.0,22.0
dermmnist,MobileNetV3,30,hounie_rcl,2,50,True,24.0,24.0
dermmnist,MobileNetV3,30,hounie_rcl,3,50,True,60.0,60.0
dermmnist,MobileNetV3,30,hounie_rcl,4,50,True,56.0,56.0
dermmnist,MobileNetV3,30,tralo,1,50,True,67.0,17.0
dermmnist,MobileNetV3,30,tralo,2,50,True,70.0,20.0
dermmnist,MobileNetV3,30,tralo,3,50,True,67.0,17.0
dermmnist,MobileNetV3,30,tralo,4,50,True,65.0,15.0
dermmnist,MobileNetV3,50,fioretto_ldf,1,50,True,13.0,13.0
dermmnist,MobileNetV3,50,fioretto_ldf,2,50,False,,
dermmnist,MobileNetV3,50,fioretto_ldf,3,50,True,11.0,11.0
dermmnist,MobileNetV3,50,fioretto_ldf,4,50,True,11.0,11.0
dermmnist,MobileNetV3,50,hounie_rcl,1,50,True,21.0,21.0
dermmnist,MobileNetV3,50,hounie_rcl,2,50,True,21.0,21.0
dermmnist,MobileNetV3,50,hounie_rcl,3,50,True,42.0,42.0
dermmnist,MobileNetV3,50,hounie_rcl,4,50,True,48.0,48.0
dermmnist,MobileNetV3,50,tralo,1,50,True,63.0,13.0
dermmnist,MobileNetV3,50,tralo,2,50,True,63.0,13.0
dermmnist,MobileNetV3,50,tralo,3,50,True,61.0,11.0
dermmnist,MobileNetV3,50,tralo,4,50,True,60.0,10.0
dermmnist,MobileNetV3,70,fioretto_ldf,1,50,True,8.0,8.0
dermmnist,MobileNetV3,70,fioretto_ldf,2,50,True,8.0,8.0
dermmnist,MobileNetV3,70,fioretto_ldf,3,50,True,7.0,7.0
dermmnist,MobileNetV3,70,fioretto_ldf,4,50,True,6.0,6.0
dermmnist,MobileNetV3,70,hounie_rcl,1,50,True,19.0,19.0
dermmnist,MobileNetV3,70,hounie_rcl,2,50,True,17.0,17.0
dermmnist,MobileNetV3,70,hounie_rcl,3,50,True,38.0,38.0
dermmnist,MobileNetV3,70,hounie_rcl,4,50,True,36.0,36.0
dermmnist,MobileNetV3,70,tralo,1,50,True,57.0,7.0
dermmnist,MobileNetV3,70,tralo,2,50,True,57.0,7.0
dermmnist,MobileNetV3,70,tralo,3,50,True,57.0,7.0
dermmnist,MobileNetV3,70,tralo,4,50,True,55.0,5.0
dermmnist,MobileNetV3,80,fioretto_ldf,1,50,True,7.0,7.0
dermmnist,MobileNetV3,80,fioretto_ldf,2,50,False,,
dermmnist,MobileNetV3,80,fioretto_ldf,3,50,True,5.0,5.0
dermmnist,MobileNetV3,80,fioretto_ldf,4,50,True,3.0,3.0
dermmnist,MobileNetV3,80,hounie_rcl,1,50,True,74.0,74.0
dermmnist,MobileNetV3,80,hounie_rcl,2,50,True,54.0,54.0
dermmnist,MobileNetV3,80,hounie_rcl,3,50,True,31.0,31.0
dermmnist,MobileNetV3,80,hounie_rcl,4,50,True,12.0,12.0
dermmnist,MobileNetV3,80,tralo,1,50,True,86.0,36.0
dermmnist,MobileNetV3,80,tralo,2,50,True,57.0,7.0
dermmnist,MobileNetV3,80,tralo,3,50,True,53.0,3.0
dermmnist,MobileNetV3,80,tralo,4,50,True,52.0,2.0
dermmnist,RegNetY400MF,20,fioretto_ldf,1,50,True,21.0,21.0
dermmnist,RegNetY400MF,20,fioretto_ldf,2,50,True,24.0,24.0
dermmnist,RegNetY400MF,20,fioretto_ldf,3,50,True,24.0,24.0
dermmnist,RegNetY400MF,20,fioretto_ldf,4,50,True,27.0,27.0
dermmnist,RegNetY400MF,20,hounie_rcl,1,50,True,38.0,38.0
dermmnist,RegNetY400MF,20,hounie_rcl,2,50,True,39.0,39.0
dermmnist,RegNetY400MF,20,hounie_rcl,3,50,True,41.0,41.0
dermmnist,RegNetY400MF,20,hounie_rcl,4,50,True,52.0,52.0
dermmnist,RegNetY400MF,20,tralo,1,50,True,63.0,13.0
