epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.508586,0.0,143,0,1.192651
1,0.548095,379.225567,127,0,2.340876
2,0.527894,750.792999,127,0,3.516349
3,0.507721,1043.425743,93,0,4.531824
4,0.490357,1322.506912,97,0,5.48841
5,0.468859,1534.446396,81,0,6.393414
6,0.447666,1838.781937,95,0,7.338131
7,0.43466,2173.584869,101,0,8.329485
8,0.422342,2307.196396,89,0,9.203339
9,0.398939,2796.556732,117,0,10.235811
10,0.389174,2930.128815,101,0,11.137496
11,0.373579,3157.383453,95,0,12.029002
12,0.357976,3735.30069,157,0,13.135229
13,0.341335,3833.68631,127,0,14.092158
14,0.325568,4088.735352,117,0,15.029545
15,0.316108,4082.564758,101,0,15.839911
16,0.301246,4800.113831,137,0,16.864574
17,0.280307,5343.436584,169,0,18.000479
18,0.271818,5095.242676,119,0,18.882414
19,0.258404,5192.861328,107,0,19.705834
20,0.248792,5351.637939,103,0,20.51179
21,0.231203,5837.191895,123,0,21.417449
22,0.227305,5936.801758,127,0,22.282839
23,0.210986,6277.337524,127,0,23.17697
24,0.205204,6888.936523,149,0,24.161215
25,0.193843,7066.44281,157,0,25.108319
26,0.175762,7205.139221,135,0,26.008708
27,0.17377,7757.597473,161,0,26.977591
28,0.166057,6902.738281,103,0,27.665572
29,0.150502,8080.895996,155,0,28.628266
30,0.146048,8029.873962,153,0,29.520783
31,0.136913,7762.203308,129,0,30.302604
32,0.130809,7846.951782,107,0,31.036481
33,0.125881,8219.093262,119,0,31.813321
34,0.11775,8293.072754,123,0,32.552063
35,0.108526,9353.884277,171,0,33.508355
36,0.102035,9397.247314,167,0,34.433666
37,0.098886,8701.156494,123,0,35.145609
38,0.088649,8734.530334,123,0,35.833772
39,0.085522,9439.82666,141,0,36.633056
40,0.079229,9437.294189,125,0,37.384292
41,0.075196,9387.941772,123,0,38.067521
42,0.073518,9541.992615,97,0,38.748521
43,0.076702,10363.264404,149,0,39.548866
44,0.060501,10489.044067,137,0,40.331959
45,0.060112,11989.358765,187,0,41.329502
46,0.060464,9940.381958,103,0,41.959541
47,0.061345,10058.179077,119,0,42.610112
48,0.05155,11158.882812,129,0,43.369491
49,0.047858,10483.537842,113,0,43.997969
50,0.04193,11485.990234,141,0,44.770135
51,0.046173,11530.630981,127,0,45.511729
52,0.04439,11081.437256,117,0,46.172132
53,0.035838,13264.299316,175,0,47.136858
54,0.037913,12422.868408,125,0,47.897054
55,0.034494,12048.65564,133,0,48.593029
56,0.031779,11697.711426,107,0,49.204965
57,0.029666,12920.166748,133,0,49.976829
58,nan,12796.954346,119,0,50.707451
59,nan,12588.220703,113,0,51.375799
60,nan,12191.484375,107,0,51.968566
61,nan,11701.19165,89,0,52.469045
62,nan,11128.923462,69,0,52.867483
63,nan,10421.56958,51,0,53.15928
64,nan,9628.187073,25,0,53.335921
65,nan,8821.46759,3,0,53.400098
66,nan,0.0,0,1,53.400098
67,nan,0.0,0,1,53.400098
68,nan,0.0,0,1,53.400098
69,nan,0.0,0,1,53.400098
70,nan,0.0,0,1,53.400098
