epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.002941,0.0,274,0,0.000703,7e-06,0.0
1,0.001614,0.000268,248,0,0.001344,1.9e-05,0.0
2,nan,0.000508,248,0,0.001984,3.5e-05,0.0
3,nan,0.000747,248,0,0.002623,5.4e-05,0.0
4,nan,0.000983,248,0,0.00326,7.6e-05,0.0
5,nan,0.001216,246,0,0.003893,0.0001,0.0
6,nan,0.001443,244,0,0.004522,0.000125,1e-06
7,nan,0.001663,244,0,0.005145,0.000151,1e-06
8,nan,0.001876,242,0,0.00576,0.000179,1e-06
9,nan,0.002079,238,0,0.006366,0.000207,2e-06
10,nan,0.002267,232,0,0.006962,0.000235,2e-06
11,nan,0.00244,228,0,0.007546,0.000263,3e-06
12,nan,0.002599,226,0,0.008116,0.000292,4e-06
13,nan,0.002742,224,0,0.008672,0.00032,4e-06
14,nan,0.002864,216,0,0.009212,0.000348,5e-06
15,nan,0.002971,214,0,0.009734,0.000376,6e-06
16,nan,0.003057,208,0,0.010237,0.000403,7e-06
17,nan,0.003126,196,0,0.010721,0.00043,8e-06
18,nan,0.00317,182,0,0.011183,0.000456,9e-06
19,nan,0.0032,174,0,0.011623,0.000481,1e-05
20,nan,0.003213,172,0,0.012041,0.000505,1.1e-05
21,nan,0.003211,164,0,0.012437,0.000528,1.2e-05
22,nan,0.003188,152,0,0.012809,0.000551,1.3e-05
23,nan,0.003143,146,0,0.013157,0.000572,1.4e-05
24,nan,0.003087,132,0,0.01348,0.000593,1.5e-05
25,nan,0.003017,122,0,0.013778,0.000612,1.6e-05
26,nan,0.002931,116,0,0.014049,0.00063,1.7e-05
27,nan,0.002829,102,0,0.014294,0.000647,1.7e-05
28,nan,0.002714,96,0,0.014511,0.000663,1.8e-05
29,nan,0.002581,82,0,0.014701,0.000677,1.9e-05
30,nan,0.002433,70,0,0.014863,0.00069,2e-05
31,nan,0.002285,56,0,0.014997,0.000702,2e-05
32,nan,0.002122,44,0,0.015103,0.000713,2.1e-05
33,nan,0.001953,42,0,0.015182,0.000722,2.2e-05
34,nan,0.001784,20,0,0.015234,0.00073,2.2e-05
35,nan,0.001625,14,0,0.015262,0.000737,2.2e-05
36,nan,0.001476,8,0,0.015266,0.000742,2.3e-05
37,nan,0.001338,1,0,0.015248,0.000746,2.3e-05
38,nan,0.001212,0,1,0.01521,0.000749,2.3e-05
39,nan,0.001097,0,1,0.015154,0.000751,2.3e-05
40,nan,0.000994,0,1,0.015081,0.000751,2.3e-05
41,nan,0.000904,0,1,0.014994,0.000751,2.3e-05
42,nan,0.000829,0,1,0.014896,0.00075,2.3e-05
