Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9996,0.002050,0.223047,0.669102,0.000000,0.05,0.00,0,0,inf,73,75.10,inf,99,99.94,inf,217,213.48,inf,16,18.21,67,187,187.44,inf,1381,1377.86,inf,30,30.97,86,86.41,29,65,64.73,26,36,36.30,12
55,1.0000,0.000000,0.270951,0.809002,0.000000,0.06,0.00,0,0,inf,73,73.96,inf,95,96.03,inf,220,219.94,inf,18,18.35,67,156,158.94,inf,1410,1405.47,inf,31,30.30,73,74.08,29,53,55.19,26,30,29.67,12
60,1.0000,0.000000,0.230765,0.678244,0.000000,0.07,0.00,0,0,inf,69,71.32,inf,97,96.31,inf,237,230.70,inf,20,18.17,67,119,119.07,inf,1431,1437.14,inf,30,30.28,56,56.23,29,42,41.60,26,21,21.25,12
65,1.0000,0.000000,0.044889,0.144092,0.000000,0.08,0.00,0,0,inf,68,67.42,inf,94,96.95,inf,244,239.05,inf,17,17.18,67,84,81.12,inf,1467,1471.13,inf,29,30.13,37,35.25,29,31,30.80,26,16,15.07,12
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,64,63.04,inf,95,98.18,inf,247,240.07,inf,16,16.09,67,49,48.58,inf,1503,1506.94,inf,29,30.11,19,20.00,29,24,22.33,26,6,6.25,12
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,64,62.48,inf,95,98.41,inf,244,240.13,inf,17,15.94,67,46,46.56,inf,1508,1509.38,inf,29,30.10,18,19.31,29,23,21.45,26,5,5.79,12
75,1.0000,0.000000,0.011681,0.044019,0.000000,0.08,0.00,0,0,inf,64,65.45,inf,97,99.86,inf,244,237.33,inf,16,16.88,67,76,72.32,inf,1477,1480.92,inf,29,30.25,32,30.22,29,31,28.72,26,13,13.38,12
80,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,0,inf,63,63.44,inf,96,101.76,inf,241,235.40,inf,16,16.35,67,65,62.80,inf,1493,1493.00,inf,29,30.25,26,26.16,29,28,25.60,26,11,11.04,12
85,1.0000,0.000000,0.001307,0.004473,0.000000,0.08,0.00,0,0,inf,63,62.87,inf,98,102.53,inf,240,235.34,inf,16,16.26,67,71,67.94,inf,1486,1487.80,inf,29,30.26,32,29.43,29,27,26.24,26,12,12.26,12
90,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,63,61.94,inf,97,103.21,inf,240,234.75,inf,16,16.09,67,71,66.41,inf,1487,1490.31,inf,29,30.28,32,28.91,29,27,25.54,26,12,11.96,12
95,1.0000,0.000000,0.000204,0.000744,0.000000,0.08,0.00,0,0,inf,62,61.92,inf,99,103.99,inf,240,236.55,inf,16,16.06,67,69,67.16,inf,1488,1487.04,inf,29,30.28,31,29.23,29,27,26.01,26,11,11.92,12
100,1.0000,0.000000,0.000000,0.000078,0.000000,0.08,0.00,0,0,inf,62,61.93,inf,99,104.61,inf,243,237.37,inf,16,16.04,67,68,66.63,inf,1486,1486.16,inf,29,30.27,30,28.69,29,27,26.02,26,11,11.92,12
105,1.0000,0.000000,0.000029,0.000464,0.000000,0.08,0.00,0,0,inf,62,61.67,inf,100,104.61,inf,243,237.28,inf,16,16.01,67,69,67.02,inf,1484,1486.11,inf,29,30.29,30,29.06,29,27,25.92,26,12,12.04,12
110,1.0000,0.000000,0.001079,0.003426,0.000000,0.08,0.00,0,0,inf,62,61.60,inf,100,104.84,inf,243,237.75,inf,16,16.00,67,70,67.79,inf,1483,1484.72,inf,29,30.29,31,29.51,29,27,26.10,26,12,12.17,12
115,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,61,61.28,inf,102,105.25,inf,243,238.07,inf,16,15.91,67,68,65.81,inf,1484,1486.40,inf,29,30.28,30,28.44,29,27,25.78,26,11,11.60,12
120,1.0000,0.000000,0.000000,0.000355,0.000000,0.08,0.00,0,0,inf,61,61.61,inf,102,105.48,inf,243,238.65,inf,16,15.97,67,68,66.77,inf,1484,1484.27,inf,29,30.25,30,28.82,29,27,26.10,26,11,11.85,12
125,1.0000,0.000000,0.000492,0.001746,0.000000,0.08,0.00,0,0,inf,61,61.63,inf,102,105.53,inf,243,238.83,inf,16,15.98,67,69,67.38,inf,1483,1483.40,inf,29,30.25,30,29.14,29,27,26.11,26,12,12.12,12
130,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,60,61.22,inf,102,105.59,inf,244,239.24,inf,16,15.94,67,68,66.68,inf,1484,1484.08,inf,29,30.25,30,28.89,29,27,25.88,26,11,11.91,12
135,1.0000,0.000000,0.000255,0.000990,0.000000,0.08,0.00,0,0,inf,60,61.38,inf,102,105.57,inf,246,239.67,inf,16,15.98,67,69,67.20,inf,1481,1482.98,inf,29,30.22,30,29.08,29,27,26.04,26,12,12.09,12
140,1.0000,0.000000,0.000137,0.000451,0.000000,0.08,0.00,0,0,inf,60,61.43,inf,102,105.52,inf,247,239.81,inf,16,15.97,67,69,67.11,inf,1480,1482.94,inf,29,30.22,30,29.01,29,27,26.08,26,12,12.02,12
145,1.0000,0.000000,0.001244,0.003724,0.000000,0.08,0.00,0,0,inf,60,61.32,inf,103,105.33,inf,248,239.72,inf,16,15.98,67,69,67.90,inf,1478,1482.55,inf,29,30.21,30,29.53,29,27,26.22,26,12,12.15,12
150,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,59,60.65,inf,102,105.38,inf,245,238.60,inf,16,15.88,67,68,65.81,inf,1484,1486.47,inf,29,30.21,30,28.45,29,27,25.62,26,11,11.74,12
155,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,60,60.78,inf,102,105.50,inf,244,238.94,inf,16,15.91,67,69,66.43,inf,1483,1485.24,inf,29,30.20,30,28.71,29,27,25.85,26,12,11.87,12
160,1.0000,0.000000,0.000000,0.000227,0.000000,0.08,0.00,0,0,inf,59,60.84,inf,102,105.67,inf,247,239.26,inf,16,15.94,67,69,66.84,inf,1481,1484.25,inf,29,30.19,30,28.85,29,27,26.07,26,12,11.93,12
165,1.0000,0.000000,0.000000,0.000388,0.000000,0.08,0.00,0,0,inf,60,60.59,inf,101,105.60,inf,243,238.29,inf,16,15.94,67,69,66.81,inf,1485,1485.57,inf,29,30.19,30,28.89,29,27,25.86,26,12,12.05,12
170,1.0000,0.000000,0.000110,0.000309,0.000000,0.08,0.00,0,0,inf,59,60.43,inf,101,105.68,inf,244,237.67,inf,16,15.99,67,69,67.09,inf,1485,1485.96,inf,29,30.19,30,29.11,29,27,25.99,26,12,11.99,12
175,1.0000,0.000000,0.000000,0.000207,0.000000,0.08,0.00,0,0,inf,59,60.47,inf,101,105.81,inf,244,237.67,inf,16,16.00,67,69,66.78,inf,1485,1486.08,inf,29,30.17,30,28.78,29,27,26.06,26,12,11.94,12
180,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,59,60.22,inf,101,105.68,inf,243,236.58,inf,16,15.99,67,69,66.62,inf,1486,1487.72,inf,29,30.19,30,28.83,29,27,25.81,26,12,11.98,12
185,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,59,60.05,inf,101,105.71,inf,243,235.57,inf,16,16.02,67,69,66.24,inf,1486,1489.22,inf,29,30.20,30,28.68,29,27,25.68,26,12,11.88,12
190,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,59,60.13,inf,102,105.89,inf,243,235.74,inf,16,16.02,67,69,66.34,inf,1485,1488.71,inf,29,30.17,30,28.65,29,27,25.89,26,12,11.79,12
195,1.0000,0.000000,0.000000,0.000067,0.000000,0.08,0.00,0,0,inf,59,60.37,inf,102,105.91,inf,242,235.08,inf,16,16.10,67,68,66.42,inf,1487,1488.95,inf,29,30.15,29,28.47,29,27,26.02,26,12,11.93,12
200,1.0000,0.000000,0.000000,0.000808,0.000000,0.08,0.00,0,0,inf,60,60.34,inf,103,105.80,inf,241,233.74,inf,16,16.17,67,69,66.90,inf,1485,1489.88,inf,29,30.17,30,28.82,29,27,25.97,26,12,12.11,12
205,1.0000,0.000000,0.000000,0.000230,0.000000,0.08,0.00,0,0,inf,58,59.79,inf,102,105.71,inf,242,233.62,inf,16,16.06,67,69,66.68,inf,1487,1490.99,inf,29,30.15,30,29.08,29,27,25.88,26,12,11.72,12
210,1.0000,0.000000,0.000000,0.000326,0.000000,0.08,0.00,0,0,inf,59,60.14,inf,102,105.52,inf,242,234.10,inf,16,16.16,67,69,66.88,inf,1486,1490.06,inf,29,30.14,30,28.88,29,27,26.09,26,12,11.91,12
215,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,0,0,inf,59,60.15,inf,102,105.38,inf,241,233.68,inf,16,16.21,67,68,66.47,inf,1488,1490.97,inf,29,30.13,29,28.55,29,27,25.94,26,12,11.99,12
