dataset,metric,baseline,n,mean_diff,seeds_plus,p,verdict
tissue_L20-L50_MobileNetV3,F1,Fioretto-LDF,12,0.0024,9/12,0.0146,WIN
tissue_L20-L50_MobileNetV3,F1,Hounie-RCL,12,0.0031,10/12,0.0118,WIN
tissue_L20-L50_MobileNetV3,F1,TraLO-bounded,12,0.0029,8/12,0.0285,WIN
tissue_L20-L50_MobileNetV3,F1,DANITS-LP,12,0.0168,9/12,0.0002,WIN
tissue_L20-L50_MobileNetV3,F1,Heuristic,12,0.0166,9/12,0.0009,WIN
tissuemnist,Flips,Fioretto-LDF,60,7.0,45/60,0.0001,WIN
tissuemnist,Flips,Hounie-RCL,60,9.3333,52/60,0.0,WIN
tissuemnist,Flips,TraLO-bounded,60,8.55,53/60,0.0,WIN
tissuemnist,Flips,DANITS-LP,60,36.7833,40/60,0.0,WIN
tissuemnist,Flips,Heuristic,60,44.8333,55/60,0.0,WIN
dermmnist,Flips,Fioretto-LDF,220,6.3636,154/220,0.0,WIN
dermmnist,Flips,Hounie-RCL,220,9.9455,154/220,0.0,WIN
dermmnist,Flips,TraLO-bounded,220,5.7636,151/220,0.0,WIN
dermmnist,Flips,DANITS-LP,220,91.6545,213/220,0.0,WIN
dermmnist,Flips,Heuristic,220,92.35,217/220,0.0,WIN
aider,Flips,Fioretto-LDF,20,5.3,20/20,0.0,WIN
aider,Flips,Hounie-RCL,20,24.8,20/20,0.0,WIN
aider,Flips,TraLO-bounded,20,5.45,19/20,0.0,WIN
aider,Flips,DANITS-LP,20,52.65,20/20,0.0,WIN
aider,Flips,Heuristic,20,52.65,20/20,0.0,WIN
tissuemnist,F1,Fioretto-LDF,60,0.001,33/60,0.2886,tie
tissuemnist,F1,Hounie-RCL,60,0.0042,36/60,0.0054,WIN
tissuemnist,F1,TraLO-bounded,60,0.0019,35/60,0.0941,tie
tissuemnist,F1,DANITS-LP,60,0.0161,46/60,0.0,WIN
tissuemnist,F1,Heuristic,60,0.0151,43/60,0.0,WIN
dermmnist,F1,Fioretto-LDF,220,0.0001,108/220,0.8722,tie
dermmnist,F1,Hounie-RCL,220,0.0042,145/220,0.0,WIN
dermmnist,F1,TraLO-bounded,220,0.0004,117/220,0.4704,tie
dermmnist,F1,DANITS-LP,220,0.0074,139/220,0.0,WIN
dermmnist,F1,Heuristic,220,0.0071,139/220,0.0,WIN
aider,F1,Fioretto-LDF,20,0.0022,15/20,0.0,WIN
aider,F1,Hounie-RCL,20,0.0176,20/20,0.0,WIN
aider,F1,TraLO-bounded,20,0.0019,15/20,0.0123,WIN
aider,F1,DANITS-LP,20,-0.0051,3/20,0.0,loss
aider,F1,Heuristic,20,-0.005,3/20,0.0,loss
