backbone,dataset,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,satisfied_pct
ResNet18,tissuemnist,L20_G20,tralo,4,0.417025,0.013025,7.25,2.586,0.545,100.0
ResNet18,tissuemnist,L20_G20,tralo_bounded,4,0.4055,0.012107,15.25,6.3787,0.5302,100.0
ResNet18,tissuemnist,L20_G20,fioretto_ldf,4,0.41235,0.011472,11.0,3.3166,0.5329,100.0
ResNet18,tissuemnist,L20_G20,hounie_rcl,4,0.3889,0.019715,21.25,9.4967,0.520325,100.0
ResNet18,tissuemnist,L20_G20,danits_lp,4,0.395725,0.032744,67.5,6.1847,0.5152,0.0
ResNet18,tissuemnist,L20_G20,heuristic,4,0.396575,0.032648,67.5,6.1847,0.515525,0.0
ResNet18,tissuemnist,L30_G30,tralo,4,0.4286,0.008125,9.75,4.657,0.5444,100.0
ResNet18,tissuemnist,L30_G30,tralo_bounded,4,0.4248,0.011457,19.25,9.6792,0.5375,100.0
ResNet18,tissuemnist,L30_G30,fioretto_ldf,4,0.424225,0.013189,18.25,12.794,0.53865,100.0
ResNet18,tissuemnist,L30_G30,hounie_rcl,4,0.410575,0.015679,28.25,13.8271,0.529075,100.0
ResNet18,tissuemnist,L30_G30,danits_lp,4,0.406675,0.033796,50.5,6.1847,0.51895,0.0
ResNet18,tissuemnist,L30_G30,heuristic,4,0.4068,0.034269,50.5,6.1847,0.51885,0.0
ResNet18,tissuemnist,L50_G50,tralo,4,0.446175,0.012937,7.75,5.9739,0.55175,100.0
ResNet18,tissuemnist,L50_G50,tralo_bounded,4,0.439575,0.010893,30.25,16.4678,0.542275,100.0
ResNet18,tissuemnist,L50_G50,fioretto_ldf,4,0.443175,0.005714,19.5,11.6082,0.544375,100.0
ResNet18,tissuemnist,L50_G50,hounie_rcl,4,0.437325,0.012343,35.75,16.3612,0.541575,100.0
ResNet18,tissuemnist,L50_G50,danits_lp,4,0.415475,0.0362,15.75,6.0982,0.522275,0.0
ResNet18,tissuemnist,L50_G50,heuristic,4,0.417575,0.035293,17.5,5.1235,0.5232,0.0
ResNet18,tissuemnist,L70_G70,tralo,4,0.449,0.007929,12.75,5.6734,0.54625,100.0
ResNet18,tissuemnist,L70_G70,tralo_bounded,4,0.44445,0.009632,36.0,21.3424,0.544475,100.0
ResNet18,tissuemnist,L70_G70,fioretto_ldf,4,0.447675,0.006692,38.75,23.5093,0.5457,100.0
ResNet18,tissuemnist,L70_G70,hounie_rcl,4,0.449275,0.005343,21.75,12.0908,0.545525,100.0
ResNet18,tissuemnist,L70_G70,danits_lp,4,0.4173,0.037166,2.0,3.4641,0.52325,75.0
ResNet18,tissuemnist,L70_G70,heuristic,4,0.420875,0.034687,25.0,2.9155,0.524675,75.0
ResNet18,tissuemnist,L80_G80,tralo,4,0.442125,0.010809,13.75,1.299,0.546475,100.0
ResNet18,tissuemnist,L80_G80,tralo_bounded,4,0.4439,0.006597,23.0,8.6891,0.5428,100.0
ResNet18,tissuemnist,L80_G80,fioretto_ldf,4,0.4483,0.003789,22.5,8.3815,0.5456,100.0
ResNet18,tissuemnist,L80_G80,hounie_rcl,4,0.448625,0.003733,22.25,8.2576,0.5459,100.0
ResNet18,tissuemnist,L80_G80,danits_lp,4,0.417875,0.037303,0.0,0.0,0.52345,100.0
ResNet18,tissuemnist,L80_G80,heuristic,4,0.42095,0.035059,37.5,4.272,0.52445,100.0
