constrained_class,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
0,L20_G20,tralo,4,0.694125,0.006397,1.0000,1.4142,0.854825,0.002358,100.00
0,L20_G20,tralo_bounded,4,0.689450,0.004713,3.2500,0.9574,0.852825,0.002810,100.00
0,L20_G20,fioretto_ldf,4,0.690100,0.004408,4.0000,0.0000,0.852700,0.001472,100.00
0,L20_G20,hounie_rcl,4,0.677500,0.005738,7.7500,2.6300,0.845700,0.004143,100.00
0,L20_G20,heuristic,4,0.706300,0.009630,66.7500,11.9548,0.855950,0.004699,0.00
0,L20_G20,danits_lp,4,0.706050,0.009206,66.7500,11.9548,0.855950,0.004699,0.00
0,L30_G30,tralo,4,0.721375,0.014196,1.7500,2.8723,0.858950,0.004664,100.00
0,L30_G30,tralo_bounded,4,0.716575,0.007289,5.2500,1.2583,0.859200,0.001871,100.00
0,L30_G30,fioretto_ldf,4,0.723225,0.007991,5.2500,2.0616,0.859700,0.001472,100.00
0,L30_G30,hounie_rcl,4,0.708400,0.007603,10.2500,1.5000,0.852325,0.002926,100.00
0,L30_G30,heuristic,4,0.729425,0.008586,58.7500,11.9548,0.859200,0.004491,0.00
0,L30_G30,danits_lp,4,0.729425,0.008586,58.7500,11.9548,0.859200,0.004491,0.00
0,L50_G50,tralo,4,0.751275,0.011142,0.0000,0.0000,0.866325,0.002250,100.00
0,L50_G50,tralo_bounded,4,0.734900,0.018866,0.0000,0.0000,0.862450,0.002255,100.00
0,L50_G50,fioretto_ldf,4,0.735975,0.020209,0.0000,0.0000,0.863450,0.002533,100.00
0,L50_G50,hounie_rcl,4,0.733525,0.020439,0.0000,0.0000,0.861075,0.002898,100.00
0,L50_G50,heuristic,4,0.752550,0.006883,46.7500,11.9548,0.862825,0.004768,0.00
0,L50_G50,danits_lp,4,0.752550,0.006883,46.7500,11.9548,0.862825,0.004768,0.00
0,L70_G70,tralo,4,0.771450,0.014380,1.2500,1.8930,0.868700,0.003894,100.00
