constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
L20_G20,tralo,4,0.707725,0.013111,1.5000,1.9149,0.832775,0.005888,100.00
L20_G20,tralo_bounded,4,0.708550,0.015622,9.5000,1.0000,0.830150,0.007379,100.00
L20_G20,fioretto_ldf,4,0.707275,0.015083,11.2500,3.6856,0.829900,0.007417,100.00
L20_G20,hounie_rcl,4,0.700950,0.017366,13.5000,5.7446,0.826400,0.008458,100.00
L20_G20,heuristic,4,0.701550,0.018140,159.5000,7.1414,0.836000,0.005137,0.00
L20_G20,danits_lp,4,0.701550,0.018140,159.5000,7.1414,0.836000,0.005137,0.00
L30_G30,tralo,4,0.731825,0.009778,5.2500,5.5603,0.843575,0.003119,100.00
L30_G30,tralo_bounded,4,0.730575,0.014122,10.2500,2.5000,0.843200,0.004041,75.00
L30_G30,fioretto_ldf,4,0.731225,0.011096,10.0000,2.0000,0.843575,0.003705,75.00
L30_G30,hounie_rcl,4,0.728300,0.010684,16.7500,4.5000,0.841950,0.002958,100.00
L30_G30,heuristic,4,0.722025,0.017370,136.5000,7.1414,0.845575,0.005105,0.00
L30_G30,danits_lp,4,0.722025,0.017370,136.5000,7.1414,0.845575,0.005105,0.00
L50_G50,tralo,4,0.762400,0.010819,3.7500,3.8622,0.862325,0.002780,100.00
L50_G50,tralo_bounded,4,0.762550,0.009778,10.5000,2.0817,0.862200,0.001871,100.00
L50_G50,fioretto_ldf,4,0.762850,0.010442,12.0000,6.8313,0.862325,0.002175,100.00
L50_G50,hounie_rcl,4,0.761275,0.014924,15.2500,5.0580,0.861575,0.003705,100.00
L50_G50,heuristic,4,0.748525,0.018512,91.5000,7.1414,0.858450,0.006564,0.00
L50_G50,danits_lp,4,0.748200,0.018833,91.5000,7.1414,0.858325,0.006676,0.00
L70_G70,tralo,4,0.783750,0.006494,5.0000,1.8257,0.871825,0.001797,100.00
L70_G70,tralo_bounded,4,0.785525,0.004590,9.7500,4.9917,0.872200,0.002273,100.00
L70_G70,fioretto_ldf,4,0.785175,0.006058,13.2500,7.4106,0.871950,0.003122,100.00
L70_G70,hounie_rcl,4,0.786000,0.005799,12.5000,7.3258,0.872575,0.002250,100.00
L70_G70,heuristic,4,0.764975,0.014591,47.5000,7.1414,0.865325,0.005633,0.00
L70_G70,danits_lp,4,0.764800,0.014555,47.5000,7.1414,0.865325,0.005633,0.00
L80_G80,tralo,4,0.785625,0.008267,0.0000,0.0000,0.871575,0.003425,100.00
L80_G80,tralo_bounded,4,0.787700,0.005672,0.0000,0.0000,0.873200,0.003342,100.00
L80_G80,fioretto_ldf,4,0.787125,0.006182,0.2500,0.5000,0.872700,0.003674,75.00
L80_G80,hounie_rcl,4,0.790000,0.004577,0.0000,0.0000,0.874200,0.003082,100.00
L80_G80,heuristic,4,0.765700,0.015716,25.5000,7.1414,0.864450,0.004941,0.00
L80_G80,danits_lp,4,0.764700,0.014599,25.5000,7.1414,0.864200,0.004882,0.00
