Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Limit_Class8,Hard_Class8,Soft_Class8,Limit_Class9,Hard_Class9,Soft_Class9,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9982,0.005654,0.140120,0.275094,0.000000,0.05,0.05,0,0,inf,266,265.89,inf,267,266.97,inf,265,265.39,inf,222,222.48,111,214,214.29,inf,178,178.31,inf,234,232.73,inf,270,269.67,inf,216,216.18,inf,268,268.09,103,103.14,54,111,111.15,58
55,1.0000,0.000000,0.193828,0.380851,0.000000,0.06,0.06,0,0,inf,265,265.82,inf,267,267.12,inf,270,269.73,inf,220,220.74,111,219,217.51,inf,177,177.15,inf,229,229.33,inf,269,269.38,inf,216,215.51,inf,268,267.71,106,105.13,54,113,112.38,58
60,1.0000,0.000000,0.250267,0.490440,0.000000,0.07,0.07,0,0,inf,266,265.46,inf,267,267.16,inf,268,267.01,inf,222,222.33,111,211,211.23,inf,178,177.93,inf,233,233.60,inf,273,272.40,inf,215,215.17,inf,267,267.70,101,101.05,54,110,110.19,58
65,1.0000,0.000000,0.273104,0.531953,0.000000,0.08,0.08,0,0,inf,265,265.14,inf,267,267.23,inf,264,261.56,inf,223,223.66,111,195,195.80,inf,180,178.72,inf,241,243.43,inf,283,282.10,inf,215,214.51,inf,267,267.85,92,92.99,54,103,102.82,58
70,1.0000,0.000000,0.182220,0.350576,0.000000,0.09,0.09,0,0,inf,264,265.00,inf,267,267.20,inf,252,252.69,inf,225,226.42,111,165,163.68,inf,179,179.18,inf,261,260.34,inf,305,303.82,inf,214,213.45,inf,268,268.22,81,80.22,54,84,83.46,58
75,1.0000,0.000000,0.003228,0.004621,0.000000,0.10,0.10,0,0,inf,265,265.14,inf,266,266.88,inf,245,243.58,inf,230,229.38,111,116,113.91,inf,181,179.84,inf,275,276.64,inf,341,343.76,inf,212,212.09,inf,269,268.78,57,55.88,54,59,58.03,58
76,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,265,265.21,inf,267,266.83,inf,242,241.07,inf,230,228.91,111,100,101.53,inf,180,179.92,inf,279,279.69,inf,356,356.13,inf,212,211.79,inf,269,268.92,49,50.30,54,51,51.23,58
80,1.0000,0.000000,0.355344,0.692723,0.000000,0.08,0.08,0,0,inf,266,266.79,inf,267,267.14,inf,266,265.19,inf,222,221.61,111,201,199.29,inf,179,178.09,inf,236,239.13,inf,281,280.72,inf,215,214.23,inf,267,267.81,95,94.69,54,106,104.60,58
85,1.0000,0.000000,0.413857,0.802459,0.000000,0.10,0.10,0,0,inf,267,266.77,inf,267,267.10,inf,263,261.24,inf,220,221.72,111,184,183.52,inf,179,178.36,inf,248,248.55,inf,291,291.19,inf,214,213.62,inf,267,267.93,89,88.17,54,95,95.35,58
90,1.0000,0.000000,0.210260,0.401639,0.000000,0.10,0.10,0,0,inf,267,266.89,inf,266,266.94,inf,254,253.66,inf,222,222.99,111,156,153.66,inf,178,178.49,inf,264,262.91,inf,311,313.40,inf,214,212.72,inf,268,268.35,77,75.73,54,79,77.93,58
95,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.07,1,1,inf,268,267.22,inf,267,266.74,inf,247,244.39,inf,224,223.76,111,99,100.18,inf,178,178.58,inf,275,277.34,inf,362,361.39,inf,211,211.41,inf,269,268.99,49,49.34,54,50,50.84,58
100,1.0000,0.000000,0.598116,1.163411,0.000000,0.10,0.10,0,0,inf,267,266.43,inf,267,267.10,inf,266,264.51,inf,221,221.57,111,195,194.10,inf,179,178.28,inf,240,242.08,inf,283,284.17,inf,215,213.92,inf,267,267.85,92,92.32,54,103,101.77,58
105,1.0000,0.000000,0.447240,0.862750,0.000000,0.10,0.10,0,0,inf,267,266.51,inf,266,267.03,inf,259,258.61,inf,220,221.90,111,173,172.21,inf,179,178.51,inf,253,253.94,inf,302,300.09,inf,214,213.16,inf,267,268.03,84,83.76,54,89,88.45,58
110,1.0000,0.000000,0.068632,0.125364,0.000000,0.10,0.10,0,0,inf,267,266.65,inf,267,266.89,inf,250,250.19,inf,224,223.74,111,132,130.00,inf,179,178.71,inf,270,270.57,inf,331,332.65,inf,212,212.08,inf,268,268.53,64,63.77,54,68,66.22,58
112,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.07,1,1,inf,266,266.76,inf,267,266.83,inf,248,245.79,inf,224,223.71,111,104,106.37,inf,178,178.68,inf,276,276.46,inf,356,355.12,inf,212,211.48,inf,269,268.80,49,51.54,54,55,54.83,58
