dataset,model,cls,tight,method,n,K,group_col,acc,f1m_mean,f1m_std,f1c_mean,f1c_std,final_count,raw_count,flips,raw_excess,sat_rate,sat_epoch
dermmnist,EfficientNetB0,4,L50_G50,fioretto_ldf,5,112,sex,0.869,0.7700400000000001,0.010050024875591099,0.57268,0.024215428965847368,107.2,107.4,4.2,2.8,0.4,3.8
dermmnist,EfficientNetB0,4,L50_G50,hounie_rcl,5,112,sex,0.8798,0.7817000000000001,0.01039278595950094,0.61134,0.01372836479701791,112,163.4,51.4,102.8,0.0,
dermmnist,EfficientNetB0,4,L50_G50,tralo,5,112,sex,0.8691,0.77096,0.009334773698381751,0.57684,0.01197676918037583,105,105,0.0,0.0,1.0,64.4
dermmnist,MobileNetV3,4,L30_G30,fioretto_ldf,5,67,sex,0.8488,0.73938,0.008833289308066386,0.38146,0.014987928475943579,59,57.8,1.6,0.2,0.8,5.4
dermmnist,MobileNetV3,4,L30_G30,tralo,5,67,sex,0.84,0.72416,0.014044322696378066,0.37757999999999997,0.01814585352084602,58.6,57,2.0,0.2,0.8,66.5
dermmnist,MobileNetV3,4,L50_G50,fioretto_ldf,5,112,sex,0.8638,0.76628,0.00866152411530443,0.53372,0.0347188277451875,100.2,98.4,3.8,1.0,0.6,3.2
dermmnist,MobileNetV3,4,L50_G50,hounie_rcl,2,112,sex,0.8652,0.76885,0.0034648232278140937,0.5701499999999999,0.02114249275747772,112,154.5,42.5,85.0,0.0,
dermmnist,MobileNetV3,4,L50_G50,tralo,5,112,sex,0.8585,0.75788,0.009246458781609332,0.5339,0.00880000000000002,101.4,101.4,0.0,0.0,1.0,61.4
dermmnist,MobileNetV3,4,L70_G70,fioretto_ldf,5,156,sex,0.8719,0.78164,0.006836153889432283,0.6159,0.02156188767246505,133.4,133.4,0.0,0.0,1.0,2.0
dermmnist,MobileNetV3,4,L70_G70,tralo,5,156,sex,0.8696,0.77774,0.00809431899544363,0.63156,0.0132211194684868,148.2,147.4,1.6,0.4,0.8,56.75
dermmnist,ResNet18,4,L50_G50,fioretto_ldf,5,112,sex,0.8523999999999999,0.74724,0.015340730099965902,0.47600000000000003,0.01863129088388671,79.4,79.4,0.0,0.0,1.0,3.0
dermmnist,ResNet18,4,L50_G50,tralo,5,112,sex,0.8553999999999999,0.75142,0.009936397737610972,0.53262,0.03530052407542981,98.6,99.2,0.6,1.2,0.8,55.0
tissuemnist,EfficientNetB0,4,L50_G50,fioretto_ldf,5,86,synth_group,0.56326,0.44682,0.008563118590793893,0.26616,0.0513931707525426,56.2,56.2,0.0,0.0,1.0,3.0
tissuemnist,EfficientNetB0,4,L50_G50,tralo,5,86,synth_group,0.54344,0.43594,0.016014462213886548,0.3515,0.012763816043801307,77,77,0.0,0.0,1.0,70.4
tissuemnist,MobileNetV3,4,L20_G20,fioretto_ldf,5,34,synth_group,0.50492,0.34859999999999997,0.009753973549277225,0.08041999999999999,0.029542460967224786,20.4,21.6,1.2,2.4,0.8,5.8
tissuemnist,MobileNetV3,4,L20_G20,hounie_rcl,5,34,synth_group,0.4975,0.35938,0.013034262541471229,0.17756,0.023302961185222786,34,93.4,59.4,118.8,0.0,
tissuemnist,MobileNetV3,4,L20_G20,tralo,5,34,synth_group,0.5014,0.34932,0.007319289583012812,0.16048,0.03390909907384742,27.8,27.8,0.0,0.0,1.0,69.2
tissuemnist,MobileNetV3,4,L30_G30,fioretto_ldf,4,51,synth_group,0.50295,0.355525,0.011913123016237172,0.111525,0.011129353080929731,21.5,21.5,0.0,0.0,1.0,4.0
tissuemnist,MobileNetV3,4,L30_G30,tralo,2,51,synth_group,0.50435,0.36295,0.0010606601717798223,0.2383,0.001838477631085037,43,43,0.0,0.0,1.0,63.5
tissuemnist,MobileNetV3,4,L40_G40,fioretto_ldf,5,68,synth_group,0.5025000000000001,0.35863999999999996,0.010963940897323367,0.13702,0.041532842426205314,32,32,0.0,0.0,1.0,3.0
tissuemnist,MobileNetV3,4,L40_G40,hounie_rcl,5,68,synth_group,0.51266,0.3816,0.007769169839822023,0.27538,0.048673011001991645,65.2,91.2,26.0,51.2,0.2,
tissuemnist,MobileNetV3,4,L40_G40,tralo,5,68,synth_group,0.50342,0.36402,0.011875057894595713,0.26176,0.032846126103393075,61.4,61.8,0.4,0.4,0.8,61.0
tissuemnist,MobileNetV3,4,L50_G50,fioretto_ldf,4,86,synth_group,0.49729999999999996,0.35614999999999997,0.013294735800308318,0.143375,0.04164799915161991,33.25,33.25,0.0,0.0,1.0,3.0
tissuemnist,MobileNetV3,4,L50_G50,tralo,2,86,synth_group,0.5058,0.37405,0.00021213203435594088,0.32530000000000003,0.007495331880577403,75,75,0.0,0.0,1.0,56.0
tissuemnist,MobileNetV3,4,L60_G60,fioretto_ldf,5,103,synth_group,0.50192,0.36244,0.01202884034310872,0.18034,0.06262002874480335,43.6,43.6,0.0,0.0,1.0,2.8
tissuemnist,MobileNetV3,4,L60_G60,hounie_rcl,5,103,synth_group,0.50484,0.37764000000000003,0.007097041637189404,0.3239,0.021564786110694432,86.6,95.8,9.6,18.0,0.6,
