dataset,model,cls_path,constrained_classes,tight,method,n,K_total,raw_count_mean,new_count_mean,flips_mean,f1m_mean,f1m_std,f1c_mean,f1c_std,acc_mean
dermmnist,EfficientNetB0,cls_4,4,L50_G50,fioretto_ldf,5,112,107.4,110.4,7.8,0.7718711002273734,0.010742263552874028,0.5818448217798896,0.016654980125246258,0.8701947079380928
dermmnist,EfficientNetB0,cls_4,4,L50_G50,hounie_rcl,5,112,163.4,109.2,54.2,0.7802244905135145,0.010360244408151885,0.6032555926395081,0.009976896822376223,0.8788816774837743
dermmnist,EfficientNetB0,cls_4,4,L50_G50,tralo,5,112,105,112,7,0.7734649344668997,0.010378036073800794,0.595820895522388,0.01656649185135713,0.8709935097353969
dermmnist,MobileNetV3,cls_4,4,L30_G30,fioretto_ldf,5,67,57.8,66.8,9.4,0.7438239229544779,0.006137146808966234,0.40716859563297936,0.01431852403621181,0.8506240639041438
dermmnist,MobileNetV3,cls_4,4,L30_G30,tralo,5,67,57,66.8,10.2,0.7314144029980153,0.012418790023380522,0.4140699200572724,0.009271601168745137,0.8429355966050924
dermmnist,MobileNetV3,cls_4,4,L50_G50,fioretto_ldf,5,112,98.4,111,14.6,0.7711570683202363,0.009966661812718393,0.560465941004315,0.017465928960795813,0.8665002496255617
dermmnist,MobileNetV3,cls_4,4,L50_G50,hounie_rcl,2,112,154.5,111,43.5,0.7686721998615689,0.0041162344172784564,0.5688622754491017,0.01693668936973772,0.8652021967049426
dermmnist,MobileNetV3,cls_4,4,L50_G50,tralo,5,112,101.4,112,10.6,0.761840624519487,0.00860279701632882,0.5599999999999999,0.02169062940248948,0.8609086370444333
dermmnist,MobileNetV3,cls_4,4,L70_G70,fioretto_ldf,5,156,133.4,156,22.6,0.785458545435949,0.0071187792829118255,0.6364116094986808,0.018507311785488326,0.872291562656016
dermmnist,MobileNetV3,cls_4,4,L70_G70,tralo,5,156,147.4,155.6,9,0.7799639331087344,0.007693310190057844,0.6360000839847988,0.01955159330639644,0.8695956065901148
dermmnist,ResNet18,cls_4,4,L50_G50,fioretto_ldf,5,112,79.4,112,32.6,0.7544827299556108,0.015786644095879137,0.5325373134328358,0.017095905747195623,0.8561158262606091
dermmnist,ResNet18,cls_4,4,L50_G50,tralo,5,112,99.2,112,14,0.7579074359608264,0.01231270173426114,0.5695522388059702,0.014378023377662448,0.8588117823265102
so2sat,ResNet18,cls_7,7,L50_G50,fioretto_ldf,4,169,128.5,168,41.5,0.8575046408001551,0.004682758906583008,0.6274133707244075,0.027436060871003372,0.8790625
so2sat,ResNet18,cls_7,7,L50_G50,tralo,5,169,23.6,168.6,145.8,0.800413799844175,0.010125967173077963,0.5977220104310406,0.030690196064794513,0.8308333333333333
tissuemnist,EfficientNetB0,cls_4,4,L50_G50,fioretto_ldf,5,86,56.2,86,29.8,0.4504316410064009,0.005734602011932072,0.30505836575875483,0.026043891876547088,0.5625
tissuemnist,EfficientNetB0,cls_4,4,L50_G50,tralo,5,86,77,86,9,0.4376247183366118,0.016594824658340016,0.36731517509727624,0.006510972969136778,0.5436666666666666
tissuemnist,MobileNetV3,cls_1_4,"1,4",L50_G50,fioretto_ldf,3,142,56.666666666666664,142,85.33333333333333,0.3672057170439479,0.01474798822457109,0.1693105856529981,0.03277905856767671,0.49541666666666667
tissuemnist,MobileNetV3,cls_1_4,"1,4",L50_G50,hounie_rcl,3,142,124,138.33333333333334,40.333333333333336,0.38764791667146226,0.008302551492119836,0.1952988074291478,0.00433605204902498,0.5168055555555555
tissuemnist,MobileNetV3,cls_1_4,"1,4",L50_G50,tralo,3,142,99.66666666666667,142,42.333333333333336,0.37326792727473257,0.010622986917667472,0.20251882209379965,0.03636116586433284,0.49847222222222226
tissuemnist,MobileNetV3,cls_4,4,L20_G20,fioretto_ldf,5,34,21.6,33.8,15,0.3538586744938927,0.007051518742695358,0.11913916786226686,0.010664131761668475,0.5055
tissuemnist,MobileNetV3,cls_4,4,L20_G20,hounie_rcl,5,34,93.4,30.8,62.6,0.3576024198010216,0.011906912814126603,0.16447002031195218,0.018788780476981997,0.4969166666666667
tissuemnist,MobileNetV3,cls_4,4,L20_G20,tralo,5,34,27.8,34,6.2,0.35382309802022904,0.006115204545791079,0.19317073170731708,0.022247325367788055,0.5026666666666667
tissuemnist,MobileNetV3,cls_4,4,L30_G30,fioretto_ldf,4,51,21.5,51,29.5,0.3636124016457474,0.01151659275487971,0.18018018018018017,0.028488987929444858,0.5036458333333333
tissuemnist,MobileNetV3,cls_4,4,L30_G30,tralo,2,51,43,51,8,0.36608015418168205,0.0014746250343367732,0.26126126126126126,0.012740662724081964,0.5052083333333333
tissuemnist,MobileNetV3,cls_4,4,L40_G40,fioretto_ldf,5,68,32,68,36,0.367263208538814,0.012539308378618927,0.21422594142259413,0.05178827931971816,0.5033333333333333
tissuemnist,MobileNetV3,cls_4,4,L40_G40,hounie_rcl,5,68,91.2,65.4,31,0.3815922795871605,0.006217356720173324,0.27607674064709925,0.03523127508972438,0.5125833333333334
tissuemnist,MobileNetV3,cls_4,4,L40_G40,tralo,5,68,61.8,67.6,6.6,0.36593805579980626,0.010752951793958328,0.2749289409106156,0.036096511175710694,0.5039166666666667
tissuemnist,MobileNetV3,cls_4,4,L50_G50,fioretto_ldf,4,86,33.25,86,52.75,0.3708064101769703,0.010626324586838322,0.25680933852140075,0.04962678721065886,0.4997916666666667
tissuemnist,MobileNetV3,cls_4,4,L50_G50,tralo,2,86,75,86,11,0.3759324690897289,0.00017510970363472696,0.33852140077821014,0.016508329521864904,0.50625
tissuemnist,MobileNetV3,cls_4,4,L60_G60,fioretto_ldf,5,103,43.6,102,58.4,0.3748550655479125,0.01386373707708468,0.27692307692307694,0.04615966007918935,0.5034166666666666
tissuemnist,MobileNetV3,cls_4,4,L60_G60,hounie_rcl,5,103,95.8,100.2,26.4,0.38120467849030004,0.004341347334490907,0.34937446386392,0.03461559567169398,0.5063333333333333
tissuemnist,MobileNetV3,cls_4,4,L60_G60,tralo,5,103,89,102,13,0.37361879958304034,0.012175062201601769,0.3194139194139194,0.04163596260331962,0.5045000000000001
tissuemnist,MobileNetV3,cls_4,4,L70_G70,fioretto_ldf,4,120,51.25,120,68.75,0.3834811205289895,0.009884746904935324,0.30584192439862545,0.03987833948574848,0.5117708333333333
tissuemnist,MobileNetV3,cls_4,4,L70_G70,tralo,2,120,87.5,120,32.5,0.37736727337475584,0.0003809551625369439,0.3848797250859106,0.02915904252315661,0.5072916666666667
tissuemnist,MobileNetV3,cls_4,4,L80_G80,fioretto_ldf,5,137,68.2,137,68.8,0.38496587795117493,0.012506951297948852,0.33766233766233766,0.0474959053192461,0.5081666666666667
tissuemnist,MobileNetV3,cls_4,4,L80_G80,hounie_rcl,5,137,95.6,137,41.4,0.3833293053417937,0.013531561185532408,0.35454545454545455,0.06647524099776482,0.5125833333333333
tissuemnist,MobileNetV3,cls_4,4,L80_G80,tralo,5,137,104,137,33,0.37578281768102434,0.013122731938086987,0.35194805194805195,0.05182615568632445,0.5044166666666666
tissuemnist,ResNet18,cls_4,4,L50_G50,fioretto_ldf,5,86,51.8,86,34.2,0.4497382127423399,0.013504275646894307,0.31439688715953307,0.02615990087777682,0.57075
tissuemnist,ResNet18,cls_4,4,L50_G50,tralo,5,86,58,85.4,28.6,0.4273590494116542,0.027900685400292936,0.39311866172370474,0.007632293185611909,0.5339166666666667
