dataset,model,cls,true_count,pred_count,pred_over_true,mean_prob_c,K_at_L30,K_at_L50,K_at_L70,bites_L30,bites_L50,bites_L70,n_classes
tissuemnist,MobileNetV3,0,770,236,0.306,0.1277,231,385,539,1,0,0,8
tissuemnist,MobileNetV3,1,113,3,0.027,0.1222,33,56,79,0,0,0,8
tissuemnist,MobileNetV3,2,85,2,0.024,0.1221,25,42,59,0,0,0,8
tissuemnist,MobileNetV3,3,223,396,1.776,0.1297,66,111,156,1,1,1,8
tissuemnist,MobileNetV3,4,171,2,0.012,0.1209,51,85,119,0,0,0,8
tissuemnist,MobileNetV3,5,112,0,0.0,0.116,33,56,78,0,0,0,8
tissuemnist,MobileNetV3,6,569,96,0.169,0.1276,170,284,398,0,0,0,8
tissuemnist,MobileNetV3,7,357,1665,4.664,0.1338,107,178,249,1,1,1,8
tissuemnist,ResNet18,0,770,0,0.0,0.0764,231,385,539,0,0,0,8
tissuemnist,ResNet18,1,113,905,8.009,0.1792,33,56,79,1,1,1,8
tissuemnist,ResNet18,2,85,3,0.035,0.1175,25,42,59,0,0,0,8
tissuemnist,ResNet18,3,223,79,0.354,0.1221,66,111,156,1,0,0,8
tissuemnist,ResNet18,4,171,77,0.45,0.1247,51,85,119,1,0,0,8
tissuemnist,ResNet18,5,112,0,0.0,0.0811,33,56,78,0,0,0,8
tissuemnist,ResNet18,6,569,1330,2.337,0.1845,170,284,398,1,1,1,8
tissuemnist,ResNet18,7,357,6,0.017,0.1147,107,178,249,0,0,0,8
tissuemnist,EfficientNetB0,0,770,229,0.297,0.1499,231,385,539,0,0,0,8
tissuemnist,EfficientNetB0,1,113,20,0.177,0.1059,33,56,79,0,0,0,8
tissuemnist,EfficientNetB0,2,85,32,0.376,0.1274,25,42,59,1,0,0,8
tissuemnist,EfficientNetB0,3,223,1,0.004,0.0995,66,111,156,0,0,0,8
tissuemnist,EfficientNetB0,4,171,0,0.0,0.0875,51,85,119,0,0,0,8
tissuemnist,EfficientNetB0,5,112,0,0.0,0.105,33,56,78,0,0,0,8
tissuemnist,EfficientNetB0,6,569,85,0.149,0.138,170,284,398,0,0,0,8
tissuemnist,EfficientNetB0,7,357,2033,5.695,0.1868,107,178,249,1,1,1,8
dermmnist,MobileNetV3,0,65,374,5.754,0.1494,19,32,45,1,1,1,7
dermmnist,MobileNetV3,1,103,1105,10.728,0.1551,30,51,72,1,1,1,7
