dataset,model,cls,true_count,pred_count,ratio,mean_prob_c,K_L30,K_L50,K_L70,bites_L30,bites_L50,bites_L70,base_model_id
tissuemnist,MobileNetV3,0,770,15,0.019,0.1256,231,385,539,0,0,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,1,113,2,0.018,0.12,33,56,79,0,0,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,2,85,100,1.176,0.127,25,42,59,1,1,1,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,3,223,1,0.004,0.1215,66,111,156,0,0,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,4,171,0,0.0,0.1193,51,85,119,0,0,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,5,112,44,0.393,0.127,33,56,78,1,0,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,6,569,2046,3.596,0.1359,170,284,398,1,1,1,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,MobileNetV3,7,357,192,0.538,0.1237,107,178,249,1,1,0,MobileNetV3_tissuemnist_9be5abb3b042
tissuemnist,ResNet18,0,770,20,0.026,0.1159,231,385,539,0,0,0,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,1,113,1636,14.478,0.1961,33,56,79,1,1,1,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,2,85,308,3.624,0.1473,25,42,59,1,1,1,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,3,223,217,0.973,0.1471,66,111,156,1,1,1,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,4,171,4,0.023,0.0912,51,85,119,0,0,0,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,5,112,0,0.0,0.0984,33,56,78,0,0,0,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,6,569,0,0.0,0.0541,170,284,398,0,0,0,ResNet18_tissuemnist_34fbf261126b
tissuemnist,ResNet18,7,357,215,0.602,0.15,107,178,249,1,1,0,ResNet18_tissuemnist_34fbf261126b
tissuemnist,EfficientNetB0,0,770,121,0.157,0.1336,231,385,539,0,0,0,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,1,113,222,1.965,0.1289,33,56,79,1,1,1,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,2,85,6,0.071,0.0983,25,42,59,0,0,0,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,3,223,362,1.623,0.14,66,111,156,1,1,1,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,4,171,1557,9.105,0.1711,51,85,119,1,1,1,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,5,112,126,1.125,0.1192,33,56,78,1,1,1,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,6,569,5,0.009,0.1143,170,284,398,0,0,0,EfficientNetB0_tissuemnist_b8e468b8ea1d
tissuemnist,EfficientNetB0,7,357,1,0.003,0.0946,107,178,249,0,0,0,EfficientNetB0_tissuemnist_b8e468b8ea1d
dermmnist,MobileNetV3,0,65,403,6.2,0.15,19,32,45,1,1,1,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,1,103,1179,11.447,0.1542,30,51,72,1,1,1,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,2,220,25,0.114,0.1392,66,110,154,0,0,0,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,3,23,110,4.783,0.1421,6,11,16,1,1,1,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,4,223,6,0.027,0.1324,66,111,156,0,0,0,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,5,1341,155,0.116,0.1404,402,670,938,0,0,0,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,MobileNetV3,6,28,125,4.464,0.1416,8,14,19,1,1,1,MobileNetV3_dermmnist_fdce92eb5177
dermmnist,ResNet18,0,65,0,0.0,0.0755,19,32,45,0,0,0,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,1,103,796,7.728,0.2057,30,51,72,1,1,1,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,2,220,243,1.105,0.1478,66,110,154,1,1,1,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,3,23,201,8.739,0.1642,6,11,16,1,1,1,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,4,223,400,1.794,0.1758,66,111,156,1,1,1,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,5,1341,363,0.271,0.1715,402,670,938,0,0,0,ResNet18_dermmnist_31ed754a92b5
dermmnist,ResNet18,6,28,0,0.0,0.0596,8,14,19,0,0,0,ResNet18_dermmnist_31ed754a92b5
dermmnist,EfficientNetB0,0,65,133,2.046,0.1316,19,32,45,1,1,1,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,1,103,1247,12.107,0.1979,30,51,72,1,1,1,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,2,220,11,0.05,0.1079,66,110,154,0,0,0,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,3,23,85,3.696,0.14,6,11,16,1,1,1,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,4,223,193,0.865,0.1384,66,111,156,1,1,1,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,5,1341,74,0.055,0.1252,402,670,938,0,0,0,EfficientNetB0_dermmnist_0d55d03bda64
dermmnist,EfficientNetB0,6,28,260,9.286,0.159,8,14,19,1,1,1,EfficientNetB0_dermmnist_0d55d03bda64
so2sat,MobileNetV3,0,25,433,17.32,0.0619,7,12,17,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,1,125,1,0.008,0.0559,37,62,87,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,2,234,184,0.786,0.0603,70,117,163,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,3,84,638,7.595,0.0617,25,42,58,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,4,75,26,0.347,0.0593,22,37,52,1,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,5,190,89,0.468,0.0599,57,95,133,1,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,6,47,2,0.043,0.0554,14,23,32,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,7,338,11,0.033,0.0582,101,169,236,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,8,190,37,0.195,0.0597,57,95,133,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,9,86,4,0.047,0.0579,25,43,60,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,10,228,569,2.496,0.0612,68,114,159,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,11,38,111,2.921,0.0595,11,19,26,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,12,120,11,0.092,0.0569,36,60,84,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,13,273,2,0.007,0.0572,81,136,191,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,14,20,187,9.35,0.0593,6,10,14,1,1,1,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,15,67,28,0.418,0.0564,20,33,46,1,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,MobileNetV3,16,260,67,0.258,0.0593,78,130,182,0,0,0,MobileNetV3_so2sat_2324b479b3dd
so2sat,ResNet18,0,25,8,0.32,0.06,7,12,17,1,0,0,ResNet18_so2sat_4b75064a525d
so2sat,ResNet18,1,125,56,0.448,0.0602,37,62,87,1,0,0,ResNet18_so2sat_4b75064a525d
