Constraint,Course_ID,Config,Satisfaction_Rate,Satisfied,Violated,Overprediction
"(0.4, 0.2)",1,arch_deep,1.0,0,0,0
"(0.4, 0.2)",1,dropout_high,1.0,0,0,0
"(0.4, 0.2)",1,lambda_high,1.0,0,0,0
"(0.4, 0.2)",1,very_deep_baseline,1.0,0,0,0
"(0.4, 0.2)",2,arch_deep,1.0,2,0,0
"(0.4, 0.2)",2,dropout_high,1.0,2,0,0
"(0.4, 0.2)",2,lambda_high,1.0,2,0,0
"(0.4, 0.2)",2,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",3,arch_deep,1.0,2,0,0
"(0.4, 0.2)",3,dropout_high,1.0,2,0,0
"(0.4, 0.2)",3,lambda_high,1.0,2,0,0
"(0.4, 0.2)",3,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",4,arch_deep,1.0,2,0,0
"(0.4, 0.2)",4,dropout_high,1.0,2,0,0
"(0.4, 0.2)",4,lambda_high,1.0,2,0,0
"(0.4, 0.2)",4,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",5,arch_deep,1.0,2,0,0
"(0.4, 0.2)",5,dropout_high,1.0,2,0,0
"(0.4, 0.2)",5,lambda_high,1.0,2,0,0
"(0.4, 0.2)",5,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",6,arch_deep,1.0,2,0,0
"(0.4, 0.2)",6,dropout_high,1.0,2,0,0
"(0.4, 0.2)",6,lambda_high,1.0,2,0,0
"(0.4, 0.2)",6,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",7,arch_deep,1.0,2,0,0
"(0.4, 0.2)",7,dropout_high,1.0,2,0,0
"(0.4, 0.2)",7,lambda_high,1.0,2,0,0
"(0.4, 0.2)",7,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",8,arch_deep,1.0,2,0,0
"(0.4, 0.2)",8,dropout_high,1.0,2,0,0
"(0.4, 0.2)",8,lambda_high,1.0,2,0,0
"(0.4, 0.2)",8,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",9,arch_deep,1.0,2,0,0
"(0.4, 0.2)",9,dropout_high,1.0,2,0,0
"(0.4, 0.2)",9,lambda_high,1.0,2,0,0
"(0.4, 0.2)",9,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",10,arch_deep,1.0,2,0,0
"(0.4, 0.2)",10,dropout_high,1.0,2,0,0
"(0.4, 0.2)",10,lambda_high,1.0,2,0,0
"(0.4, 0.2)",10,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",11,arch_deep,1.0,2,0,0
"(0.4, 0.2)",11,dropout_high,1.0,2,0,0
"(0.4, 0.2)",11,lambda_high,1.0,2,0,0
"(0.4, 0.2)",11,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",12,arch_deep,1.0,2,0,0
"(0.4, 0.2)",12,dropout_high,1.0,2,0,0
"(0.4, 0.2)",12,lambda_high,1.0,2,0,0
"(0.4, 0.2)",12,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",13,arch_deep,1.0,2,0,0
"(0.4, 0.2)",13,dropout_high,1.0,2,0,0
"(0.4, 0.2)",13,lambda_high,1.0,2,0,0
"(0.4, 0.2)",13,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",14,arch_deep,1.0,2,0,0
"(0.4, 0.2)",14,dropout_high,1.0,2,0,0
"(0.4, 0.2)",14,lambda_high,1.0,2,0,0
"(0.4, 0.2)",14,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",15,arch_deep,1.0,2,0,0
"(0.4, 0.2)",15,dropout_high,1.0,2,0,0
"(0.4, 0.2)",15,lambda_high,1.0,2,0,0
"(0.4, 0.2)",15,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",16,arch_deep,1.0,2,0,0
"(0.4, 0.2)",16,dropout_high,1.0,2,0,0
"(0.4, 0.2)",16,lambda_high,1.0,2,0,0
"(0.4, 0.2)",16,very_deep_baseline,1.0,2,0,0
"(0.4, 0.2)",17,arch_deep,1.0,2,0,0
"(0.4, 0.2)",17,dropout_high,1.0,2,0,0
"(0.4, 0.2)",17,lambda_high,1.0,2,0,0
"(0.4, 0.2)",17,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",1,arch_deep,1.0,0,0,0
"(0.5, 0.3)",1,dropout_high,1.0,0,0,0
"(0.5, 0.3)",1,lambda_high,1.0,0,0,0
"(0.5, 0.3)",1,very_deep_baseline,1.0,0,0,0
"(0.5, 0.3)",1,very_deep_extreme_lambda,1.0,0,0,0
"(0.5, 0.3)",2,arch_deep,1.0,2,0,0
"(0.5, 0.3)",2,dropout_high,1.0,2,0,0
"(0.5, 0.3)",2,lambda_high,1.0,2,0,0
"(0.5, 0.3)",2,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",2,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",3,arch_deep,1.0,2,0,0
"(0.5, 0.3)",3,dropout_high,1.0,2,0,0
"(0.5, 0.3)",3,lambda_high,1.0,2,0,0
"(0.5, 0.3)",3,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",3,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",4,arch_deep,1.0,2,0,0
"(0.5, 0.3)",4,dropout_high,1.0,2,0,0
"(0.5, 0.3)",4,lambda_high,1.0,2,0,0
"(0.5, 0.3)",4,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",4,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",5,arch_deep,1.0,2,0,0
"(0.5, 0.3)",5,dropout_high,1.0,2,0,0
"(0.5, 0.3)",5,lambda_high,1.0,2,0,0
"(0.5, 0.3)",5,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",5,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",6,arch_deep,1.0,2,0,0
"(0.5, 0.3)",6,dropout_high,1.0,2,0,0
"(0.5, 0.3)",6,lambda_high,1.0,2,0,0
"(0.5, 0.3)",6,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",6,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",7,arch_deep,1.0,2,0,0
"(0.5, 0.3)",7,dropout_high,1.0,2,0,0
"(0.5, 0.3)",7,lambda_high,1.0,2,0,0
"(0.5, 0.3)",7,very_deep_baseline,1.0,2,0,0
"(0.5, 0.3)",7,very_deep_extreme_lambda,1.0,2,0,0
"(0.5, 0.3)",8,arch_deep,1.0,2,0,0
"(0.5, 0.3)",8,dropout_high,1.0,2,0,0
"(0.5, 0.3)",8,lambda_high,1.0,2,0,0
