Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.646850,0.785325,0.562331,0.00,0.00,0,0,28,16,inf,139,24,279,135.29,71.95,234.76,107.29,55.95,0.00,2,17,0,5,10.49,3.64,7.87
6,0.610104,0.788264,0.609391,0.00,0.00,0,0,28,16,inf,116,44,282,125.72,79.70,236.58,97.72,63.70,0.00,2,9,0,13,8.33,3.79,9.88
9,0.592476,0.786836,0.591461,0.00,0.00,0,0,28,16,inf,111,53,278,123.44,80.20,238.36,95.44,64.20,0.00,2,8,0,14,7.53,3.95,10.52
12,0.572549,0.794661,0.571147,0.00,0.00,0,0,28,16,inf,130,46,266,134.25,79.16,228.59,106.25,63.16,0.00,2,15,0,7,9.53,3.17,9.31
15,0.557669,0.794948,0.581278,0.00,0.00,0,0,28,16,inf,120,58,264,130.83,81.60,229.57,102.83,65.60,0.00,2,12,0,10,9.15,3.22,9.63
18,0.551853,0.777312,0.588329,0.00,0.00,0,0,28,16,inf,116,52,274,123.57,73.13,245.30,95.57,57.13,0.00,2,11,1,10,9.49,2.79,9.71
21,0.543613,0.797774,0.586298,0.00,0.00,0,0,28,16,inf,130,54,258,139.14,78.73,224.13,111.14,62.73,0.00,2,9,1,12,8.59,3.50,9.91
24,0.536706,0.796157,0.581753,0.00,0.00,0,0,28,16,inf,133,54,255,133.97,80.53,227.50,105.97,64.53,0.00,2,10,0,12,8.34,3.59,10.08
27,0.518256,0.797037,0.610190,0.00,0.00,0,0,28,16,inf,125,63,254,134.73,80.77,226.50,106.73,64.77,0.00,2,12,0,10,8.77,2.96,10.27
30,0.518511,0.795227,0.584332,0.00,0.00,0,0,28,16,inf,123,59,260,133.73,79.93,228.34,105.73,63.93,0.00,2,8,1,13,8.30,3.06,10.64
33,0.516215,0.790334,0.556241,0.00,0.00,0,0,28,16,inf,118,57,267,128.77,79.25,233.98,100.77,63.25,0.00,2,8,0,14,7.46,3.81,10.73
36,0.501074,0.791280,0.564736,0.00,0.00,0,0,28,16,inf,121,58,263,132.64,77.54,231.82,104.64,61.54,0.00,2,7,1,14,7.59,4.04,10.37
39,0.494257,0.781363,0.574135,0.00,0.00,0,0,28,16,inf,115,53,274,126.84,73.90,241.27,98.84,57.90,0.00,2,6,1,15,7.60,3.61,10.79
42,0.495086,0.789141,0.573771,0.00,0.00,0,0,28,16,inf,114,58,270,127.03,79.49,235.49,99.03,63.49,0.00,2,8,1,13,7.47,3.88,10.65
45,0.500916,0.794217,0.606827,0.00,0.00,0,0,28,16,inf,113,71,258,131.76,80.37,229.86,103.76,64.37,0.00,2,11,1,10,9.22,2.61,10.17
48,0.498187,0.774752,0.571531,0.00,0.00,0,0,28,16,inf,117,50,275,126.52,69.81,245.67,98.52,53.81,0.00,2,7,0,15,8.01,2.91,11.08
51,0.479903,0.790164,0.597774,0.00,0.00,0,0,28,16,inf,111,73,258,127.13,80.23,234.64,99.13,64.23,0.00,2,8,1,13,8.58,3.22,10.20
54,0.487017,0.790966,0.599200,0.00,0.00,0,0,28,16,inf,112,68,262,127.66,80.51,233.83,99.66,64.51,0.00,2,7,1,14,7.73,3.62,10.65
57,0.475125,0.797484,0.600440,0.00,0.00,0,0,28,16,inf,121,64,257,137.24,79.60,225.16,109.24,63.60,0.00,2,9,1,12,8.42,3.01,10.57
