Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.650776,0.470480,0.384938,0.00,0.00,0,0,71,40,inf,124,46,272,132.38,76.52,233.09,61.38,36.52,0.00,2,8,0,14,8.05,4.66,9.29
6,0.597863,0.480022,0.396031,0.00,0.00,0,0,71,40,inf,120,57,265,128.63,81.97,231.40,57.63,41.97,0.00,2,10,0,12,8.75,3.96,9.29
9,0.583224,0.513143,0.411559,0.00,0.00,0,0,71,40,inf,145,49,248,144.23,83.08,214.69,73.23,43.08,0.00,2,14,0,8,10.25,3.72,8.03
12,0.560448,0.464262,0.436734,0.00,0.00,0,0,71,40,inf,127,43,272,130.62,75.77,235.61,59.62,35.77,0.00,2,11,0,11,8.86,3.58,9.55
15,0.560069,0.485206,0.441382,0.00,0.00,0,0,71,40,inf,124,58,260,127.31,84.77,229.93,56.31,44.77,0.00,2,14,1,7,9.99,3.66,8.35
18,0.530379,0.474700,0.414906,0.00,0.00,0,0,71,40,inf,117,55,270,128.02,80.64,233.33,57.02,40.64,0.00,2,7,1,14,8.11,3.75,10.15
21,0.530149,0.508448,0.414821,0.00,0.00,0,0,71,40,inf,137,54,251,140.46,83.75,217.79,69.46,43.75,0.00,2,13,1,8,9.63,3.83,8.54
24,0.528931,0.455491,0.412054,0.00,0.00,0,0,71,40,inf,121,48,273,131.99,72.58,237.43,60.99,32.58,0.00,2,6,1,15,6.95,4.18,10.87
27,0.524422,0.479031,0.421135,0.00,0.00,0,0,71,40,inf,117,61,264,129.79,80.82,231.38,58.79,40.82,0.00,2,9,1,12,8.38,4.10,9.53
30,0.495476,0.461704,0.422339,0.00,0.00,0,0,71,40,inf,118,59,265,129.43,75.75,236.82,58.43,35.75,0.00,2,9,1,12,8.65,2.97,10.38
33,0.507163,0.460982,0.392597,0.00,0.00,0,0,71,40,inf,128,45,269,137.84,71.05,233.10,66.84,31.05,0.00,2,8,1,13,9.47,2.81,9.72
36,0.484575,0.504715,0.456245,0.00,0.00,0,0,71,40,inf,121,71,250,133.79,86.98,221.23,62.79,46.98,0.00,2,10,1,11,9.50,3.27,9.23
39,0.472415,0.451779,0.391924,0.00,0.00,0,0,71,40,inf,119,50,273,124.95,75.73,241.32,53.95,35.73,0.00,2,9,1,12,8.77,3.41,9.81
42,0.475932,0.481770,0.424338,0.00,0.00,0,0,71,40,inf,124,57,261,137.40,76.96,227.63,66.40,36.96,0.00,2,6,1,15,8.62,3.74,9.64
45,0.477783,0.474447,0.417960,0.00,0.00,0,0,71,40,inf,121,55,266,133.28,77.16,231.56,62.28,37.16,0.00,2,9,1,12,8.93,3.06,10.01
48,0.465676,0.488004,0.443746,0.00,0.00,0,0,71,40,inf,114,66,262,130.45,83.38,228.17,59.45,43.38,0.00,2,6,1,15,8.05,3.42,10.53
51,0.474754,0.468158,0.396749,0.00,0.00,0,0,71,40,inf,124,52,266,132.54,75.76,233.70,61.54,35.76,0.00,2,11,1,10,8.97,3.14,9.89
54,0.459689,0.458525,0.396063,0.00,0.00,0,0,71,40,inf,124,50,268,130.63,74.15,237.22,59.63,34.15,0.00,2,7,1,14,8.57,3.32,10.12
57,0.451886,0.495824,0.415534,0.00,0.00,0,0,71,40,inf,120,69,253,130.87,85.87,225.26,59.87,45.87,0.00,2,6,1,15,7.45,4.00,10.55
60,0.439184,0.450949,0.394655,0.00,0.00,0,0,71,40,inf,116,57,269,124.80,75.59,241.61,53.80,35.59,0.00,2,7,1,14,8.08,3.20,10.71
63,0.433204,0.476397,0.430853,0.00,0.00,0,0,71,40,inf,118,64,260,130.79,79.31,231.90,59.79,39.31,0.00,2,6,1,15,8.45,3.29,10.26
66,0.443148,0.486336,0.420555,0.00,0.00,0,0,71,40,inf,118,60,264,134.41,80.15,227.44,63.41,40.15,0.00,2,10,1,11,10.08,2.74,9.18
69,0.434911,0.475020,0.422814,0.00,0.00,0,0,71,40,inf,118,61,263,131.32,78.54,232.14,60.32,38.54,0.00,2,6,1,15,8.57,3.31,10.12
72,0.428123,0.460794,0.428079,0.00,0.00,0,0,71,40,inf,119,58,265,129.34,75.54,237.11,58.34,35.54,0.00,2,5,1,16,7.62,3.81,10.57
75,0.412476,0.459465,0.406668,0.00,0.00,0,0,71,40,inf,123,55,264,133.02,73.08,235.90,62.02,33.08,0.00,2,11,1,10,9.96,2.97,9.07
78,0.402222,0.472729,0.433045,0.00,0.00,0,0,71,40,inf,127,58,257,135.53,75.38,231.09,64.53,35.38,0.00,2,12,1,9,10.41,2.65,8.94
81,0.408459,0.488474,0.432663,0.00,0.00,0,0,71,40,inf,125,68,249,138.43,78.41,225.16,67.43,38.41,0.00,2,9,1,12,9.69,3.37,8.93
84,0.393615,0.478997,0.416003,0.00,0.00,0,0,71,40,inf,125,66,251,133.80,78.22,229.98,62.80,38.22,0.00,2,9,1,12,9.18,3.37,9.45
87,0.371696,0.468826,0.396370,0.00,0.00,0,0,71,40,inf,112,70,260,122.29,83.03,236.68,51.29,43.03,0.00,2,7,1,14,8.41,3.11,10.47
90,0.393764,0.474925,0.411383,0.00,0.00,0,0,71,40,inf,122,66,254,133.40,77.23,231.37,62.40,37.23,0.00,2,6,1,15,8.67,3.31,10.02
93,0.398129,0.468080,0.360317,0.00,0.00,0,0,71,40,inf,115,66,261,124.77,80.84,236.39,53.77,40.84,0.00,2,7,1,14,8.77,2.99,10.24
96,0.361340,0.478299,0.419936,0.00,0.00,0,0,71,40,inf,113,77,252,122.08,86.61,233.30,51.08,46.61,0.00,2,8,1,13,8.40,3.46,10.14
99,0.379639,0.517161,0.418856,0.00,0.00,0,0,71,40,inf,134,78,230,137.89,88.74,215.38,66.89,48.74,0.00,2,13,1,8,10.94,3.08,7.98
102,0.373414,0.476157,0.388368,0.00,0.00,0,0,71,40,inf,119,69,254,123.84,84.32,233.84,52.84,44.32,0.00,2,10,1,11,9.44,3.12,9.44
105,0.394580,0.489721,0.403506,0.00,0.00,0,0,71,40,inf,128,68,246,137.90,79.10,225.00,66.90,39.10,0.00,2,10,1,11,10.21,2.67,9.12
108,0.349828,0.472643,0.419019,0.00,0.00,0,0,71,40,inf,126,61,255,135.40,75.42,231.18,64.40,35.42,0.00,2,10,1,11,10.37,2.26,9.37
111,0.348852,0.465625,0.365526,0.00,0.00,0,0,71,40,inf,116,73,253,122.93,81.44,237.64,51.93,41.44,0.00,2,8,1,13,8.33,3.35,10.32
114,0.366735,0.463854,0.393203,0.00,0.00,0,0,71,40,inf,117,69,256,123.57,80.37,238.06,52.57,40.37,0.00,2,9,1,12,9.02,2.67,10.31
117,0.339075,0.460238,0.387729,0.00,0.00,0,0,71,40,inf,118,66,258,125.04,78.17,238.79,54.04,38.17,0.00,2,9,1,12,8.33,2.99,10.68
120,0.347032,0.439292,0.382880,0.00,0.00,0,0,71,40,inf,117,60,265,124.47,72.59,244.93,53.47,32.59,0.00,2,9,1,12,9.24,2.98,9.78
123,0.347928,0.469707,0.375425,0.00,0.00,0,0,71,40,inf,120,68,254,131.50,76.83,233.68,60.50,36.83,0.00,2,9,2,11,9.50,3.17,9.33
126,0.348755,0.483661,0.418413,0.00,0.00,0,0,71,40,inf,129,66,247,132.65,80.41,228.94,61.65,40.41,0.00,2,13,1,8,10.43,3.10,8.48
129,0.324833,0.478198,0.394041,0.00,0.00,0,0,71,40,inf,118,74,250,126.38,83.02,232.60,55.38,43.02,0.00,2,9,2,11,9.52,3.18,9.29
132,0.326334,0.439966,0.347720,0.00,0.00,0,0,71,40,inf,119,58,265,125.23,72.32,244.45,54.23,32.32,0.00,2,8,2,12,7.98,2.95,11.07
135,0.332835,0.478195,0.407235,0.00,0.00,0,0,71,40,inf,122,69,251,128.21,81.66,232.13,57.21,41.66,0.00,2,10,1,11,10.15,2.22,9.63
138,0.346232,0.445370,0.403602,0.00,0.00,0,0,71,40,inf,123,58,261,130.07,71.00,240.93,59.07,31.00,0.00,2,10,1,11,9.59,2.23,10.18
141,0.325820,0.470773,0.397900,0.00,0.00,0,0,71,40,inf,119,71,252,127.62,79.67,234.72,56.62,39.67,0.00,2,11,1,10,10.08,2.39,9.54
144,0.339285,0.458343,0.415091,0.00,0.00,0,0,71,40,inf,118,71,253,122.18,79.65,240.17,51.18,39.65,0.00,2,10,1,11,9.05,2.94,10.01
147,0.325544,0.471358,0.388286,0.00,0.00,0,0,71,40,inf,118,70,254,127.96,79.61,234.43,56.96,39.61,0.00,2,8,1,13,8.87,2.85,10.28
150,0.319180,0.463433,0.401814,0.00,0.00,0,0,71,40,inf,117,73,252,124.03,79.89,238.08,53.03,39.89,0.00,2,9,2,11,8.86,3.11,10.03
153,0.311010,0.480842,0.411087,0.00,0.00,0,0,71,40,inf,118,77,247,128.78,82.14,231.08,57.78,42.14,0.00,2,8,1,13,8.90,2.27,10.84
156,0.303800,0.467870,0.385777,0.00,0.00,0,0,71,40,inf,120,72,250,126.38,79.61,236.01,55.38,39.61,0.00,2,10,2,10,9.89,2.72,9.39
159,0.286673,0.472250,0.409584,0.00,0.00,0,0,71,40,inf,123,68,251,130.77,78.04,233.19,59.77,38.04,0.00,2,8,2,12,8.91,3.25,9.83
162,0.315700,0.446791,0.385677,0.00,0.00,0,0,71,40,inf,119,60,263,123.86,75.02,243.12,52.86,35.02,0.00,2,7,1,14,8.65,2.78,10.57
165,0.304678,0.468639,0.412787,0.00,0.00,0,0,71,40,inf,117,72,253,121.17,83.90,236.93,50.17,43.90,0.00,2,8,2,12,8.93,3.00,10.07
168,0.311725,0.454925,0.391269,0.00,0.00,0,0,71,40,inf,122,62,258,129.04,74.09,238.88,58.04,34.09,0.00,2,8,2,12,9.10,2.66,10.24
171,0.305055,0.490752,0.421838,0.00,0.00,0,0,71,40,inf,123,79,240,130.64,84.21,227.15,59.64,44.21,0.00,2,8,2,12,9.13,3.18,9.70
174,0.311209,0.458927,0.383243,0.00,0.00,0,0,71,40,inf,112,75,255,119.15,82.26,240.59,48.15,42.26,0.00,2,7,3,12,7.86,3.43,10.71
177,0.279623,0.477914,0.386692,0.00,0.00,0,0,71,40,inf,119,73,250,123.52,85.22,233.26,52.52,45.22,0.00,2,8,2,12,8.96,2.53,10.51
180,0.307574,0.452435,0.393889,0.00,0.00,0,0,71,40,inf,118,63,261,122.75,77.41,241.84,51.75,37.41,0.00,2,7,1,14,8.27,2.95,10.78
183,0.288239,0.474941,0.394693,0.00,0.00,0,0,71,40,inf,107,85,250,116.33,90.95,234.72,45.33,50.95,0.00,2,7,1,14,8.45,3.18,10.38
186,0.290173,0.486282,0.404127,0.00,0.00,0,0,71,40,inf,124,71,247,131.24,82.23,228.53,60.24,42.23,0.00,2,11,1,10,10.34,2.09,9.57
