Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.636286,0.527564,0.333911,0.00,0.00,0,0,71,40,inf,143,40,259,150.28,80.79,210.92,79.28,40.79,0.00,2,12,0,10,10.08,3.64,8.28
6,0.591308,0.448996,0.350399,0.00,0.00,0,0,71,40,inf,109,53,280,123.04,76.20,242.76,52.04,36.20,0.00,2,6,1,15,7.16,3.65,11.19
9,0.563500,0.475290,0.294635,0.00,0.00,0,0,71,40,inf,125,47,270,136.33,75.67,230.00,65.33,35.67,0.00,2,8,0,14,8.39,3.77,9.83
12,0.559308,0.472239,0.310035,0.00,0.00,0,0,71,40,inf,129,49,264,138.41,73.73,229.87,67.41,33.73,0.00,2,11,1,10,9.55,3.22,9.23
15,0.542588,0.469556,0.269875,0.00,0.00,0,0,71,40,inf,130,48,264,135.58,74.46,231.96,64.58,34.46,0.00,2,11,1,10,9.73,3.03,9.24
18,0.518298,0.437673,0.276644,0.00,0.00,0,0,71,40,inf,118,56,268,127.12,70.65,244.22,56.12,30.65,0.00,2,11,0,11,8.78,2.66,10.56
21,0.513751,0.469270,0.302097,0.00,0.00,0,0,71,40,inf,134,56,252,140.30,72.02,229.68,69.30,32.02,0.00,2,11,1,10,9.46,2.70,9.84
24,0.476630,0.489739,0.327218,0.00,0.00,0,0,71,40,inf,121,62,259,130.03,84.30,227.67,59.03,44.30,0.00,2,8,1,13,8.11,3.69,10.21
27,0.474012,0.453129,0.319395,0.00,0.00,0,0,71,40,inf,114,52,276,125.31,75.88,240.81,54.31,35.88,0.00,2,6,1,15,6.85,3.70,11.45
30,0.469132,0.450928,0.300997,0.00,0.00,0,0,71,40,inf,121,51,270,130.89,71.98,239.13,59.89,31.98,0.00,2,5,2,15,6.77,4.36,10.88
33,0.451711,0.438448,0.276559,0.00,0.00,0,0,71,40,inf,117,45,280,126.75,71.05,244.19,55.75,31.05,0.00,2,7,1,14,7.06,3.58,11.36
36,0.462119,0.481033,0.322383,0.00,0.00,0,0,71,40,inf,114,73,255,126.05,84.27,231.68,55.05,44.27,0.00,2,5,1,16,6.19,3.40,12.41
39,0.447318,0.498399,0.294701,0.00,0.00,0,0,71,40,inf,120,65,257,131.70,86.19,224.11,60.70,46.19,0.00,2,7,2,13,7.21,4.67,10.12
42,0.430771,0.511227,0.306831,0.00,0.00,0,0,71,40,inf,127,65,250,137.65,86.63,217.72,66.65,46.63,0.00,2,9,2,11,9.29,3.66,9.05
45,0.430107,0.422362,0.328884,0.00,0.00,0,0,71,40,inf,108,52,282,119.91,71.03,251.06,48.91,31.03,0.00,2,3,1,18,5.37,3.07,13.56
48,0.405568,0.454030,0.312216,0.00,0.00,0,0,71,40,inf,120,60,262,124.02,77.01,240.98,53.02,37.01,0.00,2,10,1,11,8.20,3.56,10.24
51,0.387697,0.479944,0.289974,0.00,0.00,0,0,71,40,inf,122,64,256,127.93,82.46,231.62,56.93,42.46,0.00,2,11,1,10,8.80,2.78,10.41
54,0.384540,0.472528,0.303687,0.00,0.00,0,0,71,40,inf,108,70,264,122.91,83.80,235.28,51.91,43.80,0.00,2,6,1,15,7.39,4.17,10.44
57,0.379516,0.474861,0.303337,0.00,0.00,0,0,71,40,inf,114,69,259,127.99,80.72,233.29,56.99,40.72,0.00,2,8,2,12,7.58,3.64,10.77
60,0.378901,0.459812,0.337535,0.00,0.00,0,0,71,40,inf,109,68,265,122.19,80.11,239.70,51.19,40.11,0.00,2,4,2,16,6.82,2.80,12.39
63,0.361902,0.485188,0.316060,0.00,0.00,0,0,71,40,inf,111,77,254,128.38,83.93,229.69,57.38,43.93,0.00,2,7,1,14,8.32,2.34,11.34
66,0.353236,0.464663,0.308972,0.00,0.00,0,0,71,40,inf,107,76,259,116.52,86.71,238.78,45.52,46.71,0.00,2,6,2,14,6.98,3.39,11.63
69,0.356444,0.452796,0.259882,0.00,0.00,0,0,71,40,inf,130,54,258,132.82,71.45,237.73,61.82,31.45,0.00,2,12,0,10,9.91,2.32,9.77
72,0.324534,0.452905,0.299244,0.00,0.00,0,0,71,40,inf,117,63,262,121.14,78.73,242.14,50.14,38.73,0.00,2,8,1,13,8.29,2.75,10.96
75,0.341148,0.453266,0.372760,0.00,0.00,0,0,71,40,inf,108,70,264,115.63,83.43,242.94,44.63,43.43,0.00,2,7,2,13,8.05,3.59,10.36
78,0.330060,0.477995,0.326928,0.00,0.00,0,0,71,40,inf,118,74,250,125.16,83.91,232.94,54.16,43.91,0.00,2,9,1,12,8.38,2.75,10.87
81,0.326004,0.472777,0.353859,0.00,0.00,0,0,71,40,inf,116,75,251,126.55,81.07,234.38,55.55,41.07,0.00,2,9,2,11,9.18,2.81,10.00
84,0.306436,0.478611,0.280782,0.00,0.00,0,0,71,40,inf,126,70,246,130.28,80.35,231.37,59.28,40.35,0.00,2,7,2,13,7.77,3.05,11.18
87,0.303725,0.477202,0.342007,0.00,0.00,0,0,71,40,inf,118,85,239,124.07,84.50,233.42,53.07,44.50,0.00,2,8,2,12,8.32,3.36,10.32
90,0.293924,0.474560,0.301411,0.00,0.00,0,0,71,40,inf,117,76,249,123.02,84.43,234.55,52.02,44.43,0.00,2,10,1,11,9.11,2.89,10.00
93,0.295219,0.472677,0.276190,0.00,0.00,0,0,71,40,inf,120,76,246,122.47,84.22,235.30,51.47,44.22,0.00,2,9,1,12,9.02,2.13,10.85
96,0.276117,0.489438,0.318358,0.00,0.00,0,0,71,40,inf,121,81,240,124.00,89.18,228.82,53.00,49.18,0.00,2,9,2,11,8.73,2.66,10.61
99,0.269256,0.437334,0.290664,0.00,0.00,0,0,71,40,inf,127,60,255,127.55,70.34,244.11,56.55,30.34,0.00,2,12,1,9,9.82,2.12,10.06
102,0.291099,0.458477,0.268093,0.00,0.00,0,0,71,40,inf,124,70,248,130.91,73.98,237.11,59.91,33.98,0.00,2,9,2,11,8.70,2.94,10.36
105,0.274309,0.458536,0.286964,0.00,0.00,0,0,71,40,inf,124,65,253,127.92,75.77,238.31,56.92,35.77,0.00,2,8,1,13,8.22,2.90,10.87
108,0.264820,0.481970,0.368657,0.00,0.00,0,0,71,40,inf,122,79,241,127.28,83.64,231.08,56.28,43.64,0.00,2,9,2,11,8.96,3.11,9.94
111,0.258928,0.434544,0.329886,0.00,0.00,0,0,71,40,inf,116,68,258,121.73,73.04,247.23,50.73,33.04,0.00,2,9,1,12,8.95,1.74,11.32
114,0.254627,0.468137,0.351967,0.00,0.00,0,0,71,40,inf,117,78,247,118.60,86.01,237.39,47.60,46.01,0.00,2,11,2,9,9.41,2.52,10.06
117,0.243256,0.479937,0.305239,0.00,0.00,0,0,71,40,inf,126,72,244,128.22,82.24,231.54,57.22,42.24,0.00,2,7,2,13,8.20,3.20,10.60
120,0.236820,0.437002,0.251315,0.00,0.00,0,0,71,40,inf,118,67,257,123.57,72.54,245.89,52.57,32.54,0.00,2,8,1,13,8.64,2.31,11.05
123,0.255801,0.494970,0.320127,0.00,0.00,0,0,71,40,inf,123,81,238,130.06,86.18,225.76,59.06,46.18,0.00,2,8,2,12,8.72,2.65,10.64
126,0.246047,0.464090,0.364230,0.00,0.00,0,0,71,40,inf,119,70,253,122.39,81.35,238.26,51.39,41.35,0.00,2,7,2,13,8.01,3.05,10.94
129,0.241136,0.430458,0.314839,0.00,0.00,0,0,71,40,inf,129,60,253,131.67,66.68,243.65,60.67,26.68,0.00,2,11,2,9,8.90,2.48,10.62
132,0.231605,0.450595,0.252527,0.00,0.00,0,0,71,40,inf,124,65,253,127.84,73.60,240.55,56.84,33.60,0.00,2,9,2,11,8.54,2.74,10.72
135,0.236955,0.414648,0.287941,0.00,0.00,0,0,71,40,inf,117,58,267,120.95,68.53,252.52,49.95,28.53,0.00,2,6,2,14,7.29,2.33,12.37
138,0.222106,0.507406,0.326941,0.00,0.00,0,0,71,40,inf,117,94,231,123.34,97.67,220.99,52.34,57.67,0.00,2,9,3,10,8.87,3.10,10.03
141,0.232765,0.457698,0.365984,0.00,0.00,0,0,71,40,inf,116,73,253,122.36,79.31,240.33,51.36,39.31,0.00,2,6,2,14,7.87,2.64,11.49
144,0.230466,0.467772,0.342200,0.00,0.00,0,0,71,40,inf,126,72,244,129.56,77.45,234.99,58.56,37.45,0.00,2,10,2,10,9.03,2.73,10.25
147,0.219194,0.448861,0.351583,0.00,0.00,0,0,71,40,inf,122,71,249,125.80,74.36,241.84,54.80,34.36,0.00,2,10,2,10,8.88,2.35,10.78
150,0.198328,0.475075,0.261404,0.00,0.00,0,0,71,40,inf,133,71,238,132.92,77.57,231.51,61.92,37.57,0.00,2,9,1,12,8.37,2.16,11.47
153,0.222212,0.483276,0.351056,0.00,0.00,0,0,71,40,inf,115,87,240,119.64,90.91,231.45,48.64,50.91,0.00,2,9,2,11,8.91,2.67,10.42
156,0.206580,0.458605,0.315003,0.00,0.00,0,0,71,40,inf,115,80,247,117.03,84.01,240.96,46.03,44.01,0.00,2,8,2,12,7.04,3.06,11.90
159,0.212481,0.472351,0.307025,0.00,0.00,0,0,71,40,inf,124,82,236,123.77,83.05,235.18,52.77,43.05,0.00,2,9,3,10,7.75,2.92,11.33
162,0.223743,0.459610,0.273177,0.00,0.00,0,0,71,40,inf,117,78,247,120.11,81.69,240.20,49.11,41.69,0.00,2,8,2,12,7.54,2.87,11.59
165,0.205022,0.428976,0.277326,0.00,0.00,0,0,71,40,inf,124,63,255,124.82,69.78,247.40,53.82,29.78,0.00,2,8,2,12,7.50,2.44,12.06
168,0.211213,0.474790,0.302546,0.00,0.00,0,0,71,40,inf,126,75,241,125.03,82.89,234.08,54.03,42.89,0.00,2,8,2,12,7.86,2.67,11.47
171,0.187067,0.468479,0.313533,0.00,0.00,0,0,71,40,inf,128,72,242,129.88,77.46,234.66,58.88,37.46,0.00,2,8,3,11,7.58,3.42,11.00
174,0.198014,0.439842,0.282211,0.00,0.00,0,0,71,40,inf,112,78,252,115.84,78.84,247.33,44.84,38.84,0.00,2,9,3,10,8.56,2.78,10.66
177,0.190074,0.459658,0.336089,0.00,0.00,0,0,71,40,inf,115,81,246,116.72,84.68,240.60,45.72,44.68,0.00,2,7,3,12,7.76,3.32,10.92
180,0.180763,0.457153,0.303665,0.00,0.00,0,0,71,40,inf,122,74,246,123.82,78.08,240.10,52.82,38.08,0.00,2,10,0,12,9.24,1.16,11.60
183,0.189387,0.459778,0.301916,0.00,0.00,0,0,71,40,inf,121,72,249,120.34,81.56,240.10,49.34,41.56,0.00,2,9,3,10,8.13,3.37,10.49
186,0.178645,0.486151,0.345141,0.00,0.00,0,0,71,40,inf,122,85,235,123.91,87.97,230.12,52.91,47.97,0.00,2,7,3,12,7.28,3.56,11.16
189,0.167460,0.467273,0.296682,0.00,0.00,0,0,71,40,inf,117,84,241,118.92,85.39,237.69,47.92,45.39,0.00,2,10,2,10,9.09,2.39,10.52
192,0.184387,0.444228,0.292676,0.00,0.00,0,0,71,40,inf,129,66,247,130.58,70.44,240.97,59.58,30.44,0.00,2,8,3,11,8.28,3.11,10.62
195,0.164681,0.434412,0.298391,0.00,0.00,0,0,71,40,inf,113,77,252,113.68,78.96,249.36,42.68,38.96,0.00,2,7,3,12,6.96,2.97,12.07
198,0.173210,0.456032,0.318047,0.00,0.00,0,0,71,40,inf,123,74,245,124.67,77.16,240.17,53.67,37.16,0.00,2,8,3,11,8.24,3.07,10.69
201,0.175229,0.456190,0.358516,0.00,0.00,0,0,71,40,inf,117,78,247,120.06,80.60,241.34,49.06,40.60,0.00,2,7,3,12,8.15,2.91,10.95
204,0.175463,0.495452,0.332305,0.00,0.00,0,0,71,40,inf,120,87,235,123.98,91.65,226.37,52.98,51.65,0.00,2,8,3,11,8.48,3.49,10.03
207,0.182893,0.401076,0.300053,0.00,0.00,0,0,71,40,inf,117,58,267,121.29,65.31,255.40,50.29,25.31,0.00,2,8,2,12,8.26,2.78,10.96
210,0.168776,0.452857,0.329832,0.00,0.00,0,0,71,40,inf,118,79,245,117.16,81.92,242.92,46.16,41.92,0.00,2,8,3,11,7.56,3.29,11.15
