Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.642976,0.787886,0.574948,0.00,0.00,0,0,28,16,inf,131,38,273,136.37,73.09,232.54,108.37,57.09,0.00,2,14,0,8,9.27,4.25,8.48
6,0.595500,0.784894,0.551972,0.00,0.00,0,0,28,16,inf,123,40,279,127.68,75.86,238.46,99.68,59.86,0.00,2,8,0,14,7.70,3.81,10.49
9,0.573060,0.785901,0.561947,0.00,0.00,0,0,28,16,inf,118,47,277,128.84,75.87,237.29,100.84,59.87,0.00,2,10,0,12,9.17,3.46,9.37
12,0.564187,0.791002,0.594382,0.00,0.00,0,0,28,16,inf,120,49,273,131.28,78.16,232.56,103.28,62.16,0.00,2,7,1,14,8.74,3.24,10.02
15,0.542918,0.787883,0.570832,0.00,0.00,0,0,28,16,inf,127,42,273,130.71,76.18,235.11,102.71,60.18,0.00,2,12,1,9,9.29,3.43,9.27
18,0.531981,0.791377,0.566628,0.00,0.00,0,0,28,16,inf,121,56,265,131.17,78.51,232.31,103.17,62.51,0.00,2,8,1,13,9.08,3.25,9.67
21,0.534627,0.788936,0.601927,0.00,0.00,0,0,28,16,inf,120,52,270,133.60,75.28,233.12,105.60,59.28,0.00,2,11,1,10,10.00,3.44,8.56
24,0.516209,0.795046,0.604481,0.00,0.00,0,0,28,16,inf,115,63,264,131.51,81.22,229.27,103.51,65.22,0.00,2,7,1,14,7.81,3.96,10.23
27,0.515365,0.789361,0.573526,0.00,0.00,0,0,28,16,inf,117,59,266,129.51,78.02,234.47,101.51,62.02,0.00,2,9,1,12,8.74,3.29,9.97
30,0.498199,0.793694,0.576891,0.00,0.00,0,0,28,16,inf,123,60,259,130.16,81.02,230.82,102.16,65.02,0.00,2,10,1,11,8.17,4.25,9.59
33,0.500455,0.780333,0.576730,0.00,0.00,0,0,28,16,inf,116,62,264,125.95,73.72,242.32,97.95,57.72,0.00,2,9,1,12,8.24,3.26,10.51
36,0.496327,0.803025,0.623064,0.00,0.00,0,0,28,16,inf,131,60,251,140.90,81.96,219.15,112.90,65.96,0.00,2,9,1,12,8.77,3.55,9.67
39,0.478057,0.784470,0.586017,0.00,0.00,0,0,28,16,inf,113,62,267,127.53,75.65,238.82,99.53,59.65,0.00,2,7,1,14,7.19,3.45,11.36
42,0.462788,0.788703,0.567878,0.00,0.00,0,0,28,16,inf,118,59,265,126.24,79.68,236.08,98.24,63.68,0.00,2,8,1,13,7.34,3.60,11.06
45,0.457030,0.783346,0.562587,0.00,0.00,0,0,28,16,inf,126,52,264,131.82,72.43,237.75,103.82,56.43,0.00,2,9,1,12,8.76,3.09,10.15
48,0.462567,0.782539,0.590053,0.00,0.00,0,0,28,16,inf,127,49,266,131.11,72.28,238.61,103.11,56.28,0.00,2,7,1,14,7.71,3.84,10.45
51,0.467093,0.799148,0.594881,0.00,0.00,0,0,28,16,inf,133,67,242,138.62,80.11,223.26,110.62,64.11,0.00,2,13,1,8,9.94,3.78,8.27
54,0.459263,0.789705,0.562612,0.00,0.00,0,0,28,16,inf,124,67,251,128.14,79.18,234.68,100.14,63.18,0.00,2,9,1,12,8.31,3.65,10.04
57,0.429427,0.790096,0.595161,0.00,0.00,0,0,28,16,inf,122,61,259,129.89,78.34,233.77,101.89,62.34,0.00,2,7,1,14,7.29,3.50,11.21
60,0.443042,0.789146,0.577445,0.00,0.00,0,0,28,16,inf,118,66,258,123.79,81.83,236.38,95.79,65.83,0.00,2,7,1,14,7.65,3.30,11.05
63,0.434261,0.793059,0.591634,0.00,0.00,0,0,28,16,inf,131,64,247,135.89,76.98,229.12,107.89,60.98,0.00,2,12,1,9,9.68,3.26,9.06
66,0.424175,0.786723,0.576773,0.00,0.00,0,0,28,16,inf,125,60,257,130.86,75.27,235.88,102.86,59.27,0.00,2,9,1,12,8.56,3.34,10.10
69,0.413944,0.784554,0.583887,0.00,0.00,0,0,28,16,inf,125,58,259,128.25,75.27,238.48,100.25,59.27,0.00,2,9,1,12,8.41,3.21,10.39
72,0.412563,0.793871,0.612323,0.00,0.00,0,0,28,16,inf,125,70,247,132.21,79.81,229.98,104.21,63.81,0.00,2,12,0,10,9.45,2.89,9.67
75,0.402235,0.784794,0.599816,0.00,0.00,0,0,28,16,inf,122,66,254,128.02,75.58,238.40,100.02,59.58,0.00,2,9,1,12,8.73,2.99,10.29
78,0.396216,0.788345,0.590323,0.00,0.00,0,0,28,16,inf,120,70,252,125.62,79.83,236.55,97.62,63.83,0.00,2,12,1,9,10.01,2.65,9.34
81,0.391903,0.787423,0.600751,0.00,0.00,0,0,28,16,inf,114,74,254,123.62,80.55,237.84,95.62,64.55,0.00,2,7,1,14,7.33,3.33,11.35
84,0.401558,0.772944,0.591510,0.00,0.00,0,0,28,16,inf,118,52,272,127.22,68.37,246.41,99.22,52.37,0.00,2,11,1,10,8.97,2.91,10.12
87,0.388458,0.776360,0.590845,0.00,0.00,0,0,28,16,inf,116,60,266,127.99,70.02,243.99,99.99,54.02,0.00,2,9,1,12,9.21,2.85,9.94
90,0.391325,0.780935,0.579280,0.00,0.00,0,0,28,16,inf,117,62,263,125.43,74.46,242.12,97.43,58.46,0.00,2,6,2,14,6.66,4.15,11.19
93,0.377856,0.788367,0.601510,0.00,0.00,0,0,28,16,inf,123,70,249,128.27,78.06,235.67,100.27,62.06,0.00,2,10,2,10,8.39,3.39,10.22
96,0.375992,0.786492,0.593424,0.00,0.00,0,0,28,16,inf,126,62,254,126.68,77.68,237.65,98.68,61.68,0.00,2,9,1,12,8.17,3.47,10.36
99,0.377757,0.783576,0.594947,0.00,0.00,0,0,28,16,inf,120,65,257,129.23,74.01,238.76,101.23,58.01,0.00,2,9,1,12,9.72,2.65,9.63
102,0.382790,0.780701,0.585702,0.00,0.00,0,0,28,16,inf,124,62,256,126.99,73.36,241.65,98.99,57.36,0.00,2,8,1,13,7.86,3.75,10.39
105,0.355904,0.797022,0.596032,0.00,0.00,0,0,28,16,inf,123,75,244,126.76,86.45,228.78,98.76,70.45,0.00,2,9,1,12,8.16,3.41,10.44
108,0.363672,0.780546,0.596010,0.00,0.00,0,0,28,16,inf,130,55,257,131.16,70.98,239.87,103.16,54.98,0.00,2,7,1,14,7.68,3.13,11.20
111,0.348271,0.784984,0.604067,0.00,0.00,0,0,28,16,inf,121,66,255,126.68,76.55,238.77,98.68,60.55,0.00,2,10,0,12,9.51,2.70,9.79
114,0.367122,0.782899,0.600316,0.00,0.00,0,0,28,16,inf,119,65,258,129.44,73.43,239.13,101.44,57.43,0.00,2,6,1,15,7.65,2.96,11.39
117,0.356373,0.778283,0.578418,0.00,0.00,0,0,28,16,inf,124,61,257,130.41,69.95,241.64,102.41,53.95,0.00,2,8,1,13,8.58,3.14,10.29
120,0.357656,0.780567,0.605864,0.00,0.00,0,0,28,16,inf,112,76,254,117.64,79.66,244.70,89.64,63.66,0.00,2,6,3,13,6.72,3.93,11.35
123,0.348905,0.785249,0.601763,0.00,0.00,0,0,28,16,inf,115,73,254,119.24,82.18,240.57,91.24,66.18,0.00,2,9,1,12,8.11,3.37,10.52
126,0.334306,0.782453,0.600038,0.00,0.00,0,0,28,16,inf,119,60,263,126.66,74.76,240.58,98.66,58.76,0.00,2,8,1,13,8.38,3.10,10.52
129,0.344244,0.787833,0.599576,0.00,0.00,0,0,28,16,inf,129,60,253,134.58,73.98,233.44,106.58,57.98,0.00,2,10,1,11,8.69,3.10,10.22
132,0.337785,0.781701,0.586758,0.00,0.00,0,0,28,16,inf,123,57,262,129.24,72.75,240.02,101.24,56.75,0.00,2,8,1,13,8.34,3.50,10.15
135,0.324372,0.785618,0.585065,0.00,0.00,0,0,28,16,inf,117,71,254,125.61,77.73,238.67,97.61,61.73,0.00,2,8,2,12,9.38,3.06,9.56
