Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.631826,0.779324,0.591394,0.00,0.00,0,0,28,16,inf,105,49,288,122.49,75.20,244.31,94.49,59.20,0.00,2,9,0,13,7.82,4.65,9.53
6,0.591447,0.790050,0.584271,0.00,0.00,0,0,28,16,inf,121,48,273,131.93,77.05,233.02,103.93,61.05,0.00,2,11,0,11,8.86,4.09,9.05
9,0.563099,0.784415,0.590821,0.00,0.00,0,0,28,16,inf,109,52,281,126.38,76.33,239.29,98.38,60.33,0.00,2,7,1,14,8.01,4.48,9.51
12,0.546678,0.790165,0.568567,0.00,0.00,0,0,28,16,inf,110,61,271,126.41,80.74,234.85,98.41,64.74,0.00,2,5,1,16,6.61,4.38,11.01
15,0.531086,0.792013,0.596847,0.00,0.00,0,0,28,16,inf,120,58,264,131.22,78.98,231.81,103.22,62.98,0.00,2,9,1,12,9.31,2.96,9.73
18,0.518242,0.790592,0.586462,0.00,0.00,0,0,28,16,inf,120,60,262,131.94,77.44,232.62,103.94,61.44,0.00,2,6,1,15,8.07,3.87,10.05
21,0.500923,0.793012,0.606133,0.00,0.00,0,0,28,16,inf,123,61,258,134.64,77.66,229.69,106.64,61.66,0.00,2,12,1,9,9.13,4.09,8.79
24,0.510304,0.773739,0.575255,0.00,0.00,0,0,28,16,inf,110,65,267,123.24,71.01,247.75,95.24,55.01,0.00,2,9,1,12,8.70,3.27,10.03
27,0.486592,0.783597,0.593074,0.00,0.00,0,0,28,16,inf,126,54,262,135.98,70.52,235.50,107.98,54.52,0.00,2,9,1,12,8.50,3.00,10.50
30,0.464416,0.796091,0.613469,0.00,0.00,0,0,28,16,inf,130,58,254,137.84,78.17,225.99,109.84,62.17,0.00,2,14,1,7,10.61,3.01,8.38
33,0.461585,0.791567,0.585887,0.00,0.00,0,0,28,16,inf,115,64,263,132.93,77.58,231.49,104.93,61.58,0.00,2,6,1,15,7.93,4.03,10.05
36,0.451422,0.791790,0.587422,0.00,0.00,0,0,28,16,inf,114,73,255,127.93,80.99,233.08,99.93,64.99,0.00,2,8,1,13,8.09,3.33,10.58
39,0.442746,0.780333,0.589979,0.00,0.00,0,0,28,16,inf,122,62,258,130.56,71.15,240.29,102.56,55.15,0.00,2,15,1,6,10.96,2.18,8.86
42,0.421553,0.781704,0.610158,0.00,0.00,0,0,28,16,inf,116,57,269,129.19,72.78,240.04,101.19,56.78,0.00,2,8,0,14,8.93,3.18,9.90
45,0.432713,0.788576,0.570216,0.00,0.00,0,0,28,16,inf,124,66,252,133.02,75.34,233.63,105.02,59.34,0.00,2,12,1,9,9.38,2.89,9.74
48,0.420166,0.778167,0.600636,0.00,0.00,0,0,28,16,inf,124,51,267,132.85,68.70,240.45,104.85,52.70,0.00,2,10,2,10,9.20,4.09,8.71
51,0.400524,0.779992,0.591688,0.00,0.00,0,0,28,16,inf,115,62,265,126.28,73.30,242.42,98.28,57.30,0.00,2,7,1,14,8.22,3.27,10.52
54,0.412188,0.779883,0.595627,0.00,0.00,0,0,28,16,inf,125,57,260,132.40,69.95,239.66,104.40,53.95,0.00,2,12,0,10,10.47,2.48,9.05
57,0.408195,0.788350,0.604860,0.00,0.00,0,0,28,16,inf,119,59,264,128.78,77.71,235.50,100.78,61.71,0.00,2,8,1,13,8.55,2.97,10.47
60,0.376711,0.774930,0.562737,0.00,0.00,0,0,28,16,inf,122,58,262,131.88,67.28,242.84,103.88,51.28,0.00,2,9,1,12,9.87,2.30,9.82
63,0.374255,0.791247,0.593814,0.00,0.00,0,0,28,16,inf,127,63,252,136.84,75.16,230.00,108.84,59.16,0.00,2,7,1,14,9.25,2.43,10.32
66,0.381703,0.788523,0.588882,0.00,0.00,0,0,28,16,inf,109,77,256,118.11,86.08,237.82,90.11,70.08,0.00,2,6,1,15,7.47,3.68,10.85
69,0.354656,0.784721,0.606741,0.00,0.00,0,0,28,16,inf,121,66,255,130.26,74.21,237.53,102.26,58.21,0.00,2,11,1,10,9.32,2.74,9.93
72,0.343815,0.787942,0.607657,0.00,0.00,0,0,28,16,inf,117,71,254,123.65,80.94,237.41,95.65,64.94,0.00,2,7,1,14,8.43,2.93,10.64
75,0.346382,0.785284,0.593676,0.00,0.00,0,0,28,16,inf,122,63,257,128.71,75.51,237.78,100.71,59.51,0.00,2,10,1,11,9.26,2.32,10.42
78,0.336294,0.780980,0.584323,0.00,0.00,0,0,28,16,inf,110,71,261,119.88,78.25,243.87,91.88,62.25,0.00,2,5,1,16,6.92,2.90,12.18
81,0.326171,0.804499,0.617138,0.00,0.00,0,0,28,16,inf,131,77,234,138.36,84.82,218.82,110.36,68.82,0.00,2,11,2,9,9.31,2.96,9.72
84,0.313017,0.781253,0.591627,0.00,0.00,0,0,28,16,inf,111,75,256,114.42,83.00,244.58,86.42,67.00,0.00,2,10,1,11,8.91,2.73,10.36
87,0.319290,0.781043,0.576079,0.00,0.00,0,0,28,16,inf,113,74,255,123.43,75.80,242.76,95.43,59.80,0.00,2,8,1,13,8.57,2.00,11.43
90,0.289691,0.767625,0.549769,0.00,0.00,0,0,28,16,inf,117,61,264,121.27,68.42,252.31,93.27,52.42,0.00,2,8,1,13,8.26,2.83,10.91
93,0.297469,0.780626,0.581366,0.00,0.00,0,0,28,16,inf,118,63,261,124.90,74.57,242.53,96.90,58.57,0.00,2,7,1,14,8.21,3.06,10.73
96,0.288516,0.793168,0.581167,0.00,0.00,0,0,28,16,inf,123,75,244,126.56,83.15,232.29,98.56,67.15,0.00,2,11,1,10,9.96,2.50,9.53
99,0.290925,0.779373,0.579926,0.00,0.00,0,0,28,16,inf,117,70,255,122.39,75.30,244.31,94.39,59.30,0.00,2,8,2,12,8.55,2.65,10.80
102,0.281120,0.772780,0.588495,0.00,0.00,0,0,28,16,inf,122,58,262,127.67,68.05,246.28,99.67,52.05,0.00,2,9,2,11,9.39,3.51,9.10
105,0.287469,0.794829,0.591883,0.00,0.00,0,0,28,16,inf,123,83,236,131.40,81.12,229.49,103.40,65.12,0.00,2,8,3,11,9.74,2.74,9.53
108,0.258814,0.782364,0.590507,0.00,0.00,0,0,28,16,inf,123,73,246,127.54,74.16,240.29,99.54,58.16,0.00,2,9,2,11,9.01,2.91,10.08
111,0.281483,0.779178,0.588586,0.00,0.00,0,0,28,16,inf,126,69,247,130.23,70.60,241.18,102.23,54.60,0.00,2,9,2,11,9.21,3.05,9.74
114,0.245804,0.800939,0.591003,0.00,0.00,0,0,28,16,inf,115,94,233,121.40,95.53,225.07,93.40,79.53,0.00,2,8,3,11,9.28,3.39,9.33
117,0.249139,0.777108,0.586541,0.00,0.00,0,0,28,16,inf,114,72,256,120.49,74.98,246.53,92.49,58.98,0.00,2,8,3,11,9.46,2.89,9.65
