Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.756926,0.644367,0.440877,0.00,0.00,0,0,43,24,inf,128,12,302,120.91,76.23,244.86,77.91,52.23,0.00,2,16,0,6,10.69,3.68,7.63
6,0.676203,0.666324,0.463890,0.00,0.00,0,0,43,24,inf,123,31,288,124.55,74.51,242.94,81.55,50.51,0.00,2,12,0,10,9.17,4.06,8.77
9,0.637527,0.692413,0.516079,0.00,0.00,0,0,43,24,inf,130,48,264,134.99,80.91,226.10,91.99,56.91,0.00,2,15,0,7,9.80,3.91,8.30
12,0.625338,0.681831,0.499972,0.00,0.00,0,0,43,24,inf,124,45,273,132.30,77.09,232.61,89.30,53.09,0.00,2,12,0,10,9.40,3.97,8.63
15,0.624507,0.682124,0.513717,0.00,0.00,0,0,43,24,inf,125,42,275,134.20,76.11,231.69,91.20,52.11,0.00,2,11,0,11,9.48,3.54,8.98
18,0.612813,0.689324,0.498816,0.00,0.00,0,0,43,24,inf,129,47,266,136.66,78.25,227.09,93.66,54.25,0.00,2,10,0,12,8.79,3.59,9.62
21,0.605152,0.674414,0.493675,0.00,0.00,0,0,43,24,inf,123,41,278,131.54,74.01,236.45,88.54,50.01,0.00,2,8,0,14,7.74,3.79,10.47
24,0.605126,0.686968,0.471926,0.00,0.00,0,0,43,24,inf,127,40,275,134.14,78.56,229.30,91.14,54.56,0.00,2,10,0,12,9.23,3.76,9.01
27,0.583580,0.681572,0.480136,0.00,0.00,0,0,43,24,inf,126,44,272,132.89,76.61,232.50,89.89,52.61,0.00,2,10,0,12,9.21,3.59,9.19
30,0.588719,0.681038,0.470089,0.00,0.00,0,0,43,24,inf,120,48,274,129.78,78.28,233.94,86.78,54.28,0.00,2,9,0,13,8.32,3.73,9.95
33,0.583241,0.688851,0.484359,0.00,0.00,0,0,43,24,inf,129,42,271,135.48,78.71,227.81,92.48,54.71,0.00,2,10,0,12,8.79,4.16,9.06
36,0.594496,0.691235,0.481461,0.00,0.00,0,0,43,24,inf,131,45,266,136.62,79.26,226.12,93.62,55.26,0.00,2,12,0,10,9.03,3.73,9.24
39,0.573807,0.679335,0.470920,0.00,0.00,0,0,43,24,inf,122,50,270,129.97,77.30,234.73,86.97,53.30,0.00,2,9,0,13,8.67,3.41,9.92
42,0.575714,0.688267,0.485520,0.00,0.00,0,0,43,24,inf,125,52,265,131.18,81.17,229.65,88.18,57.17,0.00,2,11,0,11,9.21,3.51,9.28
45,0.571803,0.677239,0.473955,0.00,0.00,0,0,43,24,inf,128,43,271,134.16,73.84,233.99,91.16,49.84,0.00,2,11,0,11,9.10,3.33,9.57
48,0.562723,0.692388,0.504035,0.00,0.00,0,0,43,24,inf,134,42,266,141.82,76.92,223.26,98.82,52.92,0.00,2,11,0,11,9.73,3.22,9.05
51,0.579384,0.681111,0.482430,0.00,0.00,0,0,43,24,inf,131,39,272,135.21,75.06,231.73,92.21,51.06,0.00,2,9,0,13,9.10,3.43,9.46
54,0.570220,0.666926,0.475557,0.00,0.00,0,0,43,24,inf,116,44,282,125.42,74.23,242.34,82.42,50.23,0.00,2,8,0,14,8.06,3.21,10.73
57,0.569824,0.686362,0.490525,0.00,0.00,0,0,43,24,inf,127,47,268,135.48,77.45,229.07,92.48,53.45,0.00,2,9,0,13,8.95,3.07,9.98
60,0.564988,0.684535,0.492541,0.00,0.00,0,0,43,24,inf,130,46,266,138.49,74.90,228.61,95.49,50.90,0.00,2,10,0,12,9.09,3.15,9.76
63,0.561374,0.701802,0.514403,0.00,0.00,0,0,43,24,inf,123,55,264,134.16,86.99,220.85,91.16,62.99,0.00,2,9,0,13,8.48,3.82,9.70
66,0.555726,0.662959,0.464521,0.00,0.00,0,0,43,24,inf,124,42,276,130.38,69.71,241.91,87.38,45.71,0.00,2,10,0,12,8.48,3.00,10.51
69,0.550436,0.682245,0.495966,0.00,0.00,0,0,43,24,inf,116,54,272,127.68,80.34,233.98,84.68,56.34,0.00,2,8,0,14,8.11,3.55,10.33
72,0.560821,0.688499,0.506786,0.00,0.00,0,0,43,24,inf,132,44,266,139.58,76.21,226.22,96.58,52.21,0.00,2,8,0,14,8.37,3.44,10.19
75,0.550418,0.690716,0.485630,0.00,0.00,0,0,43,24,inf,120,51,271,132.25,81.79,227.96,89.25,57.79,0.00,2,8,2,12,8.80,3.91,9.29
78,0.547362,0.692000,0.500633,0.00,0.00,0,0,43,24,inf,128,48,266,135.76,80.20,226.04,92.76,56.20,0.00,2,8,1,13,8.32,3.25,10.43
81,0.533967,0.694811,0.508312,0.00,0.00,0,0,43,24,inf,130,53,259,138.10,80.27,223.64,95.10,56.27,0.00,2,10,1,11,9.17,3.49,9.34
84,0.544584,0.685382,0.502400,0.00,0.00,0,0,43,24,inf,127,46,269,136.85,76.18,228.96,93.85,52.18,0.00,2,9,1,12,8.77,3.11,10.12
87,0.539520,0.688309,0.502163,0.00,0.00,0,0,43,24,inf,127,51,264,137.64,77.18,227.18,94.64,53.18,0.00,2,7,1,14,8.35,3.60,10.05
90,0.524715,0.685615,0.510360,0.00,0.00,0,0,43,24,inf,131,47,264,139.50,74.87,227.62,96.50,50.87,0.00,2,8,0,14,8.87,3.12,10.01
93,0.528845,0.688213,0.493084,0.00,0.00,0,0,43,24,inf,124,54,264,131.58,80.87,229.55,88.58,56.87,0.00,2,8,1,13,8.34,3.34,10.31
96,0.532621,0.668922,0.486565,0.00,0.00,0,0,43,24,inf,132,40,270,136.95,68.93,236.12,93.95,44.93,0.00,2,10,0,12,9.11,2.91,9.98
99,0.532968,0.691089,0.513063,0.00,0.00,0,0,43,24,inf,134,46,262,140.03,77.23,224.74,97.03,53.23,0.00,2,11,0,11,9.06,3.63,9.31
102,0.524742,0.686487,0.506300,0.00,0.00,0,0,43,24,inf,132,48,262,138.87,75.62,227.51,95.87,51.62,0.00,2,8,1,13,8.30,3.60,10.10
105,0.529149,0.685901,0.501899,0.00,0.00,0,0,43,24,inf,127,45,270,139.41,75.06,227.53,96.41,51.06,0.00,2,7,0,15,8.12,3.19,10.69
108,0.520134,0.684715,0.492687,0.00,0.00,0,0,43,24,inf,125,46,271,134.83,77.01,230.16,91.83,53.01,0.00,2,7,1,14,8.61,3.29,10.10
111,0.506883,0.694098,0.517264,0.00,0.00,0,0,43,24,inf,125,52,265,136.36,80.95,224.68,93.36,56.95,0.00,2,7,1,14,7.84,3.60,10.56
114,0.526512,0.678360,0.512924,0.00,0.00,0,0,43,24,inf,113,58,271,126.58,79.06,236.36,83.58,55.06,0.00,2,7,1,14,7.82,3.16,11.03
117,0.529426,0.672104,0.511565,0.00,0.00,0,0,43,24,inf,118,49,275,129.59,74.08,238.33,86.59,50.08,0.00,2,7,1,14,7.63,3.61,10.77
120,0.521437,0.678773,0.493870,0.00,0.00,0,0,43,24,inf,118,52,272,130.01,76.99,234.99,87.01,52.99,0.00,2,8,1,13,7.96,3.30,10.74
123,0.514536,0.690272,0.517342,0.00,0.00,0,0,43,24,inf,128,53,261,135.74,79.29,226.97,92.74,55.29,0.00,2,11,1,10,9.38,3.51,9.11
126,0.516091,0.696546,0.526348,0.00,0.00,0,0,43,24,inf,130,56,256,140.87,79.56,221.57,97.87,55.56,0.00,2,12,0,10,9.82,3.37,8.82
129,0.497542,0.669695,0.478264,0.00,0.00,0,0,43,24,inf,118,51,273,128.11,73.85,240.03,85.11,49.85,0.00,2,8,1,13,8.68,3.45,9.87
132,0.511711,0.682735,0.508831,0.00,0.00,0,0,43,24,inf,120,52,270,131.92,77.78,232.30,88.92,53.78,0.00,2,7,1,14,8.35,3.41,10.24
135,0.527346,0.692045,0.530325,0.00,0.00,0,0,43,24,inf,132,47,263,140.79,77.30,223.91,97.79,53.30,0.00,2,9,1,12,9.14,3.47,9.39
138,0.521810,0.684614,0.516447,0.00,0.00,0,0,43,24,inf,131,45,266,136.48,76.02,229.50,93.48,52.02,0.00,2,10,1,11,8.86,3.50,9.65
141,0.504093,0.670092,0.476232,0.00,0.00,0,0,43,24,inf,116,53,273,124.58,76.28,241.15,81.58,52.28,0.00,2,8,1,13,7.54,3.96,10.49
144,0.503401,0.678067,0.490671,0.00,0.00,0,0,43,24,inf,125,49,268,132.51,75.15,234.34,89.51,51.15,0.00,2,8,1,13,7.68,3.70,10.62
147,0.514285,0.686433,0.509154,0.00,0.00,0,0,43,24,inf,121,51,270,133.37,78.76,229.87,90.37,54.76,0.00,2,7,1,14,7.99,3.61,10.40
150,0.511942,0.697119,0.537333,0.00,0.00,0,0,43,24,inf,132,45,265,142.84,78.76,220.40,99.84,54.76,0.00,2,7,0,15,9.01,3.11,9.88
153,0.520599,0.673686,0.497585,0.00,0.00,0,0,43,24,inf,118,47,277,127.64,76.01,238.35,84.64,52.01,0.00,2,7,0,15,7.67,3.50,10.83
156,0.505156,0.689906,0.514921,0.00,0.00,0,0,43,24,inf,127,54,261,135.41,79.30,227.29,92.41,55.30,0.00,2,11,1,10,9.76,3.50,8.75
159,0.494282,0.682519,0.503847,0.00,0.00,0,0,43,24,inf,119,54,269,131.00,78.25,232.75,88.00,54.25,0.00,2,8,1,13,8.34,3.69,9.97
162,0.505607,0.701428,0.526010,0.00,0.00,0,0,43,24,inf,121,58,263,133.92,86.94,221.14,90.92,62.94,0.00,2,9,0,13,8.17,3.54,10.29
165,0.502087,0.674875,0.503254,0.00,0.00,0,0,43,24,inf,112,56,274,125.79,77.82,238.39,82.79,53.82,0.00,2,6,1,15,7.28,3.52,11.20
168,0.496545,0.683915,0.508484,0.00,0.00,0,0,43,24,inf,125,50,267,133.55,77.37,231.08,90.55,53.37,0.00,2,10,1,11,8.36,3.67,9.97
171,0.483952,0.688767,0.522073,0.00,0.00,0,0,43,24,inf,131,50,261,137.89,77.26,226.84,94.89,53.26,0.00,2,10,1,11,9.15,3.67,9.18
174,0.493512,0.684712,0.516321,0.00,0.00,0,0,43,24,inf,119,58,265,128.84,80.86,232.31,85.84,56.86,0.00,2,9,1,12,8.07,3.72,10.21
177,0.517135,0.678698,0.500895,0.00,0.00,0,0,43,24,inf,115,53,274,128.08,78.21,235.71,85.08,54.21,0.00,2,8,0,14,7.62,3.64,10.74
180,0.497793,0.673112,0.514956,0.00,0.00,0,0,43,24,inf,121,50,271,132.07,73.13,236.80,89.07,49.13,0.00,2,5,1,16,6.65,3.24,12.11
183,0.495944,0.667260,0.484690,0.00,0.00,0,0,43,24,inf,122,51,269,129.58,71.93,240.48,86.58,47.93,0.00,2,10,1,11,8.48,3.50,10.02
